seed,graph_family,damage_family,total_energy_E,required_flow_Q,horizon_T,damage_intensity,graph_split,damage_split,has_heldout_allocation,primary_axes,group_split,n_allocations,flagged_run_fraction,no_collapse_fraction,collapse_at_first_step_fraction,far_above_q_fraction,post_policy_below_q_fraction,recovery_unused_fraction_among_recovery_allocations,reconfiguration_unused_fraction_among_reconfiguration_allocations,maintained_step_ratio_range,maintained_flow_ratio_range,minimum_margin_range,observed_score_range,group_degeneracy_flags,exclusion_recommendation
1000,grid,bottleneck_attack,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,0.9090909090909091,0.9090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,0.125,0.04166666666666663,7.0,0.23666666666666658,high_flag_fraction,review
1000,grid,random_attrition,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.625,0.45833333333333337,3.0,1.1133333333333333,,keep
1000,grid,repairable_wear,10,3,8,0.18,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.375,0.125,3.0,0.5199999999999998,,keep
1000,grid,scalar_only_control,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,2.0,0.020000000000000018,all_no_collapse|high_flag_fraction,review
1000,layered_dag,bottleneck_attack,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,7.0,0.06999999999999984,all_no_collapse|high_flag_fraction,review
1000,layered_dag,random_attrition,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666674,2.0,0.6766666666666667,,keep
1000,layered_dag,repairable_wear,10,3,8,0.18,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.125,0.04166666666666663,3.0,0.19666666666666655,high_flag_fraction,review
1000,layered_dag,scalar_only_control,10,3,8,0.18,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.020000000000000018,all_no_collapse|all_far_above_q|high_flag_fraction,review
1000,random_geometric,bottleneck_attack,10,3,8,0.18,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.875,0.75,6.0,1.6849999999999998,,keep
1000,random_geometric,random_attrition,10,3,8,0.18,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.625,0.375,2.0,1.02,,keep
1000,random_geometric,repairable_wear,10,3,8,0.18,primary_heldout,primary_heldout,True,graph|damage|allocation,heldout_graph_damage_allocation,11,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.375,0.125,2.0,0.5199999999999998,high_flag_fraction,review
1000,random_geometric,scalar_only_control,10,3,8,0.18,primary_heldout,calibration,True,graph|allocation,heldout_graph_allocation,11,1.0,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,5.0,0.050000000000000266,all_no_collapse|high_flag_fraction,review
