seed,graph_family,damage_family,total_energy_E,required_flow_Q,horizon_T,damage_intensity,n_allocations,has_heldout_allocation,observed_best_allocations,total_resource_regret,policy_prior_regret,m_profile_regret,policy_prior_kendall_tau,m_profile_kendall_tau
1000,grid,bottleneck_attack,10,3,8,0.18,11,True,"0,8,2",0.048787878787878824,0.010000000000000231,0.050000000000000266,0.7435897435897436,-0.36
1000,grid,random_attrition,10,3,8,0.18,11,True,"0,0,10",0.5986363636363636,0.3225,0.0,0.2857142857142857,0.32075471698113206
1000,grid,repairable_wear,10,3,8,0.18,11,True,"8,2,0",0.2019696969696969,0.18166666666666664,0.3533333333333333,-0.05555555555555555,-0.20833333333333334
1000,grid,scalar_only_control,10,3,8,0.18,11,True,"8,2,0|6,4,0|6,2,2|4,3,3|0,8,2|0,2,8",0.006363636363636349,0.004999999999999893,0.009999999999999787,0.15384615384615385,-0.05555555555555555
1000,layered_dag,bottleneck_attack,10,3,8,0.18,11,True,"0,8,2",0.0363636363636366,0.010000000000000231,0.06000000000000005,0.8947368421052632,-0.4583333333333333
1000,layered_dag,random_attrition,10,3,8,0.18,11,True,"10,0,0|8,2,0|8,0,2|6,2,2|4,3,3|0,0,10",0.14560606060606052,0.11416666666666675,0.0,0.4375,0.3333333333333333
1000,layered_dag,repairable_wear,10,3,8,0.18,11,True,"10,0,0|8,0,2|6,2,2",0.026060606060606117,0.010000000000000231,0.010000000000000231,0.4375,0.21951219512195122
1000,layered_dag,scalar_only_control,10,3,8,0.18,11,True,"8,0,2|6,2,2|4,3,3|0,0,10|3,4,3",0.006363636363636349,0.0,0.0,0.8518518518518519,0.7714285714285715
1000,random_geometric,bottleneck_attack,10,3,8,0.18,11,True,"0,8,2",0.6193939393939394,0.010000000000000231,0.20666666666666633,0.8536585365853658,-0.1111111111111111
1000,random_geometric,random_attrition,10,3,8,0.18,11,True,"6,4,0|0,8,2",0.4086363636363637,0.28583333333333316,0.395,-0.35,-0.32
1000,random_geometric,repairable_wear,10,3,8,0.18,11,True,"0,8,2|0,2,8|0,10,0|0,0,10",0.08393939393939376,0.0,0.0,-0.125,-0.02564102564102564
1000,random_geometric,scalar_only_control,10,3,8,0.18,11,True,"0,0,10",0.0363636363636366,0.03000000000000025,0.0,0.5882352941176471,0.6190476190476191
