slice,model,n_groups,kendall_tau,regret,top1_tie_adjusted,top2_contains_observed_best
all,m_profile_linear,12,0.060425173078187344,0.09041666666666666,0.4166666666666667,0.5
all,policy_prior,12,0.393006429354563,0.08159722222222231,0.4166666666666667,0.9166666666666666
all,total_resource_tie,12,0.0,0.18487373737373738,0.24242424242424243,1.0
allocation_split:primary_heldout,m_profile_linear,12,0.060425173078187344,0.09041666666666666,0.4166666666666667,0.5
allocation_split:primary_heldout,policy_prior,12,0.393006429354563,0.08159722222222231,0.4166666666666667,0.9166666666666666
allocation_split:primary_heldout,total_resource_tie,12,0.0,0.18487373737373738,0.24242424242424243,1.0
damage_split:calibration,m_profile_linear,9,0.08217380453229511,0.08018518518518516,0.4444444444444444,0.5555555555555556
damage_split:calibration,policy_prior,9,0.4954591897567012,0.08750000000000008,0.4444444444444444,1.0
damage_split:calibration,total_resource_tie,9,0.0,0.21183501683501688,0.2424242424242424,1.0
damage_split:primary_heldout,m_profile_linear,3,-0.0048207212841359206,0.12111111111111117,0.3333333333333333,0.3333333333333333
damage_split:primary_heldout,policy_prior,3,0.08564814814814814,0.06388888888888895,0.3333333333333333,0.6666666666666666
damage_split:primary_heldout,total_resource_tie,3,0.0,0.10398989898989892,0.24242424242424243,1.0
graph_split:calibration,m_profile_linear,8,0.07035082433034573,0.0604166666666667,0.375,0.5
graph_split:calibration,policy_prior,8,0.4686479151939678,0.08166666666666675,0.4375,0.875
graph_split:calibration,total_resource_tie,8,0.0,0.1337689393939394,0.2727272727272727,1.0
graph_split:primary_heldout,m_profile_linear,4,0.04057387057387058,0.1504166666666666,0.5,0.5
graph_split:primary_heldout,policy_prior,4,0.24172345767575323,0.08145833333333341,0.375,1.0
graph_split:primary_heldout,total_resource_tie,4,0.0,0.28708333333333336,0.18181818181818182,1.0
group_split:heldout_allocation,m_profile_linear,6,0.09193795547569134,0.020000000000000018,0.5,0.6666666666666666
group_split:heldout_allocation,policy_prior,6,0.561206479517883,0.07694444444444452,0.5833333333333334,1.0
group_split:heldout_allocation,total_resource_tie,6,0.0,0.14035353535353537,0.30303030303030304,1.0
group_split:heldout_damage_allocation,m_profile_linear,2,0.005589430894308939,0.18166666666666675,0.0,0.0
group_split:heldout_damage_allocation,policy_prior,2,0.1909722222222222,0.09583333333333344,0.0,0.5
group_split:heldout_damage_allocation,total_resource_tie,2,0.0,0.11401515151515151,0.18181818181818182,1.0
group_split:heldout_graph_allocation,m_profile_linear,3,0.06264550264550266,0.20055555555555546,0.3333333333333333,0.3333333333333333
group_split:heldout_graph_allocation,policy_prior,3,0.3639646102343376,0.10861111111111121,0.16666666666666666,1.0
group_split:heldout_graph_allocation,total_resource_tie,3,0.0,0.3547979797979799,0.12121212121212122,1.0
group_split:heldout_graph_damage_allocation,m_profile_linear,1,-0.02564102564102564,0.0,1.0,1.0
group_split:heldout_graph_damage_allocation,policy_prior,1,-0.125,0.0,1.0,1.0
group_split:heldout_graph_damage_allocation,total_resource_tie,1,0.0,0.08393939393939376,0.36363636363636365,1.0
heldout_axis:allocation,m_profile_linear,12,0.060425173078187344,0.09041666666666666,0.4166666666666667,0.5
heldout_axis:allocation,policy_prior,12,0.393006429354563,0.08159722222222231,0.4166666666666667,0.9166666666666666
heldout_axis:allocation,total_resource_tie,12,0.0,0.18487373737373738,0.24242424242424243,1.0
heldout_axis:damage,m_profile_linear,3,-0.0048207212841359206,0.12111111111111117,0.3333333333333333,0.3333333333333333
heldout_axis:damage,policy_prior,3,0.08564814814814814,0.06388888888888895,0.3333333333333333,0.6666666666666666
heldout_axis:damage,total_resource_tie,3,0.0,0.10398989898989892,0.24242424242424243,1.0
heldout_axis:graph,m_profile_linear,4,0.04057387057387058,0.1504166666666666,0.5,0.5
heldout_axis:graph,policy_prior,4,0.24172345767575323,0.08145833333333341,0.375,1.0
heldout_axis:graph,total_resource_tie,4,0.0,0.28708333333333336,0.18181818181818182,1.0
