slice,model,n_groups,kendall_tau,regret,top1_tie_adjusted,top2_contains_observed_best
all,m_profile_linear,720,0.015566924211191028,0.22040972222222222,0.15555555555555556,0.28055555555555556
all,policy_prior,720,0.3332822316524809,0.15064739583333334,0.2879166666666667,0.7069444444444445
all,total_resource_tie,720,0.0,0.2372219065656566,0.1417929292929293,1.0
allocation_split:primary_heldout,m_profile_linear,720,0.015566924211191028,0.22040972222222222,0.15555555555555556,0.28055555555555556
allocation_split:primary_heldout,policy_prior,720,0.3332822316524809,0.15064739583333334,0.2879166666666667,0.7069444444444445
allocation_split:primary_heldout,total_resource_tie,720,0.0,0.2372219065656566,0.1417929292929293,1.0
damage_split:calibration,m_profile_linear,600,-0.0028771380168595576,0.20805416666666665,0.165,0.295
damage_split:calibration,policy_prior,600,0.373220409325684,0.12703208333333335,0.3196666666666667,0.745
damage_split:calibration,total_resource_tie,600,0.0,0.22251628787878786,0.14818181818181816,1.0
damage_split:primary_heldout,m_profile_linear,120,0.10778723535144395,0.2821875,0.10833333333333334,0.20833333333333334
damage_split:primary_heldout,policy_prior,120,0.13359134328646521,0.26872395833333335,0.12916666666666668,0.5166666666666667
damage_split:primary_heldout,total_resource_tie,120,0.0,0.31074999999999997,0.10984848484848485,1.0
graph_split:calibration,m_profile_linear,540,0.00021541077263807038,0.2208263888888889,0.16111111111111112,0.2611111111111111
graph_split:calibration,policy_prior,540,0.3362253584071531,0.15230185185185185,0.27555555555555555,0.7148148148148148
graph_split:calibration,total_resource_tie,540,0.0,0.2301527777777778,0.1398989898989899,1.0
graph_split:primary_heldout,m_profile_linear,180,0.0616214645268499,0.21915972222222221,0.1388888888888889,0.3388888888888889
graph_split:primary_heldout,policy_prior,180,0.32445285138846425,0.1456840277777778,0.325,0.6833333333333333
graph_split:primary_heldout,total_resource_tie,180,0.0,0.2584292929292929,0.14747474747474748,1.0
group_split:heldout_allocation,m_profile_linear,450,-0.014017146974276461,0.20225833333333335,0.17555555555555555,0.2777777777777778
group_split:heldout_allocation,policy_prior,450,0.38084825499272446,0.1285761111111111,0.30622222222222223,0.7555555555555555
group_split:heldout_allocation,total_resource_tie,450,0.0,0.21393585858585856,0.14606060606060609,1.0
group_split:heldout_damage_allocation,m_profile_linear,90,0.07137819950721072,0.31366666666666665,0.08888888888888889,0.17777777777777778
group_split:heldout_damage_allocation,policy_prior,90,0.11311087547929652,0.27093055555555556,0.12222222222222222,0.5111111111111111
group_split:heldout_damage_allocation,total_resource_tie,90,0.0,0.31123737373737376,0.1090909090909091,1.0
group_split:heldout_graph_allocation,m_profile_linear,150,0.030542888855391147,0.22544166666666665,0.13333333333333333,0.3466666666666667
group_split:heldout_graph_allocation,policy_prior,150,0.3503368723245628,0.12240000000000002,0.36,0.7133333333333334
group_split:heldout_graph_allocation,total_resource_tie,150,0.0,0.2482575757575758,0.15454545454545457,1.0
group_split:heldout_graph_damage_allocation,m_profile_linear,30,0.21701434288414362,0.18775,0.16666666666666666,0.3
group_split:heldout_graph_damage_allocation,policy_prior,30,0.19503274670797136,0.2621041666666667,0.15,0.5333333333333333
group_split:heldout_graph_damage_allocation,total_resource_tie,30,0.0,0.30928787878787883,0.11212121212121212,1.0
heldout_axis:allocation,m_profile_linear,720,0.015566924211191028,0.22040972222222222,0.15555555555555556,0.28055555555555556
heldout_axis:allocation,policy_prior,720,0.3332822316524809,0.15064739583333334,0.2879166666666667,0.7069444444444445
heldout_axis:allocation,total_resource_tie,720,0.0,0.2372219065656566,0.1417929292929293,1.0
heldout_axis:damage,m_profile_linear,120,0.10778723535144395,0.2821875,0.10833333333333334,0.20833333333333334
heldout_axis:damage,policy_prior,120,0.13359134328646521,0.26872395833333335,0.12916666666666668,0.5166666666666667
heldout_axis:damage,total_resource_tie,120,0.0,0.31074999999999997,0.10984848484848485,1.0
heldout_axis:graph,m_profile_linear,180,0.0616214645268499,0.21915972222222221,0.1388888888888889,0.3388888888888889
heldout_axis:graph,policy_prior,180,0.32445285138846425,0.1456840277777778,0.325,0.6833333333333333
heldout_axis:graph,total_resource_tie,180,0.0,0.2584292929292929,0.14747474747474748,1.0
