config_hash,graph_hash,damage_seed,seed,graph_family,graph_split,damage_family,damage_split,policy_anchor,allocation_buffer,allocation_recovery,allocation_reconfiguration,allocation_split,total_energy_E,initial_max_flow,post_policy_max_flow,required_flow_Q,horizon_T,damage_intensity,max_flow_series,q_series,margin_series,collapse_time,maintained_step_ratio,maintained_flow_ratio,minimum_margin,buffer_energy_spent,recovery_energy_spent,reconfiguration_energy_spent,active_bypass_edges,degeneracy_flags,final_graph_hash
42bf2c5968a7d25a,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,8,0.34,"[8,6,4,3,1,1,0,0]","[4,4,4,4,4,4,4,4]","[4,2,0,-1,-3,-3,-4,-4]",3,0.375,0.53125,-4,10,0,0,0,,00f982f5b6789fdd
54440c2c5246470c,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,8,0.34,"[9,7,5,3,2,1,1,1]","[4,4,4,4,4,4,4,4]","[5,3,1,-1,-2,-3,-3,-3]",3,0.375,0.625,-3,8,2,0,0,,2d5fa3c59c36394e
6d8023ef01de21eb,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,8,0.34,"[9,7,4,4,3,0,0,0]","[4,4,4,4,4,4,4,4]","[5,3,0,0,-1,-4,-4,-4]",4,0.5,0.59375,-4,8,0,2,2,,2ff9b46e7d4c6825
55315917538a7a01,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,8,0.34,"[9,8,6,4,4,2,2,0]","[4,4,4,4,4,4,4,4]","[5,4,2,0,0,-2,-2,-4]",5,0.625,0.75,-4,6,4,0,0,,ff2987d391f3a2c2
d11f8851fbe0ac13,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,8,0.34,"[10,8,5,4,2,1,1,0]","[4,4,4,4,4,4,4,4]","[6,4,1,0,-2,-3,-3,-4]",4,0.5,0.625,-4,6,2,2,2,,222dc28632b312e8
163d7099e8cfe444,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,4,3,3,calibration,10,8,10,4,8,0.34,"[10,8,5,5,2,2,0,0]","[4,4,4,4,4,4,4,4]","[6,4,1,1,-2,-2,-4,-4]",4,0.5,0.625,-4,4,3,3,3,,93e0aa51ea85c76c
71044bc7b8af0168,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,8,0.34,"[8,7,5,4,2,0,0,0]","[4,4,4,4,4,4,4,4]","[4,3,1,0,-2,-4,-4,-4]",4,0.5,0.5625,-4,0,8,2,2,,2b101cd42d377db3
eda3e793d0d5bc94,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,8,0.34,"[10,9,7,5,4,1,0,0]","[4,4,4,4,4,4,4,4]","[6,5,3,1,0,-3,-4,-4]",5,0.625,0.65625,-4,0,2,8,8,,ddf115553c2aaa87
bdf4204ec5c0c09c,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,8,0.34,"[8,7,6,5,3,1,0,0]","[4,4,4,4,4,4,4,4]","[4,3,2,1,-1,-3,-4,-4]",4,0.5,0.625,-4,0,10,0,0,,3e1a8cae0595e84d
68b642a048ef8d9e,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,8,0.34,"[9,8,5,3,3,1,1,0]","[4,4,4,4,4,4,4,4]","[5,4,1,-1,-1,-3,-3,-4]",3,0.375,0.625,-4,0,0,10,10,,d23e01d8bb1197f0
1c6b4d7399a8cd4c,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,8,0.34,"[10,9,6,5,3,1,1,0]","[4,4,4,4,4,4,4,4]","[6,5,2,1,-1,-3,-3,-4]",4,0.5,0.65625,-4,3,4,3,3,,3658b41608d0284c
25080fb873df31d2,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,8,0.34,"[9,8,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4]","[5,4,3,2,1,0,-1,-2]",6,0.75,0.90625,-2,10,0,0,0,,7861094eafb8a485
e2d136655560be7a,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,8,0.34,"[10,10,9,8,7,6,5,4]","[4,4,4,4,4,4,4,4]","[6,6,5,4,3,2,1,0]",,1.0,1.0,0,8,2,0,0,no_collapse,54e0ebe568299eed
4c8f58d1b9e56add,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,8,0.34,"[11,9,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4]","[7,5,3,2,1,0,-1,-2]",6,0.75,0.90625,-2,8,0,2,2,,e72a4a8a627415cf
8406e9bea3049465,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,8,0.34,"[10,10,10,10,9,8,7,6]","[4,4,4,4,4,4,4,4]","[6,6,6,6,5,4,3,2]",,1.0,1.0,2,6,4,0,0,no_collapse,8a10fd6bdaacb061
14692cb23d1c7503,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,8,0.34,"[11,11,10,9,8,7,6,5]","[4,4,4,4,4,4,4,4]","[7,7,6,5,4,3,2,1]",,1.0,1.0,1,6,2,2,2,no_collapse,68079be191d66d98
6743d67971564ade,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,balanced,4,3,3,calibration,10,8,10,4,8,0.34,"[11,11,9,8,7,6,5,4]","[4,4,4,4,4,4,4,4]","[7,7,5,4,3,2,1,0]",,1.0,1.0,0,4,3,3,3,no_collapse,1329604be4dcc71d
afad97670c55cb90,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,8,0.34,"[8,8,8,8,8,8,8,8]","[4,4,4,4,4,4,4,4]","[4,4,4,4,4,4,4,4]",,1.0,1.0,4,0,8,2,2,no_collapse,6ed4077572645912
f6c0bdb17b26f575,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,8,0.34,"[10,9,7,5,3,2,1,0]","[4,4,4,4,4,4,4,4]","[6,5,3,1,-1,-2,-3,-4]",4,0.5,0.6875,-4,0,2,8,8,,e2c440f1cd6a34ef
cf8e4ab190f31cd2,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,8,0.34,"[8,8,8,8,8,8,8,8]","[4,4,4,4,4,4,4,4]","[4,4,4,4,4,4,4,4]",,1.0,1.0,4,0,8,0,0,no_collapse,95ba3d476b514dbd
24efba764a95f7df,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,8,0.34,"[10,8,6,4,3,2,1,0]","[4,4,4,4,4,4,4,4]","[6,4,2,0,-1,-2,-3,-4]",4,0.5,0.6875,-4,0,0,10,10,,3ff206ee6f3f8aaa
ef9723151261f2bc,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,8,0.34,"[11,11,10,8,6,5,4,3]","[4,4,4,4,4,4,4,4]","[7,7,6,4,2,1,0,-1]",7,0.875,0.96875,-1,3,4,3,3,,1dab5dd44612c14f
