slice,model,n_groups,kendall_tau,regret,top1_tie_adjusted,top2_contains_observed_best
all,m_profile_linear,720,0.020184334776322792,0.222945987654321,0.20416666666666666,0.29444444444444445
all,policy_prior,720,0.3224030081786893,0.16195771604938272,0.30277777777777776,0.7041666666666667
all,total_resource_tie,720,0.0,0.2566966891133558,0.14343434343434344,1.0
allocation_split:primary_heldout,m_profile_linear,720,0.020184334776322792,0.222945987654321,0.20416666666666666,0.29444444444444445
allocation_split:primary_heldout,policy_prior,720,0.3224030081786893,0.16195771604938272,0.30277777777777776,0.7041666666666667
allocation_split:primary_heldout,total_resource_tie,720,0.0,0.2566966891133558,0.14343434343434344,1.0
damage_split:calibration,m_profile_linear,600,0.0031762757946512178,0.2154925925925926,0.22333333333333333,0.31
damage_split:calibration,policy_prior,600,0.36588425468477676,0.14350574074074074,0.3416666666666667,0.76
damage_split:calibration,total_resource_tie,600,0.0,0.2502991582491582,0.15136363636363637,1.0
damage_split:primary_heldout,m_profile_linear,120,0.10522462968468066,0.260212962962963,0.10833333333333334,0.21666666666666667
damage_split:primary_heldout,policy_prior,120,0.1049967756482519,0.25421759259259263,0.10833333333333334,0.425
damage_split:primary_heldout,total_resource_tie,120,0.0,0.2886843434343434,0.10378787878787879,1.0
graph_split:calibration,m_profile_linear,540,0.005650413352709924,0.22364609053497944,0.1962962962962963,0.2777777777777778
graph_split:calibration,policy_prior,540,0.32727031877683205,0.16491893004115227,0.28888888888888886,0.7092592592592593
graph_split:calibration,total_resource_tie,540,0.0,0.24927235316124205,0.1404040404040404,1.0
graph_split:primary_heldout,m_profile_linear,180,0.0637860990471614,0.22084567901234564,0.22777777777777777,0.34444444444444444
graph_split:primary_heldout,policy_prior,180,0.30780107638426096,0.15307407407407408,0.34444444444444444,0.6888888888888889
graph_split:primary_heldout,total_resource_tie,180,0.0,0.278969696969697,0.1525252525252525,1.0
group_split:heldout_allocation,m_profile_linear,450,-0.00745134704027376,0.21014074074074074,0.21555555555555556,0.29555555555555557
group_split:heldout_allocation,policy_prior,450,0.37547659907089337,0.14654469135802467,0.32555555555555554,0.7711111111111111
group_split:heldout_allocation,total_resource_tie,450,0.0,0.24119349046015714,0.14767676767676768,1.0
group_split:heldout_damage_allocation,m_profile_linear,90,0.07115921531762835,0.29117283950617284,0.1,0.18888888888888888
group_split:heldout_damage_allocation,policy_prior,90,0.08623891730652535,0.25679012345679014,0.10555555555555556,0.4
group_split:heldout_damage_allocation,total_resource_tie,90,0.0,0.2896666666666667,0.10404040404040403,1.0
group_split:heldout_graph_allocation,m_profile_linear,150,0.03505914429942615,0.23154814814814814,0.24666666666666667,0.35333333333333333
group_split:heldout_graph_allocation,policy_prior,150,0.33710722152642686,0.1343888888888889,0.39,0.7266666666666667
group_split:heldout_graph_allocation,total_resource_tie,150,0.0,0.2776161616161616,0.16242424242424242,1.0
group_split:heldout_graph_damage_allocation,m_profile_linear,30,0.20742087278583765,0.1673333333333333,0.13333333333333333,0.3
group_split:heldout_graph_damage_allocation,policy_prior,30,0.16127035067343154,0.24650000000000002,0.11666666666666667,0.5
group_split:heldout_graph_damage_allocation,total_resource_tie,30,0.0,0.28573737373737373,0.10303030303030303,1.0
heldout_axis:allocation,m_profile_linear,720,0.020184334776322792,0.222945987654321,0.20416666666666666,0.29444444444444445
heldout_axis:allocation,policy_prior,720,0.3224030081786893,0.16195771604938272,0.30277777777777776,0.7041666666666667
heldout_axis:allocation,total_resource_tie,720,0.0,0.2566966891133558,0.14343434343434344,1.0
heldout_axis:damage,m_profile_linear,120,0.10522462968468066,0.260212962962963,0.10833333333333334,0.21666666666666667
heldout_axis:damage,policy_prior,120,0.1049967756482519,0.25421759259259263,0.10833333333333334,0.425
heldout_axis:damage,total_resource_tie,120,0.0,0.2886843434343434,0.10378787878787879,1.0
heldout_axis:graph,m_profile_linear,180,0.0637860990471614,0.22084567901234564,0.22777777777777777,0.34444444444444444
heldout_axis:graph,policy_prior,180,0.30780107638426096,0.15307407407407408,0.34444444444444444,0.6888888888888889
heldout_axis:graph,total_resource_tie,180,0.0,0.278969696969697,0.1525252525252525,1.0
