config_hash,graph_hash,damage_seed,seed,graph_family,graph_split,damage_family,damage_split,policy_anchor,allocation_buffer,allocation_recovery,allocation_reconfiguration,allocation_split,total_energy_E,initial_max_flow,post_policy_max_flow,required_flow_Q,horizon_T,damage_intensity,max_flow_series,q_series,margin_series,collapse_time,maintained_step_ratio,maintained_flow_ratio,minimum_margin,buffer_energy_spent,recovery_energy_spent,reconfiguration_energy_spent,active_bypass_edges,degeneracy_flags,final_graph_hash
e4e1634a7457ea24,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,9,0.34,"[8,6,4,3,1,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[4,2,0,-1,-3,-3,-4,-4,-4]",3,0.3333333333333333,0.4722222222222222,-4,10,0,0,0,,32d07d4084e6ca33
1bc8e54e5ccad911,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,9,0.34,"[9,7,5,3,2,1,1,1,0]","[4,4,4,4,4,4,4,4,4]","[5,3,1,-1,-2,-3,-3,-3,-4]",3,0.3333333333333333,0.5555555555555556,-4,8,2,0,0,,8f595d250c876f2a
5045f50785ab6f28,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,9,0.34,"[9,7,4,4,3,0,0,0,0]","[4,4,4,4,4,4,4,4,4]","[5,3,0,0,-1,-4,-4,-4,-4]",4,0.4444444444444444,0.5277777777777778,-4,8,0,2,2,,109ebcf9cfc943d9
89093b16fe33ecec,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,9,0.34,"[9,8,6,4,4,2,2,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,2,0,0,-2,-2,-4,-4]",5,0.5555555555555556,0.6666666666666666,-4,6,4,0,0,,028d5fe07ce2e80c
849490202dd88e0b,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,9,0.34,"[10,8,5,4,2,1,1,0,0]","[4,4,4,4,4,4,4,4,4]","[6,4,1,0,-2,-3,-3,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,6,2,2,2,,f3ff788a6072ba77
8e97fce9bb5a8c23,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,4,3,3,calibration,10,8,10,4,9,0.34,"[10,8,5,5,2,2,0,0,0]","[4,4,4,4,4,4,4,4,4]","[6,4,1,1,-2,-2,-4,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,4,3,3,3,,d3b637e7219d0230
c1693ceaef9916df,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,9,0.34,"[8,7,5,4,2,0,0,0,0]","[4,4,4,4,4,4,4,4,4]","[4,3,1,0,-2,-4,-4,-4,-4]",4,0.4444444444444444,0.5,-4,0,8,2,2,,5541b7d0f3a5000d
feb699d33abf94b3,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,9,0.34,"[10,9,7,5,4,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[6,5,3,1,0,-3,-4,-4,-4]",5,0.5555555555555556,0.5833333333333334,-4,0,2,8,8,,4b2a1d5d1dbc9a11
f4e5f5fca7762ef6,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,9,0.34,"[8,7,6,5,3,1,0,0,0]","[4,4,4,4,4,4,4,4,4]","[4,3,2,1,-1,-3,-4,-4,-4]",4,0.4444444444444444,0.5555555555555556,-4,0,10,0,0,,1b3d7dd1689b4587
1b0342cbc6913096,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,9,0.34,"[9,8,5,3,3,1,1,0,0]","[4,4,4,4,4,4,4,4,4]","[5,4,1,-1,-1,-3,-3,-4,-4]",3,0.3333333333333333,0.5555555555555556,-4,0,0,10,10,,e7d9d7b8af6a0a7b
