slice,model,n_groups,kendall_tau,regret,top1_tie_adjusted,top2_contains_observed_best
all,m_profile_linear,720,0.011896023862584721,0.2325833333333333,0.2,0.2916666666666667
all,policy_prior,720,0.3501152396738511,0.1601922839506173,0.32472222222222225,0.7597222222222222
all,total_resource_tie,720,0.0,0.24269374298540963,0.1505050505050505,1.0
allocation_split:primary_heldout,m_profile_linear,720,0.011896023862584721,0.2325833333333333,0.2,0.2916666666666667
allocation_split:primary_heldout,policy_prior,720,0.3501152396738511,0.1601922839506173,0.32472222222222225,0.7597222222222222
allocation_split:primary_heldout,total_resource_tie,720,0.0,0.24269374298540963,0.1505050505050505,1.0
damage_split:calibration,m_profile_linear,600,-0.004496320478030057,0.2089037037037037,0.22,0.31
damage_split:calibration,policy_prior,600,0.38810802590409776,0.1308187037037037,0.36883333333333335,0.785
damage_split:calibration,total_resource_tie,600,0.0,0.22089040404040403,0.1593939393939394,1.0
damage_split:primary_heldout,m_profile_linear,120,0.09385774556565862,0.35098148148148145,0.1,0.2
damage_split:primary_heldout,policy_prior,120,0.16015130852261789,0.3070601851851852,0.10416666666666667,0.6333333333333333
damage_split:primary_heldout,total_resource_tie,120,0.0,0.3517104377104377,0.10606060606060606,1.0
graph_split:calibration,m_profile_linear,540,0.0022978398729241894,0.2405699588477366,0.18518518518518517,0.2759259259259259
graph_split:calibration,policy_prior,540,0.3601246875073826,0.1544866255144033,0.32055555555555554,0.7666666666666667
graph_split:calibration,total_resource_tie,540,0.0,0.23305256266367377,0.14983164983164982,1.0
graph_split:primary_heldout,m_profile_linear,180,0.04069057583156632,0.2086234567901234,0.24444444444444444,0.3388888888888889
graph_split:primary_heldout,policy_prior,180,0.32008689617325653,0.17730925925925925,0.33722222222222226,0.7388888888888889
graph_split:primary_heldout,total_resource_tie,180,0.0,0.2716172839506173,0.1525252525252525,1.0
group_split:heldout_allocation,m_profile_linear,450,-0.01114623066884728,0.21221975308641974,0.2111111111111111,0.3
group_split:heldout_allocation,policy_prior,450,0.3984319685231239,0.1255567901234568,0.3635555555555555,0.7844444444444445
group_split:heldout_allocation,total_resource_tie,450,0.0,0.21047519640852974,0.15858585858585858,1.0
group_split:heldout_damage_allocation,m_profile_linear,90,0.06951819258178155,0.382320987654321,0.05555555555555555,0.15555555555555556
group_split:heldout_damage_allocation,policy_prior,90,0.1685882824286761,0.29913580246913585,0.10555555555555556,0.6777777777777778
group_split:heldout_damage_allocation,total_resource_tie,90,0.0,0.34593939393939394,0.10606060606060605,1.0
group_split:heldout_graph_allocation,m_profile_linear,150,0.015453410094421614,0.19895555555555552,0.24666666666666667,0.34
group_split:heldout_graph_allocation,policy_prior,150,0.3571361980470192,0.14660444444444443,0.3846666666666667,0.7866666666666666
group_split:heldout_graph_allocation,total_resource_tie,150,0.0,0.2521360269360269,0.16181818181818183,1.0
group_split:heldout_graph_damage_allocation,m_profile_linear,30,0.16687640451728986,0.25696296296296295,0.23333333333333334,0.3333333333333333
group_split:heldout_graph_damage_allocation,policy_prior,30,0.13484038680444327,0.3308333333333333,0.1,0.5
group_split:heldout_graph_damage_allocation,total_resource_tie,30,0.0,0.369023569023569,0.10606060606060605,1.0
heldout_axis:allocation,m_profile_linear,720,0.011896023862584721,0.2325833333333333,0.2,0.2916666666666667
heldout_axis:allocation,policy_prior,720,0.3501152396738511,0.1601922839506173,0.32472222222222225,0.7597222222222222
heldout_axis:allocation,total_resource_tie,720,0.0,0.24269374298540963,0.1505050505050505,1.0
heldout_axis:damage,m_profile_linear,120,0.09385774556565862,0.35098148148148145,0.1,0.2
heldout_axis:damage,policy_prior,120,0.16015130852261789,0.3070601851851852,0.10416666666666667,0.6333333333333333
heldout_axis:damage,total_resource_tie,120,0.0,0.3517104377104377,0.10606060606060606,1.0
heldout_axis:graph,m_profile_linear,180,0.04069057583156632,0.2086234567901234,0.24444444444444444,0.3388888888888889
heldout_axis:graph,policy_prior,180,0.32008689617325653,0.17730925925925925,0.33722222222222226,0.7388888888888889
heldout_axis:graph,total_resource_tie,180,0.0,0.2716172839506173,0.1525252525252525,1.0
