slice,model,n_groups,kendall_tau,regret,top1_tie_adjusted,top2_contains_observed_best
all,m_profile_linear,720,0.0012219134683473854,0.21891840277777777,0.15416666666666667,0.2777777777777778
all,policy_prior,720,0.34313345501686987,0.15278628472222222,0.2927777777777778,0.7402777777777778
all,total_resource_tie,720,0.0,0.23880160984848484,0.14267676767676768,1.0
allocation_split:primary_heldout,m_profile_linear,720,0.0012219134683473854,0.21891840277777777,0.15416666666666667,0.2777777777777778
allocation_split:primary_heldout,policy_prior,720,0.34313345501686987,0.15278628472222222,0.2927777777777778,0.7402777777777778
allocation_split:primary_heldout,total_resource_tie,720,0.0,0.23880160984848484,0.14267676767676768,1.0
damage_split:calibration,m_profile_linear,600,-0.026751179456633883,0.2019520833333333,0.16333333333333333,0.28833333333333333
damage_split:calibration,policy_prior,600,0.37995897047067295,0.12644145833333334,0.3205,0.7533333333333333
damage_split:calibration,total_resource_tie,600,0.0,0.22063617424242424,0.14818181818181816,1.0
damage_split:primary_heldout,m_profile_linear,120,0.14108737809325375,0.30375,0.10833333333333334,0.225
damage_split:primary_heldout,policy_prior,120,0.15900587774785463,0.28451041666666665,0.15416666666666667,0.675
damage_split:primary_heldout,total_resource_tie,120,0.0,0.32962878787878785,0.11515151515151516,1.0
graph_split:calibration,m_profile_linear,540,-0.0024103981183411106,0.22010185185185183,0.1574074074074074,0.25925925925925924
graph_split:calibration,policy_prior,540,0.35600894228722213,0.15133773148148147,0.28574074074074074,0.7611111111111111
graph_split:calibration,total_resource_tie,540,0.0,0.23156334175084173,0.1415824915824916,1.0
graph_split:primary_heldout,m_profile_linear,180,0.012118848228412873,0.21536805555555552,0.14444444444444443,0.3333333333333333
graph_split:primary_heldout,policy_prior,180,0.3045069932058131,0.15713194444444445,0.3138888888888889,0.6777777777777778
graph_split:primary_heldout,total_resource_tie,180,0.0,0.26051641414141413,0.14595959595959596,1.0
group_split:heldout_allocation,m_profile_linear,450,-0.027569752968158622,0.19984444444444444,0.1688888888888889,0.27111111111111114
group_split:heldout_allocation,policy_prior,450,0.3967136201303116,0.12503166666666668,0.31288888888888894,0.7688888888888888
group_split:heldout_allocation,total_resource_tie,450,0.0,0.21246035353535353,0.14707070707070707,1.0
group_split:heldout_damage_allocation,m_profile_linear,90,0.12338637613074646,0.3213888888888889,0.1,0.2
group_split:heldout_damage_allocation,policy_prior,90,0.15248555307177472,0.28286805555555555,0.15,0.7222222222222222
group_split:heldout_damage_allocation,total_resource_tie,90,0.0,0.32707828282828283,0.11414141414141415,1.0
group_split:heldout_graph_allocation,m_profile_linear,150,-0.024295458922059674,0.208275,0.14666666666666667,0.34
group_split:heldout_graph_allocation,policy_prior,150,0.32969502149175683,0.13067083333333335,0.3433333333333333,0.7066666666666667
group_split:heldout_graph_allocation,total_resource_tie,150,0.0,0.24516363636363636,0.15151515151515152,1.0
group_split:heldout_graph_damage_allocation,m_profile_linear,30,0.1941903839807756,0.25083333333333335,0.13333333333333333,0.3
group_split:heldout_graph_damage_allocation,policy_prior,30,0.1785668517760944,0.2894375,0.16666666666666666,0.5333333333333333
group_split:heldout_graph_damage_allocation,total_resource_tie,30,0.0,0.33728030303030304,0.11818181818181818,1.0
heldout_axis:allocation,m_profile_linear,720,0.0012219134683473854,0.21891840277777777,0.15416666666666667,0.2777777777777778
heldout_axis:allocation,policy_prior,720,0.34313345501686987,0.15278628472222222,0.2927777777777778,0.7402777777777778
heldout_axis:allocation,total_resource_tie,720,0.0,0.23880160984848484,0.14267676767676768,1.0
heldout_axis:damage,m_profile_linear,120,0.14108737809325375,0.30375,0.10833333333333334,0.225
heldout_axis:damage,policy_prior,120,0.15900587774785463,0.28451041666666665,0.15416666666666667,0.675
heldout_axis:damage,total_resource_tie,120,0.0,0.32962878787878785,0.11515151515151516,1.0
heldout_axis:graph,m_profile_linear,180,0.012118848228412873,0.21536805555555552,0.14444444444444443,0.3333333333333333
heldout_axis:graph,policy_prior,180,0.3045069932058131,0.15713194444444445,0.3138888888888889,0.6777777777777778
heldout_axis:graph,total_resource_tie,180,0.0,0.26051641414141413,0.14595959595959596,1.0
