config_hash,graph_hash,damage_seed,seed,graph_family,graph_split,damage_family,damage_split,policy_anchor,allocation_buffer,allocation_recovery,allocation_reconfiguration,allocation_split,total_energy_E,initial_max_flow,post_policy_max_flow,required_flow_Q,horizon_T,damage_intensity,max_flow_series,q_series,margin_series,collapse_time,maintained_step_ratio,maintained_flow_ratio,minimum_margin,buffer_energy_spent,recovery_energy_spent,reconfiguration_energy_spent,active_bypass_edges,degeneracy_flags,final_graph_hash
6a0413fb07ee9d7c,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,8,0.32,"[8,7,5,4,3,1,0,0]","[4,4,4,4,4,4,4,4]","[4,3,1,0,-1,-3,-4,-4]",4,0.5,0.625,-4,10,0,0,0,,b89b20358dab511b
f4e14ba3b9c50578,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,8,0.32,"[9,8,6,4,3,1,0,0]","[4,4,4,4,4,4,4,4]","[5,4,2,0,-1,-3,-4,-4]",4,0.5,0.625,-4,8,2,0,0,,667df5079660663c
dac9e0c1f95c9c3c,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,8,0.32,"[9,8,5,5,4,2,1,0]","[4,4,4,4,4,4,4,4]","[5,4,1,1,0,-2,-3,-4]",5,0.625,0.71875,-4,8,0,2,2,,e84a960ea2c56bf9
c163a6914a6cf571,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,10,4,8,0.32,"[9,8,7,5,3,2,1,1]","[4,4,4,4,4,4,4,4]","[5,4,3,1,-1,-2,-3,-3]",4,0.5,0.71875,-3,6,4,0,0,,90eea4a3fe51dabb
bf99f49ccfbddecc,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,2,2,calibration,10,8,10,4,8,0.32,"[10,8,6,5,3,0,0,0]","[4,4,4,4,4,4,4,4]","[6,4,2,1,-1,-4,-4,-4]",4,0.5,0.59375,-4,6,2,2,2,,932aeac8369b47e9
21839371bc8fd759,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,4,3,3,calibration,10,8,10,4,8,0.32,"[10,8,6,6,2,2,1,0]","[4,4,4,4,4,4,4,4]","[6,4,2,2,-2,-2,-3,-4]",4,0.5,0.65625,-4,4,3,3,3,,4e3147518d896707
041d033ab4a1a541,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,8,2,calibration,10,8,8,4,8,0.32,"[8,7,5,4,2,0,0,0]","[4,4,4,4,4,4,4,4]","[4,3,1,0,-2,-4,-4,-4]",4,0.5,0.5625,-4,0,8,2,2,,ce6db37e4cedb8ff
1718ac8b031bf0d3,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,4,8,0.32,"[10,9,7,5,3,1,0,0]","[4,4,4,4,4,4,4,4]","[6,5,3,1,-1,-3,-4,-4]",4,0.5,0.625,-4,0,2,8,8,,8df4d32da45bf1cb
5f73e80b75c28f04,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,10,0,calibration,10,8,8,4,8,0.32,"[8,7,6,5,2,1,0,0]","[4,4,4,4,4,4,4,4]","[4,3,2,1,-2,-3,-4,-4]",4,0.5,0.59375,-4,0,10,0,0,,9bb8e6bb4237b444
cf1634dfadf5a914,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,4,8,0.32,"[9,8,5,3,3,1,1,0]","[4,4,4,4,4,4,4,4]","[5,4,1,-1,-1,-3,-3,-4]",3,0.375,0.625,-4,0,0,10,10,,b158be8af6ca55d0
97dbc95fd77bc63f,95ba3d476b514dbd,64bb4c8b94002f92,2000,layered_dag,calibration,random_attrition,calibration,balanced,3,4,3,primary_heldout,10,8,10,4,8,0.32,"[10,9,7,6,3,2,1,0]","[4,4,4,4,4,4,4,4]","[6,5,3,2,-1,-2,-3,-4]",4,0.5,0.6875,-4,3,4,3,3,,4831e555a8d21263
005a8e30c6f445b7,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,10,0,0,calibration,10,8,10,4,8,0.32,"[9,8,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4]","[5,4,3,2,1,0,-1,-2]",6,0.75,0.90625,-2,10,0,0,0,,7861094eafb8a485
b1ad2b8e54c62461,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,2,0,calibration,10,8,10,4,8,0.32,"[10,10,9,8,7,6,5,4]","[4,4,4,4,4,4,4,4]","[6,6,5,4,3,2,1,0]",,1.0,1.0,0,8,2,0,0,no_collapse,54e0ebe568299eed
5eb5443076c6fdda,95ba3d476b514dbd,69383fdf167ef21e,2000,layered_dag,calibration,bottleneck_attack,calibration,buffer_heavy,8,0,2,calibration,10,8,10,4,8,0.32,"[11,9,7,6,5,4,3,2]","[4,4,4,4,4,4,4,4]","[7,5,3,2,1,0,-1,-2]",6,0.75,0.90625,-2,8,0,2,2,,e72a4a8a627415cf
