turn,scenario,seed,attack_type,L_metric,repair_cost_method,removed_edges,giant_size,giant_fraction,efficiency_fraction,L_cumulative_loss,M_budget,target_giant_size,repair_cost_to_target,threshold_crossed,irreversible,event
0,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,0,64,1.0,1.0,-0.0,4,48,0,False,False,
1,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,1,64,1.0,0.9962036868913704,0.0038035373948031607,4,48,0,False,False,
2,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,2,64,1.0,0.9924073737827408,0.00762159693943428,4,48,0,False,False,
3,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,3,64,1.0,0.9886110606741118,0.011454289952048122,4,48,0,False,False,
4,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,4,64,1.0,0.984814747565482,0.015301729035675428,4,48,0,False,False,
5,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,5,64,1.0,0.9802282327194834,0.019969843902224026,4,48,0,False,False,
6,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,6,64,1.0,0.9756417178734871,0.0246598523066712,4,48,0,False,False,
7,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,7,64,1.0,0.9710552030274899,0.029371960579220313,4,48,0,False,False,
8,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,8,64,1.0,0.9664686881814921,0.03410637798064773,4,48,0,False,False,
9,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,9,64,1.0,0.9615034976729914,0.039257076234499096,4,48,0,False,False,
10,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,10,64,1.0,0.9565383071644904,0.044434441594330125,4,48,0,False,False,
11,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,11,64,1.0,0.9515731166559892,0.04963875162915861,4,48,0,False,False,
12,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,12,64,1.0,0.946607926147489,0.05487028826436799,4,48,0,False,False,
13,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,13,64,1.0,0.9414975965443693,0.06028348368227302,4,48,0,False,False,
14,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,14,64,1.0,0.9363872669412496,0.06572614134201792,4,48,0,False,False,
15,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,15,64,1.0,0.9312769373381308,0.07119858370603913,4,48,0,False,False,
16,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,16,64,1.0,0.9261666077350105,0.07670113855991781,4,48,0,False,False,
17,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,17,64,1.0,0.9210921149453772,0.08219523150078276,4,48,0,False,False,
18,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,18,64,1.0,0.9160176221557444,0.08771967633176476,4,48,0,False,False,
19,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,19,64,1.0,0.9109431293661109,0.09327481027221517,4,48,0,False,False,
20,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,20,64,1.0,0.9058686365764776,0.09886097619281603,4,48,0,False,False,
21,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,21,64,1.0,0.9010205129920323,0.10422725471616641,4,48,0,False,False,
22,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,22,64,1.0,0.8961723894075871,0.10962248562110342,4,48,0,False,False,
23,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,23,64,1.0,0.8913242658231426,0.11504698301339132,4,48,0,False,False,
24,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,24,64,1.0,0.886476142238697,0.12050106613831159,4,48,0,False,False,
25,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,25,64,1.0,0.8821237612408092,0.1254229139519866,4,48,0,False,False,
26,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,26,64,1.0,0.8777713802429213,0.1303691062206527,4,48,0,False,False,
27,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,27,64,1.0,0.8734189992450329,0.1353398849670989,4,48,0,False,False,
28,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,28,64,1.0,0.8690666182471446,0.14033549584128982,4,48,0,False,False,
29,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,29,64,1.0,0.8657172879394515,0.1441968810632453,4,48,0,False,False,
30,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,30,64,1.0,0.8623679576317581,0.1480732343973508,4,48,0,False,False,
31,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,31,64,1.0,0.8590186273240646,0.1519646723388575,4,48,0,False,False,
32,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,32,64,1.0,0.8556692970163713,0.15587131274833688,4,48,0,True,False,L_threshold_crossed
33,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,33,56,0.875,0.7401156095603004,0.300948875850881,4,48,0,True,False,
34,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,34,48,0.75,0.6345505107940428,0.45483838775576874,4,48,0,True,False,
35,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,35,40,0.625,0.5401467875880329,0.6159143474958619,4,48,1,True,False,
36,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,36,32,0.5,0.4583958486635199,0.7800221697667682,4,48,2,True,False,
37,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,37,24,0.375,0.3912627459599908,0.9383759601248877,4,48,3,True,False,
38,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,38,16,0.25,0.34146749362104273,1.074502791555915,4,48,4,True,False,
39,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,8,0.125,0.31307040261465047,1.1613271852532907,4,48,5,True,True,repair_cost_exceeds_M
40,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,8,0.125,0.31307040261465047,1.1613271852532907,4,48,5,True,True,
41,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,8,0.125,0.31307040261465047,1.1613271852532907,4,48,5,True,True,
42,clustered_bridge_demo,0,deterministic_internal_then_bridge_removal,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,8,0.125,0.31307040261465047,1.1613271852532907,4,48,5,True,True,
