graph_family,seed,attack_type,L_metric,repair_cost_method,turn,removed_edges,giant_fraction,efficiency_fraction,L_cumulative_loss,M_budget,target_giant_size,repair_cost_to_target,threshold_crossed,irreversible
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,0,0,1.0,1.0,-0.0,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,1,1,1.0,0.9978149424321374,0.0021874482893609617,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,2,2,1.0,0.9963022102697705,0.0037046434556476725,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,3,3,1.0,0.995125640810152,0.004886277624196795,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,4,4,1.0,0.9929405832422892,0.007084452334145343,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,5,5,1.0,0.9903353222959912,0.009711683812687331,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,6,6,1.0,0.9889906714849983,0.011070379673880453,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,7,7,1.0,0.9877300613496928,0.012345835822299828,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,8,8,1.0,0.9853769224304552,0.014731048640674548,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,9,9,1.0,0.9825195394570959,0.017635047948335886,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,10,10,1.0,0.9811748886461036,0.019004559418056555,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,11,11,1.0,0.9794100344566755,0.020804894252135508,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,12,12,1.0,0.9768888141860647,0.023382436705036064,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,13,13,1.0,0.9753760820236976,0.02493215720460176,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,14,14,1.0,0.973695268509957,0.026656890298585867,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,15,15,1.0,0.9727708210773997,0.027606763000720503,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,16,16,1.0,0.9714261702664071,0.028990008660888085,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,17,17,1.0,0.968904949995796,0.031588762722201846,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,18,18,1.0,0.9678964618875514,0.0326301582862483,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,19,19,1.0,0.9654592822926275,0.035151350667150305,4,48,0,False,False
