graph_family,attack_type,turn,mean_giant_fraction,mean_efficiency_fraction,mean_cumulative_loss,mean_repair_cost_to_target,threshold_crossed_rate,irreversible_rate
er,random_failure,0,1.0,1.0,0.0,0.0,0.0,0.0
er,random_failure,1,1.0,0.9983810070852432,0.0016204402747133863,0.0,0.0,0.0
er,random_failure,2,1.0,0.9967334780400781,0.0032721165263135577,0.0,0.0,0.0
er,random_failure,3,1.0,0.9951992781798968,0.004812666130828246,0.0,0.0,0.0
er,random_failure,4,1.0,0.9933525952991379,0.006670696077939769,0.0,0.0,0.0
er,random_failure,5,1.0,0.991668353624697,0.008367835342783571,0.0,0.0,0.0
er,random_failure,6,1.0,0.9899640675737289,0.010088061400601986,0.0,0.0,0.0
er,random_failure,7,1.0,0.9885653355459709,0.011502109405117327,0.0,0.0,0.0
er,random_failure,8,1.0,0.9868665436279574,0.013222223224918733,0.0,0.0,0.0
er,random_failure,9,1.0,0.9848642048676202,0.015253367951903074,0.0,0.0,0.0
er,random_failure,10,1.0,0.9832009012520538,0.01694316911816062,0.0,0.0,0.0
er,random_failure,11,1.0,0.9814964682458974,0.01867803922008153,0.0,0.0,0.0
er,random_failure,12,1.0,0.979723964913891,0.020486117261698283,0.0,0.0,0.0
er,random_failure,13,1.0,0.9779255236706516,0.022324272062569716,0.0,0.0,0.0
er,random_failure,14,1.0,0.9761904524069608,0.02409983761563364,0.0,0.0,0.0
er,random_failure,15,1.0,0.974584870046041,0.025746506876107352,0.0,0.0,0.0
er,random_failure,16,1.0,0.972952454383292,0.027423464366994398,0.0,0.0,0.0
er,random_failure,17,1.0,0.9712965295109002,0.02912746403718522,0.0,0.0,0.0
er,random_failure,18,1.0,0.9694715785919857,0.031008421850689073,0.0,0.0,0.0
er,random_failure,19,1.0,0.967587869793356,0.03295448574959199,0.0,0.0,0.0
er,random_failure,20,1.0,0.965672522277209,0.03493507909806364,0.0,0.0,0.0
er,random_failure,21,1.0,0.9636828919350432,0.03699719015053351,0.0,0.0,0.0
er,random_failure,22,1.0,0.9618755057263472,0.038873889492602766,0.0,0.0,0.0
er,random_failure,23,1.0,0.9601180656746194,0.04070379419688034,0.0,0.0,0.0
er,random_failure,24,1.0,0.9583251917339229,0.04257306104336175,0.0,0.0,0.0
er,random_failure,25,1.0,0.956532773716622,0.04444540858070728,0.0,0.0,0.0
er,random_failure,26,1.0,0.9548291862446078,0.04622877760103683,0.0,0.0,0.0
er,random_failure,27,1.0,0.9529844852936469,0.04816344904483529,0.0,0.0,0.0
er,random_failure,28,1.0,0.9508365129084618,0.05042023753403119,0.0,0.0,0.0
er,random_failure,29,1.0,0.9490181516132811,0.05233364752525743,0.0,0.0,0.0
er,random_failure,30,1.0,0.9471041395738106,0.05435235258816267,0.0,0.0,0.0
er,random_failure,31,1.0,0.9449906382622154,0.05658826381170116,0.0,0.0,0.0
er,random_failure,32,1.0,0.9432020230595541,0.058482575501716906,0.0,0.0,0.0
er,random_failure,33,1.0,0.9414966480234118,0.060291895049489404,0.0,0.0,0.0
er,random_failure,34,1.0,0.9394179782950133,0.06250331525155627,0.0,0.0,0.0
er,random_failure,35,1.0,0.9373693417793714,0.06468645550093985,0.0,0.0,0.0
er,random_failure,36,1.0,0.935867290863631,0.06629028747461256,0.0,0.0,0.0
er,random_failure,37,1.0,0.9336591101676538,0.06865474553667249,0.0,0.0,0.0
er,random_failure,38,1.0,0.9318390888779415,0.07060637345363131,0.0,0.0,0.0
er,random_failure,39,1.0,0.9295637706614078,0.07305267960822902,0.0,0.0,0.0
er,random_failure,40,1.0,0.9273521558003973,0.07543634207041114,0.0,0.0,0.0
er,random_failure,41,1.0,0.9252714341751521,0.07768487667153853,0.0,0.0,0.0
er,random_failure,42,1.0,0.9230316711273345,0.08011198666793362,0.0,0.0,0.0
er,random_failure,43,1.0,0.9208897934011947,0.08243601561199809,0.0,0.0,0.0
er,random_failure,44,1.0,0.9186985949157259,0.08481854083599576,0.0,0.0,0.0
er,random_failure,45,1.0,0.9168376604290384,0.08684474664024845,0.0,0.0,0.0
er,random_failure,46,0.9986979166666666,0.9134216855790388,0.09060110231463071,0.0,0.0,0.0
er,random_failure,47,0.9986979166666666,0.9116541787380266,0.0925413261306169,0.0,0.0,0.0
er,random_failure,48,0.9986979166666666,0.909341285737307,0.09507995171593697,0.0,0.0,0.0
er,random_failure,49,0.9986979166666666,0.9070767340646341,0.0975766762422115,0.0,0.0,0.0
er,random_failure,50,0.9973958333333334,0.903802740479326,0.10123356949439628,0.0,0.0,0.0
er,random_failure,51,0.9973958333333334,0.9017538827424173,0.1035019364338498,0.0,0.0,0.0
er,random_failure,52,0.9973958333333334,0.8993783385162977,0.10613575605718696,0.0,0.0,0.0
er,random_failure,53,0.9973958333333334,0.8969403426992887,0.10884934959978491,0.0,0.0,0.0
er,random_failure,54,0.9973958333333334,0.8949632767257522,0.11106073772505126,0.0,0.0,0.0
er,random_failure,55,0.9973958333333334,0.8929844927562699,0.11327989341453,0.0,0.0,0.0
er,random_failure,56,0.9973958333333334,0.8909766030983346,0.1155352653394849,0.0,0.0,0.0
er,random_failure,57,0.9973958333333334,0.8887520935471084,0.11803913817933626,0.0,0.0,0.0
er,random_failure,58,0.99609375,0.8853116514812097,0.12193643703334724,0.0,0.0,0.0
er,random_failure,59,0.99609375,0.8830273466359397,0.12451702472354564,0.0,0.0,0.0
er,random_failure,60,0.99609375,0.8807937007115814,0.12705289057216543,0.0,0.0,0.0
er,random_failure,61,0.99609375,0.878477574117901,0.1296853373798785,0.0,0.0,0.0
er,random_failure,62,0.99609375,0.8760752728466831,0.13242421449962713,0.0,0.0,0.0
er,random_failure,63,0.99609375,0.8736598118387561,0.13518923868303478,0.0,0.0,0.0
er,random_failure,64,0.99609375,0.8710655544045659,0.13816835891892626,0.0,0.0,0.0
er,random_failure,65,0.99609375,0.8689646519379767,0.1405837673050878,0.0,0.0,0.0
er,random_failure,66,0.9947916666666666,0.865289538717588,0.1448309694180541,0.0,0.0,0.0
er,random_failure,67,0.9947916666666666,0.8631984047341632,0.14725336525948915,0.0,0.0,0.0
er,random_failure,68,0.9947916666666666,0.8610591059960887,0.14973946907004185,0.0,0.0,0.0
er,random_failure,69,0.9934895833333334,0.8573060343967586,0.15413825634936376,0.0,0.0,0.0
er,random_failure,70,0.9934895833333334,0.8550063584195552,0.15682631859367158,0.0,0.0,0.0
er,random_failure,71,0.9921875,0.8513417209835086,0.16117181614659382,0.0,0.0,0.0
er,random_failure,72,0.9921875,0.8485775064710844,0.16442594444195865,0.0,0.0,0.0
er,random_failure,73,0.9921875,0.846126775729433,0.16731628703488496,0.0,0.0,0.0
er,random_failure,74,0.9921875,0.8436266897953053,0.170272800605377,0.0,0.0,0.0
er,random_failure,75,0.9921875,0.8408901739848148,0.17354154037473735,0.0,0.0,0.0
er,random_failure,76,0.9921875,0.8384926175279808,0.17639217476037486,0.0,0.0,0.0
er,random_failure,77,0.9921875,0.8356430942092586,0.1798094531363161,0.0,0.0,0.0
er,random_failure,78,0.9921875,0.8328507460687099,0.18316875231376342,0.0,0.0,0.0
er,random_failure,79,0.9921875,0.8305752795725159,0.18591000987571527,0.0,0.0,0.0
er,random_failure,80,0.9921875,0.827792652298995,0.18927285543700592,0.0,0.0,0.0
er,random_failure,81,0.9921875,0.8251796046007196,0.19244446398461815,0.0,0.0,0.0
er,random_failure,82,0.9921875,0.8231167488366083,0.1949575969580342,0.0,0.0,0.0
er,random_failure,83,0.9921875,0.8205907848192632,0.1980344375125942,0.0,0.0,0.0
er,random_failure,84,0.9921875,0.8171839600991802,0.20220461963335748,0.0,0.0,0.0
er,random_failure,85,0.9921875,0.8142105143653331,0.2058560401720441,0.0,0.0,0.0
er,random_failure,86,0.9921875,0.8109987590852933,0.20981133755786865,0.0,0.16666666666666666,0.0
er,random_failure,87,0.9921875,0.8076693894330814,0.21392516535247372,0.0,0.16666666666666666,0.0
er,random_failure,88,0.9921875,0.8048534403399068,0.21741940036469665,0.0,0.16666666666666666,0.0
er,random_failure,89,0.9908854166666666,0.8005781492580256,0.2228457545239111,0.0,0.16666666666666666,0.0
er,random_failure,90,0.9908854166666666,0.7973707071437918,0.22685967455306846,0.0,0.16666666666666666,0.0
er,random_failure,91,0.9908854166666666,0.7938051396120965,0.23136083543120078,0.0,0.3333333333333333,0.0
er,random_failure,92,0.9908854166666666,0.7904335595070493,0.23565067151311078,0.0,0.3333333333333333,0.0
er,random_failure,93,0.9908854166666666,0.7872989745735864,0.2396079336725632,0.0,0.4166666666666667,0.0
er,random_failure,94,0.9908854166666666,0.7840921047022049,0.243686691743344,0.0,0.4166666666666667,0.0
er,random_failure,95,0.9908854166666666,0.7813031158586018,0.24726438420981897,0.0,0.4166666666666667,0.0
er,random_failure,96,0.9908854166666666,0.778067430082178,0.25145048978635537,0.0,0.4166666666666667,0.0
er,targeted_degree_attack,0,1.0,1.0,0.0,0.0,0.0,0.0
er,targeted_degree_attack,1,1.0,0.998807023442683,0.001193723516502093,0.0,0.0,0.0
er,targeted_degree_attack,2,1.0,0.9971858349927344,0.00281828229031947,0.0,0.0,0.0
er,targeted_degree_attack,3,1.0,0.9955222675946418,0.004488323212747178,0.0,0.0,0.0
er,targeted_degree_attack,4,1.0,0.9940610047889186,0.005957204345490342,0.0,0.0,0.0
er,targeted_degree_attack,5,1.0,0.9925296994688466,0.007498940972751954,0.0,0.0,0.0
er,targeted_degree_attack,6,1.0,0.9907800808745377,0.009263216619611955,0.0,0.0,0.0
er,targeted_degree_attack,7,1.0,0.9891587806336607,0.010901279839182293,0.0,0.0,0.0
er,targeted_degree_attack,8,1.0,0.9877039286024579,0.01237343666721584,0.0,0.0,0.0
er,targeted_degree_attack,9,1.0,0.9860013771483956,0.014098801041453139,0.0,0.0,0.0
er,targeted_degree_attack,10,1.0,0.9844808491917445,0.015641983417270723,0.0,0.0,0.0
er,targeted_degree_attack,11,1.0,0.9828719845003336,0.017277228460945673,0.0,0.0,0.0
er,targeted_degree_attack,12,1.0,0.9814887820794658,0.01868586780268907,0.0,0.0,0.0
er,targeted_degree_attack,13,1.0,0.9798369198074678,0.020370507295891266,0.0,0.0,0.0
er,targeted_degree_attack,14,1.0,0.9779244733534228,0.022324461537408153,0.0,0.0,0.0
er,targeted_degree_attack,15,1.0,0.976047793826457,0.024245401054661966,0.0,0.0,0.0
er,targeted_degree_attack,16,1.0,0.9741083874153343,0.026234576229284063,0.0,0.0,0.0
er,targeted_degree_attack,17,1.0,0.972284489013703,0.02810951708593089,0.0,0.0,0.0
er,targeted_degree_attack,18,1.0,0.970529099488736,0.029916035634427962,0.0,0.0,0.0
er,targeted_degree_attack,19,1.0,0.96865505344257,0.031849045046118254,0.0,0.0,0.0
er,targeted_degree_attack,20,1.0,0.9668683563936421,0.03369563815142967,0.0,0.0,0.0
er,targeted_degree_attack,21,1.0,0.9649806221957905,0.03565030880756336,0.0,0.0,0.0
er,targeted_degree_attack,22,1.0,0.963129870344526,0.037570116138450564,0.0,0.0,0.0
er,targeted_degree_attack,23,1.0,0.9615387082094914,0.03922346458472827,0.0,0.0,0.0
er,targeted_degree_attack,24,1.0,0.9598395364151718,0.040992411720453016,0.0,0.0,0.0
er,targeted_degree_attack,25,1.0,0.9581871417091016,0.04271571535344205,0.0,0.0,0.0
er,targeted_degree_attack,26,1.0,0.9562849740355408,0.04470249880866242,0.0,0.0,0.0
er,targeted_degree_attack,27,1.0,0.9543527651571931,0.04672549099499657,0.0,0.0,0.0
er,targeted_degree_attack,28,1.0,0.9525920766498204,0.048572157918398674,0.0,0.0,0.0
er,targeted_degree_attack,29,1.0,0.9508397834124876,0.05041354996337751,0.0,0.0,0.0
er,targeted_degree_attack,30,0.9986979166666666,0.9474404468181339,0.05401389828106804,0.0,0.0,0.0
