code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,3222282399,"[1092, 268, 67, 1044, 1030, 2564, 3076, 1057, 2060, 784, 1033, 37, 517, 2051, 832, 2180, 133, 49, 100, 112, 2320, 69, 82, 1048]"
code_n24_k12_cw3_001,train,24,12,12,0.5,3,3222282400,"[1104, 2568, 1568, 776, 112, 259, 14, 3200, 800, 2113, 2305, 2072, 138, 584, 134, 1027, 97, 2068, 580, 584, 2180, 148, 104, 1540]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,3222282401,"[530, 37, 14, 25, 22, 164, 524, 2308, 524, 448, 280, 3136, 137, 1296, 1538, 2065, 2320, 2066, 2184, 2180, 1029, 2308, 2368, 1792]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,3222282402,"[1537, 2116, 196, 137, 529, 1096, 2084, 25, 2120, 580, 548, 14, 289, 1060, 2432, 44, 896, 1034, 1089, 552, 704, 578, 1600, 138]"
code_n24_k12_cw3_004,train,24,12,12,0.5,3,3222282403,"[770, 2432, 1538, 2564, 3584, 2057, 3074, 530, 146, 644, 1120, 196, 196, 2084, 400, 672, 1104, 1096, 2060, 2432, 276, 2082, 266, 641]"
code_n24_k12_cw3_005,train,24,12,12,0.5,3,3222282404,"[1120, 2054, 164, 19, 2054, 28, 81, 290, 148, 69, 76, 2068, 518, 304, 41, 515, 580, 641, 2688, 1089, 641, 1060, 592, 1058]"
code_n24_k12_cw3_006,train,24,12,12,0.5,3,3222282405,"[3080, 2306, 194, 642, 290, 2568, 1048, 578, 137, 76, 2688, 3088, 521, 2058, 1284, 2184, 560, 88, 2051, 2592, 42, 518, 2576, 1312]"
code_n24_k12_cw3_007,test,24,12,12,0.5,3,3222282406,"[1048, 69, 56, 1104, 548, 2192, 76, 2564, 1154, 11, 137, 2592, 772, 44, 896, 69, 1664, 2192, 168, 704, 1104, 545, 896, 1600]"
code_n24_k12_cw3_008,train,24,12,12,0.5,3,3222282407,"[776, 1568, 529, 644, 2336, 560, 97, 1044, 2312, 776, 1044, 1048, 1060, 1034, 290, 642, 2208, 648, 1792, 14, 97, 552, 1072, 21]"
code_n24_k12_cw3_009,test,24,12,12,0.5,3,3222282408,"[3080, 138, 2336, 73, 1042, 560, 3076, 265, 164, 1048, 3076, 148, 37, 1057, 2562, 515, 2688, 772, 2177, 74, 545, 1090, 1072, 2120]"
code_n24_k12_cw3_010,train,24,12,12,0.5,3,3222282409,"[552, 265, 832, 800, 3073, 2305, 1282, 70, 104, 73, 2368, 67, 1284, 800, 2060, 2144, 517, 1057, 98, 26, 1282, 2088, 1160, 532]"
code_n24_k12_cw3_011,validation,24,12,12,0.5,3,3222282410,"[273, 2057, 776, 800, 49, 1537, 2114, 2060, 400, 672, 772, 2320, 1282, 2320, 133, 2058, 22, 268, 289, 268, 2688, 2592, 224, 3104]"
code_n24_k12_cw3_012,train,24,12,12,0.5,3,3222282411,"[532, 1064, 336, 50, 832, 642, 2308, 388, 261, 3328, 2320, 292, 517, 2128, 1033, 2561, 1281, 1540, 656, 268, 1096, 580, 2561, 1296]"
code_n24_k12_cw3_013,validation,24,12,12,0.5,3,3222282412,"[49, 1034, 276, 776, 2208, 592, 1036, 1312, 2088, 69, 1058, 2081, 560, 578, 642, 1312, 3328, 352, 100, 1792, 38, 2072, 592, 518]"
code_n24_k12_cw3_014,train,24,12,12,0.5,3,3222282413,"[3088, 2178, 2088, 608, 67, 266, 146, 1544, 1281, 2178, 140, 1044, 19, 770, 672, 385, 448, 2208, 134, 2082, 56, 25, 2065, 35]"
code_n24_k12_cw3_015,train,24,12,12,0.5,3,3222282414,"[304, 1792, 37, 2184, 133, 1544, 224, 1312, 104, 268, 2592, 1296, 769, 1288, 1030, 2144, 1030, 2561, 548, 2308, 2308, 168, 1064, 770]"
code_n24_k12_cw3_016,test,24,12,12,0.5,3,3222282415,"[2306, 82, 2068, 98, 162, 208, 50, 74, 1216, 1408, 138, 1036, 1537, 259, 1792, 2057, 1312, 112, 13, 2564, 385, 608, 194, 296]"
code_n24_k12_cw3_017,train,24,12,12,0.5,3,3222282416,"[1408, 416, 164, 74, 1160, 2178, 292, 11, 1184, 26, 2592, 3074, 336, 2177, 1089, 388, 208, 1168, 416, 97, 2208, 296, 769, 392]"
code_n24_k12_cw3_018,validation,24,12,12,0.5,3,3222282417,"[280, 772, 2336, 98, 49, 1184, 69, 1041, 176, 642, 448, 88, 2065, 2060, 2060, 1284, 2312, 2184, 448, 1538, 2084, 161, 289, 1544]"
code_n24_k12_cw3_019,test,24,12,12,0.5,3,3222282418,"[164, 208, 52, 1042, 2053, 2065, 2368, 704, 1600, 832, 641, 224, 3328, 290, 3584, 261, 1312, 641, 1058, 56, 262, 592, 641, 73]"
code_n24_k12_cw3_020,test,24,12,12,0.5,3,3222282419,"[56, 100, 176, 164, 517, 896, 3074, 580, 336, 25, 2057, 1282, 400, 1154, 3328, 2192, 145, 2568, 164, 164, 644, 112, 1664, 1042]"
code_n24_k12_cw3_021,train,24,12,12,0.5,3,3222282420,"[82, 2177, 1312, 1344, 2058, 448, 3076, 2120, 41, 56, 770, 2053, 1089, 69, 1538, 592, 529, 2312, 304, 1160, 97, 704, 3076, 2114]"
code_n24_k12_cw3_022,train,24,12,12,0.5,3,3222282421,"[536, 548, 352, 1538, 137, 3584, 772, 161, 776, 224, 532, 577, 3104, 74, 3584, 3076, 1060, 1600, 1092, 2568, 21, 1034, 448, 3076]"
code_n24_k12_cw3_023,train,24,12,12,0.5,3,3222282422,"[2113, 1344, 1154, 1282, 529, 1160, 14, 98, 2184, 1568, 1153, 268, 1120, 41, 608, 52, 1284, 73, 2564, 560, 515, 2128, 324, 2054]"
code_n24_k12_cw3_024,train,24,12,12,0.5,3,3222282423,"[770, 2568, 152, 448, 2576, 2208, 2308, 1120, 152, 134, 138, 578, 1296, 81, 2178, 1072, 577, 1072, 2180, 560, 137, 82, 296, 35]"
code_n24_k12_cw3_025,validation,24,12,12,0.5,3,3222282424,"[2592, 145, 584, 2177, 2120, 2568, 164, 2066, 392, 552, 134, 2208, 304, 1057, 2144, 1044, 274, 2576, 280, 2192, 2336, 1600, 1156, 2072]"
code_n24_k12_cw3_026,train,24,12,12,0.5,3,3222282425,"[74, 1792, 2320, 70, 1168, 261, 2082, 194, 800, 104, 100, 515, 2305, 321, 3200, 1537, 100, 2053, 290, 577, 35, 49, 81, 41]"
code_n24_k12_cw3_027,train,24,12,12,0.5,3,3222282426,"[522, 1282, 336, 67, 642, 656, 162, 2180, 1041, 2068, 97, 560, 1160, 2065, 1120, 70, 2320, 138, 518, 176, 100, 517, 137, 1036]"
