code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n24_k12_cw3_000,0,0,9,12926,exact,4
code_n24_k12_cw3_001,1,22,240,12926,exact,2
code_n24_k12_cw3_002,2,44,467,12926,exact,2
code_n24_k12_cw3_003,0,0,16,12926,exact,4
code_n24_k12_cw3_004,2,44,467,12926,exact,2
code_n24_k12_cw3_005,2,44,475,12926,exact,2
code_n24_k12_cw3_006,0,0,16,12926,exact,4
code_n24_k12_cw3_007,4,88,921,12926,exact,2
code_n24_k12_cw3_008,3,66,701,12926,exact,2
code_n24_k12_cw3_009,1,22,239,12926,exact,2
code_n24_k12_cw3_010,2,44,470,12926,exact,2
code_n24_k12_cw3_011,2,44,471,12926,exact,2
code_n24_k12_cw3_012,1,22,247,12926,exact,2
code_n24_k12_cw3_013,2,44,466,12926,exact,2
code_n24_k12_cw3_014,1,22,241,12926,exact,2
code_n24_k12_cw3_015,2,44,472,12926,exact,2
code_n24_k12_cw3_016,0,0,10,12926,exact,4
code_n24_k12_cw3_017,1,22,241,12926,exact,2
code_n24_k12_cw3_018,2,44,467,12926,exact,2
code_n24_k12_cw3_019,3,64,655,12926,exact,2
code_n24_k12_cw3_020,3,64,666,12926,exact,2
code_n24_k12_cw3_021,1,22,234,12926,exact,2
code_n24_k12_cw3_022,2,44,469,12926,exact,2
code_n24_k12_cw3_023,0,0,5,12926,exact,4
code_n24_k12_cw3_024,2,44,468,12926,exact,2
code_n24_k12_cw3_025,0,0,11,12926,exact,4
code_n24_k12_cw3_026,1,22,239,12926,exact,2
code_n24_k12_cw3_027,0,0,10,12926,exact,4
code_n24_k12_cw3_028,1,22,235,12926,exact,2
code_n24_k12_cw3_029,0,0,9,12926,exact,4
code_n24_k12_cw3_030,1,22,238,12926,exact,2
code_n24_k12_cw3_031,1,22,240,12926,exact,2
code_n24_k12_cw3_032,0,0,11,12926,exact,4
code_n24_k12_cw3_033,3,66,702,12926,exact,2
code_n24_k12_cw3_034,2,44,469,12926,exact,2
code_n24_k12_cw3_035,1,22,241,12926,exact,2
code_n24_k12_cw3_036,0,0,9,12926,exact,4
code_n24_k12_cw3_037,2,44,474,12926,exact,2
code_n24_k12_cw3_038,4,88,930,12926,exact,2
code_n24_k12_cw3_039,0,0,10,12926,exact,4
code_n24_k12_cw3_040,2,44,468,12926,exact,2
code_n24_k12_cw3_041,0,0,12,12926,exact,4
code_n24_k12_cw3_042,1,22,244,12926,exact,2
code_n24_k12_cw3_043,1,22,237,12926,exact,2
code_n24_k12_cw3_044,1,22,234,12926,exact,2
code_n24_k12_cw3_045,2,44,466,12926,exact,2
code_n24_k12_cw3_046,0,0,5,12926,exact,4
code_n24_k12_cw3_047,1,22,238,12926,exact,2
code_n24_k12_cw3_048,2,44,465,12926,exact,2
code_n24_k12_cw3_049,1,22,243,12926,exact,2
code_n24_k12_cw3_050,2,44,478,12926,exact,2
code_n24_k12_cw3_051,2,44,471,12926,exact,2
code_n24_k12_cw3_052,2,44,462,12926,exact,2
code_n24_k12_cw3_053,0,0,14,12926,exact,4
code_n24_k12_cw3_054,0,0,8,12926,exact,4
code_n24_k12_cw3_055,1,22,236,12926,exact,2
code_n24_k12_cw3_056,0,0,8,12926,exact,4
code_n24_k12_cw3_057,1,22,238,12926,exact,2
code_n24_k12_cw3_058,2,44,467,12926,exact,2
code_n24_k12_cw3_059,2,44,482,12926,exact,2
code_n24_k12_cw3_060,0,0,7,12926,exact,4
code_n24_k12_cw3_061,1,22,235,12926,exact,2
code_n24_k12_cw3_062,1,22,245,12926,exact,2
code_n24_k12_cw3_063,2,44,475,12926,exact,2
code_n24_k12_cw3_064,1,22,244,12926,exact,2
code_n24_k12_cw3_065,3,66,701,12926,exact,2
code_n24_k12_cw3_066,2,44,475,12926,exact,2
code_n24_k12_cw3_067,1,22,241,12926,exact,2
code_n24_k12_cw3_068,3,66,705,12926,exact,2
code_n24_k12_cw3_069,0,0,12,12926,exact,4
code_n24_k12_cw3_070,0,0,8,12926,exact,4
code_n24_k12_cw3_071,1,22,234,12926,exact,2
code_n24_k12_cw3_072,3,66,696,12926,exact,2
code_n24_k12_cw3_073,1,22,241,12926,exact,2
code_n24_k12_cw3_074,2,44,468,12926,exact,2
code_n24_k12_cw3_075,1,22,241,12926,exact,2
code_n24_k12_cw3_076,0,0,4,12926,exact,4
code_n24_k12_cw3_077,1,22,244,12926,exact,2
code_n24_k12_cw3_078,3,66,716,12926,exact,2
code_n24_k12_cw3_079,0,0,5,12926,exact,4
code_n24_k12_cw3_080,1,22,236,12926,exact,2
code_n24_k12_cw3_081,2,44,469,12926,exact,2
code_n24_k12_cw3_082,2,44,464,12926,exact,2
code_n24_k12_cw3_083,3,64,654,12926,exact,2
code_n24_k12_cw3_084,1,22,236,12926,exact,2
code_n24_k12_cw3_085,2,44,466,12926,exact,2
code_n24_k12_cw3_086,3,66,702,12926,exact,2
code_n24_k12_cw3_087,0,0,8,12926,exact,4
code_n24_k12_cw3_088,0,0,11,12926,exact,4
code_n24_k12_cw3_089,1,22,237,12926,exact,2
code_n24_k12_cw3_090,3,66,705,12926,exact,2
code_n24_k12_cw3_091,2,44,475,12926,exact,2
code_n24_k12_cw3_092,1,22,234,12926,exact,2
code_n24_k12_cw3_093,2,44,470,12926,exact,2
code_n24_k12_cw3_094,1,22,235,12926,exact,2
code_n24_k12_cw3_095,2,44,478,12926,exact,2
code_n24_k12_cw3_096,3,66,694,12926,exact,2
code_n24_k12_cw3_097,0,0,8,12926,exact,4
code_n24_k12_cw3_098,0,0,10,12926,exact,4
code_n24_k12_cw3_099,1,22,247,12926,exact,2
code_n24_k12_cw3_100,2,44,473,12926,exact,2
code_n24_k12_cw3_101,1,22,239,12926,exact,2
code_n24_k12_cw3_102,3,66,695,12926,exact,2
code_n24_k12_cw3_103,1,22,237,12926,exact,2
code_n24_k12_cw3_104,0,0,13,12926,exact,4
code_n24_k12_cw3_105,2,44,463,12926,exact,2
