split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,48,0.0458984375,0.0,0.13671875
test,0.24,48,0.09431966145833333,0.015625,0.2578125
test,0.3,48,0.1865234375,0.0625,0.39453125
test,0.36,48,0.3107096354166667,0.10546875,0.55859375
train,0.18,144,0.044135199652777776,0.0,0.15234375
train,0.24,144,0.09735785590277778,0.00390625,0.2421875
train,0.3,144,0.17919921875,0.01953125,0.38671875
train,0.36,144,0.3151041666666667,0.12890625,0.54296875
validation,0.18,48,0.04345703125,0.0,0.13671875
validation,0.24,48,0.09195963541666667,0.015625,0.19921875
validation,0.3,48,0.18221028645833334,0.0625,0.328125
validation,0.36,48,0.3251953125,0.15625,0.44921875
