code_id,split,n,k,r,rate,column_weight,seed,columns
code_n32_k20_cw3_000,train,32,20,12,0.625,3,2280687599,"[131, 1552, 580, 321, 517, 2082, 580, 1064, 152, 2058, 1029, 1216, 552, 2688, 2312, 1034, 2192, 800, 1281, 322, 1090, 146, 578, 1072, 19, 2368, 552, 2312, 1048, 1064, 265, 2081]"
code_n32_k20_cw3_001,train,32,20,12,0.625,3,2280687600,"[81, 3104, 2057, 2306, 52, 1092, 769, 133, 2432, 69, 1036, 2240, 161, 162, 545, 515, 1282, 2564, 2305, 1072, 13, 1282, 44, 1048, 84, 35, 81, 1281, 41, 1092, 292, 386]"
code_n32_k20_cw3_002,train,32,20,12,0.625,3,2280687601,"[1064, 1792, 1600, 52, 146, 644, 530, 416, 392, 50, 641, 2312, 13, 146, 3136, 268, 578, 133, 2305, 3080, 164, 3074, 26, 2057, 1168, 152, 2561, 2054, 578, 1538, 3584, 2082]"
code_n32_k20_cw3_003,train,32,20,12,0.625,3,2280687602,"[259, 100, 2562, 2065, 328, 552, 140, 1104, 1344, 1153, 2432, 168, 100, 56, 168, 521, 1153, 193, 2113, 2192, 416, 3088, 81, 328, 2072, 1664, 3080, 515, 161, 140, 584, 3104]"
code_n32_k20_cw3_004,train,32,20,12,0.625,3,2280687603,"[1036, 2306, 3328, 1344, 2072, 2306, 2128, 3080, 1160, 642, 3328, 578, 88, 2084, 82, 137, 1044, 70, 832, 2053, 518, 584, 2192, 2305, 273, 1568, 56, 25, 276, 76, 152, 168]"
code_n32_k20_cw3_005,train,32,20,12,0.625,3,2280687604,"[2180, 536, 2180, 552, 704, 1044, 644, 336, 2116, 2305, 138, 1120, 268, 259, 2180, 1027, 2308, 274, 769, 2066, 2564, 2562, 194, 769, 2816, 800, 1184, 276, 280, 138, 1537, 1568]"
code_n32_k20_cw3_006,train,32,20,12,0.625,3,2280687605,"[416, 208, 1284, 1058, 2562, 321, 134, 832, 530, 134, 2576, 2305, 290, 193, 2592, 265, 265, 1344, 3073, 1168, 1057, 134, 44, 2120, 2065, 416, 2072, 641, 1034, 644, 208, 11]"
code_n32_k20_cw3_007,validation,32,20,12,0.625,3,2280687606,"[545, 2688, 2088, 296, 2177, 19, 386, 2306, 400, 138, 1042, 3136, 1104, 35, 1156, 386, 44, 3200, 1168, 641, 1664, 25, 196, 772, 3076, 289, 2184, 67, 545, 3104, 2688, 328]"
code_n32_k20_cw3_008,validation,32,20,12,0.625,3,2280687607,"[2053, 2336, 642, 2562, 1153, 800, 321, 2305, 1540, 1408, 578, 2068, 400, 1216, 1296, 385, 13, 522, 1216, 25, 290, 1092, 1552, 137, 1568, 578, 3073, 146, 1072, 70, 208, 592]"
code_n32_k20_cw3_009,test,32,20,12,0.625,3,2280687608,"[1041, 1664, 2054, 546, 274, 769, 1288, 2066, 193, 56, 1540, 2072, 3584, 56, 2066, 2058, 104, 800, 3136, 545, 641, 2688, 2096, 1104, 2184, 1048, 1154, 1282, 104, 656, 2116, 1538]"
