code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n32_k20_cw3_000,4,120,1758,41416,exact,2
code_n32_k20_cw3_001,3,90,1333,41416,exact,2
code_n32_k20_cw3_002,2,60,886,41416,exact,2
code_n32_k20_cw3_003,5,150,2189,41416,exact,2
code_n32_k20_cw3_004,2,60,903,41416,exact,2
code_n32_k20_cw3_005,5,148,2141,41416,exact,2
code_n32_k20_cw3_006,6,178,2561,41416,exact,2
code_n32_k20_cw3_007,3,90,1324,41416,exact,2
code_n32_k20_cw3_008,2,60,897,41416,exact,2
code_n32_k20_cw3_009,3,90,1322,41416,exact,2
code_n32_k20_cw3_010,1,30,460,41416,exact,2
code_n32_k20_cw3_011,2,60,895,41416,exact,2
code_n32_k20_cw3_012,5,148,2147,41416,exact,2
code_n32_k20_cw3_013,3,90,1320,41416,exact,2
code_n32_k20_cw3_014,3,90,1333,41416,exact,2
code_n32_k20_cw3_015,4,118,1706,41416,exact,2
code_n32_k20_cw3_016,1,30,481,41416,exact,2
code_n32_k20_cw3_017,3,90,1325,41416,exact,2
code_n32_k20_cw3_018,5,148,2129,41416,exact,2
code_n32_k20_cw3_019,2,60,890,41416,exact,2
code_n32_k20_cw3_020,1,30,463,41416,exact,2
code_n32_k20_cw3_021,3,90,1322,41416,exact,2
code_n32_k20_cw3_022,1,30,469,41416,exact,2
code_n32_k20_cw3_023,4,118,1719,41416,exact,2
code_n32_k20_cw3_024,4,120,1757,41416,exact,2
code_n32_k20_cw3_025,2,60,902,41416,exact,2
code_n32_k20_cw3_026,1,30,478,41416,exact,2
code_n32_k20_cw3_027,4,120,1786,41416,exact,2
code_n32_k20_cw3_028,4,120,1766,41416,exact,2
code_n32_k20_cw3_029,5,150,2191,41416,exact,2
code_n32_k20_cw3_030,3,88,1270,41416,exact,2
code_n32_k20_cw3_031,5,150,2182,41416,exact,2
code_n32_k20_cw3_032,2,60,898,41416,exact,2
code_n32_k20_cw3_033,3,90,1329,41416,exact,2
code_n32_k20_cw3_034,3,90,1324,41416,exact,2
code_n32_k20_cw3_035,1,30,461,41416,exact,2
code_n32_k20_cw3_036,0,0,26,41416,exact,4
code_n32_k20_cw3_037,2,60,902,41416,exact,2
code_n32_k20_cw3_038,3,90,1331,41416,exact,2
code_n32_k20_cw3_039,4,120,1758,41416,exact,2
code_n32_k20_cw3_040,3,90,1340,41416,exact,2
code_n32_k20_cw3_041,2,60,896,41416,exact,2
code_n32_k20_cw3_042,3,90,1329,41416,exact,2
code_n32_k20_cw3_043,4,120,1765,41416,exact,2
code_n32_k20_cw3_044,2,60,904,41416,exact,2
code_n32_k20_cw3_045,1,30,454,41416,exact,2
code_n32_k20_cw3_046,4,120,1762,41416,exact,2
code_n32_k20_cw3_047,0,0,28,41416,exact,4
code_n32_k20_cw3_048,2,60,892,41416,exact,2
code_n32_k20_cw3_049,1,30,462,41416,exact,2
code_n32_k20_cw3_050,3,90,1343,41416,exact,2
code_n32_k20_cw3_051,1,30,460,41416,exact,2
code_n32_k20_cw3_052,1,30,476,41416,exact,2
code_n32_k20_cw3_053,3,90,1329,41416,exact,2
code_n32_k20_cw3_054,0,0,26,41416,exact,4
code_n32_k20_cw3_055,3,90,1319,41416,exact,2
code_n32_k20_cw3_056,2,60,900,41416,exact,2
code_n32_k20_cw3_057,1,30,463,41416,exact,2
code_n32_k20_cw3_058,0,0,33,41416,exact,4
code_n32_k20_cw3_059,6,178,2577,41416,exact,2
code_n32_k20_cw3_060,0,0,39,41416,exact,4
code_n32_k20_cw3_061,1,30,463,41416,exact,2
code_n32_k20_cw3_062,2,60,895,41416,exact,2
code_n32_k20_cw3_063,3,90,1318,41416,exact,2
code_n32_k20_cw3_064,2,60,906,41416,exact,2
code_n32_k20_cw3_065,3,90,1325,41416,exact,2
code_n32_k20_cw3_066,2,60,895,41416,exact,2
code_n32_k20_cw3_067,1,30,461,41416,exact,2
code_n32_k20_cw3_068,2,60,916,41416,exact,2
code_n32_k20_cw3_069,1,30,461,41416,exact,2
code_n32_k20_cw3_070,6,172,2408,41416,exact,2
code_n32_k20_cw3_071,1,30,475,41416,exact,2
code_n32_k20_cw3_072,1,30,471,41416,exact,2
code_n32_k20_cw3_073,2,60,889,41416,exact,2
code_n32_k20_cw3_074,6,180,2608,41416,exact,2
code_n32_k20_cw3_075,4,120,1760,41416,exact,2
code_n32_k20_cw3_076,5,150,2190,41416,exact,2
code_n32_k20_cw3_077,2,60,906,41416,exact,2
code_n32_k20_cw3_078,1,30,492,41416,exact,2
code_n32_k20_cw3_079,1,30,459,41416,exact,2
code_n32_k20_cw3_080,1,30,460,41416,exact,2
code_n32_k20_cw3_081,0,0,24,41416,exact,4
code_n32_k20_cw3_082,1,30,474,41416,exact,2
code_n32_k20_cw3_083,5,148,2127,41416,exact,2
code_n32_k20_cw3_084,2,60,908,41416,exact,2
code_n32_k20_cw3_085,4,120,1761,41416,exact,2
code_n32_k20_cw3_086,0,0,26,41416,exact,4
code_n32_k20_cw3_087,2,60,896,41416,exact,2
code_n32_k20_cw3_088,1,30,465,41416,exact,2
code_n32_k20_cw3_089,4,120,1780,41416,exact,2
code_n32_k20_cw3_090,1,30,465,41416,exact,2
code_n32_k20_cw3_091,1,30,465,41416,exact,2
code_n32_k20_cw3_092,2,60,904,41416,exact,2
code_n32_k20_cw3_093,2,60,912,41416,exact,2
code_n32_k20_cw3_094,2,60,904,41416,exact,2
code_n32_k20_cw3_095,1,30,467,41416,exact,2
code_n32_k20_cw3_096,1,30,472,41416,exact,2
code_n32_k20_cw3_097,2,60,886,41416,exact,2
code_n32_k20_cw3_098,0,0,47,41416,exact,4
code_n32_k20_cw3_099,1,30,479,41416,exact,2
code_n32_k20_cw3_100,5,148,2135,41416,exact,2
code_n32_k20_cw3_101,1,30,468,41416,exact,2
code_n32_k20_cw3_102,5,148,2140,41416,exact,2
code_n32_k20_cw3_103,3,90,1329,41416,exact,2
code_n32_k20_cw3_104,2,60,890,41416,exact,2
code_n32_k20_cw3_105,5,148,2129,41416,exact,2
code_n32_k20_cw3_106,3,90,1341,41416,exact,2
code_n32_k20_cw3_107,0,0,26,41416,exact,4
code_n32_k20_cw3_108,1,30,472,41416,exact,2
code_n32_k20_cw3_109,2,60,911,41416,exact,2
code_n32_k20_cw3_110,0,0,32,41416,exact,4
code_n32_k20_cw3_111,4,120,1763,41416,exact,2
code_n32_k20_cw3_112,3,88,1293,41416,exact,2
code_n32_k20_cw3_113,2,60,892,41416,exact,2
code_n32_k20_cw3_114,1,30,459,41416,exact,2
code_n32_k20_cw3_115,1,30,469,41416,exact,2
code_n32_k20_cw3_116,1,30,465,41416,exact,2
code_n32_k20_cw3_117,1,30,467,41416,exact,2
code_n32_k20_cw3_118,1,30,463,41416,exact,2
code_n32_k20_cw3_119,0,0,36,41416,exact,4
code_n40_k25_cw3_000,0,0,20,102050,exact,4
code_n40_k25_cw3_001,0,0,20,102050,exact,4
code_n40_k25_cw3_002,5,190,3521,102050,exact,2
code_n40_k25_cw3_003,3,114,2138,102050,exact,2
code_n40_k25_cw3_004,4,152,2831,102050,exact,2
code_n40_k25_cw3_005,0,0,19,102050,exact,4
code_n40_k25_cw3_006,0,0,20,102050,exact,4
code_n40_k25_cw3_007,4,150,2757,102050,exact,2
code_n40_k25_cw3_008,2,76,1431,102050,exact,2
code_n40_k25_cw3_009,2,76,1438,102050,exact,2
code_n40_k25_cw3_010,5,188,3445,102050,exact,2
code_n40_k25_cw3_011,2,76,1426,102050,exact,2
code_n40_k25_cw3_012,3,114,2141,102050,exact,2
code_n40_k25_cw3_013,4,152,2828,102050,exact,2
code_n40_k25_cw3_014,1,38,735,102050,exact,2
code_n40_k25_cw3_015,2,76,1419,102050,exact,2
code_n40_k25_cw3_016,0,0,33,102050,exact,4
code_n40_k25_cw3_017,2,76,1436,102050,exact,2
code_n40_k25_cw3_018,1,38,719,102050,exact,2
code_n40_k25_cw3_019,3,114,2128,102050,exact,2
code_n40_k25_cw3_020,6,226,4149,102050,exact,2
code_n40_k25_cw3_021,1,38,726,102050,exact,2
code_n40_k25_cw3_022,1,38,725,102050,exact,2
code_n40_k25_cw3_023,1,38,715,102050,exact,2
code_n40_k25_cw3_024,2,76,1430,102050,exact,2
code_n40_k25_cw3_025,2,76,1433,102050,exact,2
code_n40_k25_cw3_026,2,76,1422,102050,exact,2
code_n40_k25_cw3_027,2,76,1435,102050,exact,2
code_n40_k25_cw3_028,2,76,1418,102050,exact,2
code_n40_k25_cw3_029,1,38,735,102050,exact,2
code_n40_k25_cw3_030,3,114,2120,102050,exact,2
code_n40_k25_cw3_031,1,38,731,102050,exact,2
code_n40_k25_cw3_032,0,0,23,102050,exact,4
code_n40_k25_cw3_033,0,0,28,102050,exact,4
code_n40_k25_cw3_034,1,38,727,102050,exact,2
code_n40_k25_cw3_035,1,38,722,102050,exact,2
code_n40_k25_cw3_036,0,0,21,102050,exact,4
code_n40_k25_cw3_037,0,0,23,102050,exact,4
code_n40_k25_cw3_038,1,38,726,102050,exact,2
code_n40_k25_cw3_039,1,38,728,102050,exact,2
code_n40_k25_cw3_040,2,76,1418,102050,exact,2
code_n40_k25_cw3_041,3,114,2115,102050,exact,2
code_n40_k25_cw3_042,1,38,729,102050,exact,2
code_n40_k25_cw3_043,1,38,741,102050,exact,2
code_n40_k25_cw3_044,0,0,18,102050,exact,4
code_n40_k25_cw3_045,1,38,721,102050,exact,2
code_n40_k25_cw3_046,4,152,2839,102050,exact,2
code_n40_k25_cw3_047,1,38,719,102050,exact,2
code_n40_k25_cw3_048,2,76,1425,102050,exact,2
code_n40_k25_cw3_049,0,0,28,102050,exact,4
code_n40_k25_cw3_050,2,76,1425,102050,exact,2
code_n40_k25_cw3_051,2,76,1419,102050,exact,2
code_n40_k25_cw3_052,2,76,1442,102050,exact,2
code_n40_k25_cw3_053,1,38,715,102050,exact,2
code_n40_k25_cw3_054,2,76,1425,102050,exact,2
code_n40_k25_cw3_055,4,150,2765,102050,exact,2
code_n40_k25_cw3_056,1,38,719,102050,exact,2
code_n40_k25_cw3_057,2,76,1433,102050,exact,2
code_n40_k25_cw3_058,3,114,2127,102050,exact,2
code_n40_k25_cw3_059,2,76,1418,102050,exact,2
code_n40_k25_cw3_060,1,38,714,102050,exact,2
code_n40_k25_cw3_061,4,150,2770,102050,exact,2
code_n40_k25_cw3_062,0,0,15,102050,exact,4
code_n40_k25_cw3_063,2,76,1428,102050,exact,2
code_n40_k25_cw3_064,2,76,1425,102050,exact,2
