row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n32_k20_cw3_000_q00,code_n32_k20_cw3_000,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,3.0,4.0,11.0,3.0,0.0,3.0,3.0,4,120,1758,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.1024,0.49152000000000007,1.15212288,1.74604288,1.0101609226645005
code_n32_k20_cw3_000_q01,code_n32_k20_cw3_000,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,3.0,4.0,11.0,3.0,0.0,3.0,3.0,4,120,1758,41416,exact,2,0.0484,0.010648,0.00234256,0.1936,1.27776,4.11822048,5.5895804799999995,1.8854896863969792
code_n32_k20_cw3_000_q02,code_n32_k20_cw3_000,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,3.0,4.0,11.0,3.0,0.0,3.0,3.0,4,120,1758,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.31360000000000005,2.6342400000000006,10.805652480000004,13.753492480000006,2.6914798330633554
code_n32_k20_cw3_000_q03,code_n32_k20_cw3_000,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,3.0,4.0,11.0,3.0,0.0,3.0,3.0,4,120,1758,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.4624000000000001,4.716480000000001,23.492786880000008,28.671666880000007,3.390192613378516
code_n32_k20_cw3_001_q00,code_n32_k20_cw3_001,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,6.833333333333333,4.0,14.0,3.0,0.0,3.0,3.0,3,90,1333,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.07680000000000001,0.3686400000000001,0.8735948800000001,1.3190348800000002,0.8411510991262141
code_n32_k20_cw3_001_q01,code_n32_k20_cw3_001,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,6.833333333333333,4.0,14.0,3.0,0.0,3.0,3.0,3,90,1333,41416,exact,2,0.0484,0.010648,0.00234256,0.1452,0.95832,3.12263248,4.22615248,1.653675343863743
code_n32_k20_cw3_001_q02,code_n32_k20_cw3_001,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,6.833333333333333,4.0,14.0,3.0,0.0,3.0,3.0,3,90,1333,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.23520000000000002,1.9756800000000005,8.193364480000003,10.404244480000003,2.433985608912531
code_n32_k20_cw3_001_q03,code_n32_k20_cw3_001,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,6.833333333333333,4.0,14.0,3.0,0.0,3.0,3.0,3,90,1333,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.34680000000000005,3.5373600000000005,17.813358880000006,21.697518880000008,3.1222556180731003
code_n32_k20_cw3_002_q00,code_n32_k20_cw3_002,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,2,60,886,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.0512,0.24576000000000003,0.58064896,0.8776089600000001,0.6299991375927154
code_n32_k20_cw3_002_q01,code_n32_k20_cw3_002,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,2,60,886,41416,exact,2,0.0484,0.010648,0.00234256,0.0968,0.63888,2.07550816,2.81118816,1.3379409935409368
code_n32_k20_cw3_002_q02,code_n32_k20_cw3_002,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,2,60,886,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.15680000000000002,1.3171200000000003,5.445852160000002,6.919772160000003,2.0693624377357698
code_n32_k20_cw3_002_q03,code_n32_k20_cw3_002,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,4.333333333333333,4.0,11.0,3.0,0.0,3.0,3.0,2,60,886,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.23120000000000004,2.3582400000000003,11.839936960000005,14.429376960000004,2.7362732870763633
code_n32_k20_cw3_003_q00,code_n32_k20_cw3_003,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,7.666666666666667,3.0,12.0,3.0,0.0,3.0,3.0,5,150,2189,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.128,0.6144000000000001,1.43458304,2.17698304,1.155932016903599
code_n32_k20_cw3_003_q01,code_n32_k20_cw3_003,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,7.666666666666667,3.0,12.0,3.0,0.0,3.0,3.0,5,150,2189,41416,exact,2,0.0484,0.010648,0.00234256,0.242,1.5972,5.12786384,6.96706384,2.0753160234199717
code_n32_k20_cw3_003_q02,code_n32_k20_cw3_003,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,7.666666666666667,3.0,12.0,3.0,0.0,3.0,3.0,5,150,2189,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.39200000000000007,3.292800000000001,13.454819840000004,17.139619840000005,2.8980984874662874
code_n32_k20_cw3_003_q03,code_n32_k20_cw3_003,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,7.666666666666667,3.0,12.0,3.0,0.0,3.0,3.0,5,150,2189,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.5780000000000001,5.895600000000001,29.25239504000001,35.725995040000015,3.603484816042794
code_n32_k20_cw3_004_q00,code_n32_k20_cw3_004,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,5.833333333333333,4.0,12.0,3.0,0.0,3.0,3.0,2,60,903,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.0512,0.24576000000000003,0.59179008,0.8887500800000001,0.635915276960867
code_n32_k20_cw3_004_q01,code_n32_k20_cw3_004,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,5.833333333333333,4.0,12.0,3.0,0.0,3.0,3.0,2,60,903,41416,exact,2,0.0484,0.010648,0.00234256,0.0968,0.63888,2.11533168,2.85101168,1.3483358878066196
code_n32_k20_cw3_004_q02,code_n32_k20_cw3_004,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,5.833333333333333,4.0,12.0,3.0,0.0,3.0,3.0,2,60,903,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.15680000000000002,1.3171200000000003,5.550343680000002,7.0242636800000025,2.082469911535463
code_n32_k20_cw3_004_q03,code_n32_k20_cw3_004,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,5.833333333333333,4.0,12.0,3.0,0.0,3.0,3.0,2,60,903,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.23120000000000004,2.3582400000000003,12.067114080000005,14.656554080000005,2.7508896203719777
code_n32_k20_cw3_005_q00,code_n32_k20_cw3_005,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,6.0,5.0,12.0,3.0,0.0,3.0,3.0,5,148,2141,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.128,0.6062080000000001,1.40312576,2.13733376,1.1433733181935972
code_n32_k20_cw3_005_q01,code_n32_k20_cw3_005,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,6.0,5.0,12.0,3.0,0.0,3.0,3.0,5,148,2141,41416,exact,2,0.0484,0.010648,0.00234256,0.242,1.575904,5.01542096,6.833324960000001,2.058387063545262
code_n32_k20_cw3_005_q02,code_n32_k20_cw3_005,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,6.0,5.0,12.0,3.0,0.0,3.0,3.0,5,148,2141,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.39200000000000007,3.248896000000001,13.159784960000005,16.800680960000005,2.879236712746066
code_n32_k20_cw3_005_q03,code_n32_k20_cw3_005,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,6.0,5.0,12.0,3.0,0.0,3.0,3.0,5,148,2141,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.5780000000000001,5.816992000000001,28.61095376000001,35.00594576000001,3.583684084818699
code_n32_k20_cw3_006_q00,code_n32_k20_cw3_006,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,2.3333333333333335,6.0,11.0,3.0,0.0,3.0,3.0,6,178,2561,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.15360000000000001,0.7290880000000001,1.67837696,2.5610649600000004,1.2700596461960916
code_n32_k20_cw3_006_q01,code_n32_k20_cw3_006,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,2.3333333333333335,6.0,11.0,3.0,0.0,3.0,3.0,6,178,2561,41416,exact,2,0.0484,0.010648,0.00234256,0.2904,1.895344,5.99929616,8.18504016,2.217576091003747
code_n32_k20_cw3_006_q02,code_n32_k20_cw3_006,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,2.3333333333333335,6.0,11.0,3.0,0.0,3.0,3.0,6,178,2561,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.47040000000000004,3.907456000000001,15.741340160000005,20.11919616000001,3.0501823975076774
code_n32_k20_cw3_006_q03,code_n32_k20_cw3_006,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,2.3333333333333335,6.0,11.0,3.0,0.0,3.0,3.0,6,178,2561,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.6936000000000001,6.996112000000001,34.22356496000001,41.91327696000001,3.759181264300068
code_n32_k20_cw3_007_q00,code_n32_k20_cw3_007,q00,validation,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,5.5,5.0,14.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.07680000000000001,0.3686400000000001,0.86769664,1.3131366400000002,0.8386044562990942
code_n32_k20_cw3_007_q01,code_n32_k20_cw3_007,q01,validation,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,5.5,5.0,14.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.0484,0.010648,0.00234256,0.1452,0.95832,3.10154944,4.20506944,1.6496330429961932
code_n32_k20_cw3_007_q02,code_n32_k20_cw3_007,q02,validation,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,5.5,5.0,14.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.23520000000000002,1.9756800000000005,8.138045440000003,10.348925440000002,2.429123064555594
