row_id,code_id,q_id,split,q,K,z,failure_fraction,mean_ambiguity_dim
code_n32_k20_cw3_000_q00,code_n32_k20_cw3_000,q00,train,0.16,256,43,0.16796875,0.1796875
code_n32_k20_cw3_000_q01,code_n32_k20_cw3_000,q01,train,0.22,256,69,0.26953125,0.30859375
code_n32_k20_cw3_000_q02,code_n32_k20_cw3_000,q02,train,0.28,256,105,0.41015625,0.5859375
code_n32_k20_cw3_000_q03,code_n32_k20_cw3_000,q03,train,0.34,256,158,0.6171875,1.0859375
code_n32_k20_cw3_001_q00,code_n32_k20_cw3_001,q00,train,0.16,256,22,0.0859375,0.0859375
code_n32_k20_cw3_001_q01,code_n32_k20_cw3_001,q01,train,0.22,256,62,0.2421875,0.29296875
code_n32_k20_cw3_001_q02,code_n32_k20_cw3_001,q02,train,0.28,256,96,0.375,0.5078125
code_n32_k20_cw3_001_q03,code_n32_k20_cw3_001,q03,train,0.34,256,165,0.64453125,1.3203125
code_n32_k20_cw3_002_q00,code_n32_k20_cw3_002,q00,train,0.16,256,11,0.04296875,0.04296875
code_n32_k20_cw3_002_q01,code_n32_k20_cw3_002,q01,train,0.22,256,44,0.171875,0.2109375
code_n32_k20_cw3_002_q02,code_n32_k20_cw3_002,q02,train,0.28,256,85,0.33203125,0.4765625
code_n32_k20_cw3_002_q03,code_n32_k20_cw3_002,q03,train,0.34,256,134,0.5234375,0.98046875
code_n32_k20_cw3_003_q00,code_n32_k20_cw3_003,q00,train,0.16,256,28,0.109375,0.11328125
code_n32_k20_cw3_003_q01,code_n32_k20_cw3_003,q01,train,0.22,256,80,0.3125,0.375
code_n32_k20_cw3_003_q02,code_n32_k20_cw3_003,q02,train,0.28,256,119,0.46484375,0.609375
code_n32_k20_cw3_003_q03,code_n32_k20_cw3_003,q03,train,0.34,256,183,0.71484375,1.546875
code_n32_k20_cw3_004_q00,code_n32_k20_cw3_004,q00,train,0.16,256,19,0.07421875,0.08203125
code_n32_k20_cw3_004_q01,code_n32_k20_cw3_004,q01,train,0.22,256,51,0.19921875,0.25390625
code_n32_k20_cw3_004_q02,code_n32_k20_cw3_004,q02,train,0.28,256,94,0.3671875,0.51953125
code_n32_k20_cw3_004_q03,code_n32_k20_cw3_004,q03,train,0.34,256,153,0.59765625,1.17578125
code_n32_k20_cw3_005_q00,code_n32_k20_cw3_005,q00,train,0.16,256,32,0.125,0.140625
code_n32_k20_cw3_005_q01,code_n32_k20_cw3_005,q01,train,0.22,256,64,0.25,0.33203125
code_n32_k20_cw3_005_q02,code_n32_k20_cw3_005,q02,train,0.28,256,121,0.47265625,0.73046875
code_n32_k20_cw3_005_q03,code_n32_k20_cw3_005,q03,train,0.34,256,174,0.6796875,1.30859375
code_n32_k20_cw3_006_q00,code_n32_k20_cw3_006,q00,train,0.16,256,45,0.17578125,0.1875
code_n32_k20_cw3_006_q01,code_n32_k20_cw3_006,q01,train,0.22,256,65,0.25390625,0.30078125
code_n32_k20_cw3_006_q02,code_n32_k20_cw3_006,q02,train,0.28,256,131,0.51171875,0.78515625
code_n32_k20_cw3_006_q03,code_n32_k20_cw3_006,q03,train,0.34,256,167,0.65234375,1.3046875
code_n32_k20_cw3_007_q00,code_n32_k20_cw3_007,q00,validation,0.16,256,30,0.1171875,0.12109375
code_n32_k20_cw3_007_q01,code_n32_k20_cw3_007,q01,validation,0.22,256,40,0.15625,0.1796875
code_n32_k20_cw3_007_q02,code_n32_k20_cw3_007,q02,validation,0.28,256,93,0.36328125,0.49609375
code_n32_k20_cw3_007_q03,code_n32_k20_cw3_007,q03,validation,0.34,256,165,0.64453125,1.15234375
code_n32_k20_cw3_008_q00,code_n32_k20_cw3_008,q00,validation,0.16,256,15,0.05859375,0.05859375
code_n32_k20_cw3_008_q01,code_n32_k20_cw3_008,q01,validation,0.22,256,38,0.1484375,0.16796875
code_n32_k20_cw3_008_q02,code_n32_k20_cw3_008,q02,validation,0.28,256,93,0.36328125,0.50390625
code_n32_k20_cw3_008_q03,code_n32_k20_cw3_008,q03,validation,0.34,256,154,0.6015625,0.9765625
code_n32_k20_cw3_009_q00,code_n32_k20_cw3_009,q00,test,0.16,256,17,0.06640625,0.0703125
code_n32_k20_cw3_009_q01,code_n32_k20_cw3_009,q01,test,0.22,256,62,0.2421875,0.29296875
code_n32_k20_cw3_009_q02,code_n32_k20_cw3_009,q02,test,0.28,256,91,0.35546875,0.49609375
code_n32_k20_cw3_009_q03,code_n32_k20_cw3_009,q03,test,0.34,256,157,0.61328125,1.19921875
code_n32_k20_cw3_010_q00,code_n32_k20_cw3_010,q00,test,0.16,256,15,0.05859375,0.06640625
code_n32_k20_cw3_010_q01,code_n32_k20_cw3_010,q01,test,0.22,256,38,0.1484375,0.2109375
code_n32_k20_cw3_010_q02,code_n32_k20_cw3_010,q02,test,0.28,256,81,0.31640625,0.47265625
code_n32_k20_cw3_010_q03,code_n32_k20_cw3_010,q03,test,0.34,256,147,0.57421875,1.22265625
code_n32_k20_cw3_011_q00,code_n32_k20_cw3_011,q00,train,0.16,256,16,0.0625,0.0625
code_n32_k20_cw3_011_q01,code_n32_k20_cw3_011,q01,train,0.22,256,52,0.203125,0.265625
code_n32_k20_cw3_011_q02,code_n32_k20_cw3_011,q02,train,0.28,256,85,0.33203125,0.43359375
code_n32_k20_cw3_011_q03,code_n32_k20_cw3_011,q03,train,0.34,256,152,0.59375,1.1171875
code_n32_k20_cw3_012_q00,code_n32_k20_cw3_012,q00,train,0.16,256,27,0.10546875,0.109375
code_n32_k20_cw3_012_q01,code_n32_k20_cw3_012,q01,train,0.22,256,79,0.30859375,0.37890625
code_n32_k20_cw3_012_q02,code_n32_k20_cw3_012,q02,train,0.28,256,131,0.51171875,0.73046875
