split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.16,48,0.07552083333333333,0.00390625,0.1640625
test,0.22,48,0.177734375,0.0546875,0.33984375
test,0.28,48,0.3653157552083333,0.21484375,0.51953125
test,0.34,48,0.5950520833333334,0.4765625,0.73828125
train,0.16,144,0.06806098090277778,0.0078125,0.17578125
train,0.22,144,0.1701931423611111,0.0703125,0.3125
train,0.28,144,0.35498046875,0.21484375,0.52734375
train,0.34,144,0.5853407118055556,0.41015625,0.7890625
validation,0.16,48,0.069091796875,0.01171875,0.171875
validation,0.22,48,0.17057291666666666,0.0546875,0.328125
validation,0.28,48,0.3487141927083333,0.24609375,0.51953125
validation,0.34,48,0.585205078125,0.453125,0.7109375
