code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,1296667791,"[2096, 98, 292, 400, 656, 2144, 584, 1792, 273, 266, 2068, 776, 515, 2180, 2568, 1168, 2432, 104, 1408, 1104, 1096, 772, 2060, 1156]"
code_n24_k12_cw3_001,train,24,12,12,0.5,3,1296667792,"[2082, 146, 73, 224, 262, 56, 44, 530, 3080, 1540, 1792, 73, 522, 98, 35, 2568, 1064, 656, 76, 148, 2178, 14, 1544, 3584]"
code_n24_k12_cw3_002,test,24,12,12,0.5,3,1296667793,"[1048, 1288, 1027, 1168, 552, 388, 14, 2688, 672, 112, 1664, 2144, 49, 560, 41, 1664, 50, 548, 1600, 3104, 11, 704, 1060, 336]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,1296667794,"[168, 392, 2432, 2688, 56, 352, 1033, 2564, 578, 1168, 704, 644, 2192, 3584, 3074, 56, 2058, 1168, 261, 592, 545, 521, 3104, 2065]"
code_n24_k12_cw3_004,train,24,12,12,0.5,3,1296667795,"[522, 266, 532, 2051, 1282, 1089, 3584, 832, 138, 2058, 56, 3076, 2057, 1060, 388, 88, 2068, 577, 50, 584, 161, 648, 388, 146]"
code_n24_k12_cw3_005,train,24,12,12,0.5,3,1296667796,"[776, 1344, 385, 2180, 400, 1041, 3073, 168, 138, 608, 1284, 1344, 14, 336, 388, 641, 1048, 1153, 296, 76, 290, 1408, 268, 1160]"
code_n24_k12_cw3_006,train,24,12,12,0.5,3,1296667797,"[546, 1154, 50, 25, 546, 592, 280, 3080, 1792, 2128, 608, 69, 134, 321, 7, 2144, 162, 644, 131, 131, 1282, 1540, 2312, 84]"
code_n24_k12_cw3_007,train,24,12,12,0.5,3,1296667798,"[2320, 1216, 2057, 296, 168, 2336, 44, 832, 193, 273, 7, 608, 2060, 1312, 19, 268, 2053, 656, 274, 176, 1041, 176, 273, 352]"
code_n24_k12_cw3_008,test,24,12,12,0.5,3,1296667799,"[112, 138, 2561, 266, 22, 321, 2320, 164, 1408, 208, 1089, 352, 7, 50, 608, 776, 81, 168, 2312, 776, 3074, 2084, 400, 98]"
code_n24_k12_cw3_009,train,24,12,12,0.5,3,1296667800,"[321, 324, 3200, 1281, 641, 2562, 529, 268, 1544, 11, 1057, 194, 2568, 2144, 26, 194, 3136, 1042, 2562, 74, 2116, 194, 2144, 2128]"
code_n24_k12_cw3_010,train,24,12,12,0.5,3,1296667801,"[162, 548, 164, 1060, 88, 42, 208, 532, 2057, 304, 2368, 2336, 274, 1072, 76, 1030, 1072, 515, 67, 13, 1288, 3073, 2054, 1048]"
code_n24_k12_cw3_011,train,24,12,12,0.5,3,1296667802,"[2312, 82, 1408, 145, 162, 28, 97, 2178, 770, 656, 44, 262, 2368, 19, 2057, 98, 3104, 137, 276, 522, 386, 259, 1072, 1034]"
code_n24_k12_cw3_012,test,24,12,12,0.5,3,1296667803,"[140, 1216, 324, 2144, 14, 548, 168, 290, 304, 140, 776, 37, 560, 112, 2057, 776, 1120, 81, 2081, 560, 152, 133, 1544, 1153]"
code_n24_k12_cw3_013,train,24,12,12,0.5,3,1296667804,"[1058, 2060, 2336, 145, 1216, 545, 70, 1160, 772, 2054, 3584, 772, 644, 69, 1153, 545, 1058, 448, 290, 44, 1120, 1664, 133, 52]"
code_n24_k12_cw3_014,test,24,12,12,0.5,3,1296667805,"[672, 133, 2180, 292, 224, 2114, 200, 580, 296, 656, 35, 296, 1184, 1552, 2336, 2057, 2054, 518, 2568, 2120, 2432, 518, 518, 224]"
code_n24_k12_cw3_015,validation,24,12,12,0.5,3,1296667806,"[2066, 577, 2082, 3076, 7, 2096, 704, 1281, 100, 2084, 146, 644, 193, 386, 322, 193, 280, 2177, 196, 2336, 2057, 1153, 552, 2053]"
code_n24_k12_cw3_016,train,24,12,12,0.5,3,1296667807,"[1030, 2128, 2081, 2054, 2320, 1168, 578, 1104, 1664, 324, 1538, 578, 642, 832, 104, 25, 608, 2336, 560, 28, 81, 2120, 2054, 3088]"
code_n24_k12_cw3_017,train,24,12,12,0.5,3,1296667808,"[292, 832, 2060, 208, 896, 672, 292, 524, 21, 321, 1030, 296, 13, 515, 1540, 273, 2128, 776, 98, 2305, 2058, 82, 70, 545]"
code_n24_k12_cw3_018,train,24,12,12,0.5,3,1296667809,"[290, 3080, 3076, 266, 1160, 146, 896, 1058, 289, 26, 1552, 3136, 70, 265, 1120, 2053, 1312, 2305, 2432, 200, 1281, 577, 832, 2116]"
code_n24_k12_cw3_019,train,24,12,12,0.5,3,1296667810,"[672, 145, 770, 2088, 137, 548, 2058, 518, 97, 1044, 1058, 2624, 1048, 1029, 164, 259, 532, 2178, 1408, 2054, 577, 3136, 2308, 2065]"
code_n24_k12_cw3_020,train,24,12,12,0.5,3,1296667811,"[140, 13, 3584, 2305, 1600, 304, 193, 529, 1600, 289, 2058, 2057, 44, 296, 2432, 2120, 896, 100, 656, 168, 386, 3080, 104, 265]"
code_n24_k12_cw3_021,train,24,12,12,0.5,3,1296667812,"[2051, 2081, 2184, 448, 1034, 2192, 3104, 73, 644, 138, 84, 2178, 1538, 2084, 517, 2688, 1344, 2592, 266, 2432, 41, 2084, 2816, 1281]"
