code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n24_k12_cw3_000,0,0,6,12926,exact,4
code_n24_k12_cw3_001,1,22,237,12926,exact,2
code_n24_k12_cw3_002,1,22,241,12926,exact,2
code_n24_k12_cw3_003,2,44,466,12926,exact,2
code_n24_k12_cw3_004,1,22,235,12926,exact,2
code_n24_k12_cw3_005,1,22,240,12926,exact,2
code_n24_k12_cw3_006,2,44,467,12926,exact,2
code_n24_k12_cw3_007,2,44,471,12926,exact,2
code_n24_k12_cw3_008,1,22,239,12926,exact,2
code_n24_k12_cw3_009,5,108,1112,12926,exact,2
code_n24_k12_cw3_010,1,22,239,12926,exact,2
code_n24_k12_cw3_011,0,0,8,12926,exact,4
code_n24_k12_cw3_012,3,66,699,12926,exact,2
code_n24_k12_cw3_013,3,66,696,12926,exact,2
code_n24_k12_cw3_014,5,108,1118,12926,exact,2
code_n24_k12_cw3_015,1,22,234,12926,exact,2
code_n24_k12_cw3_016,2,44,471,12926,exact,2
code_n24_k12_cw3_017,1,22,237,12926,exact,2
code_n24_k12_cw3_018,0,0,5,12926,exact,4
code_n24_k12_cw3_019,0,0,5,12926,exact,4
code_n24_k12_cw3_020,1,22,239,12926,exact,2
code_n24_k12_cw3_021,1,22,238,12926,exact,2
code_n24_k12_cw3_022,2,44,471,12926,exact,2
code_n24_k12_cw3_023,1,22,235,12926,exact,2
code_n24_k12_cw3_024,4,88,932,12926,exact,2
code_n24_k12_cw3_025,1,22,244,12926,exact,2
code_n24_k12_cw3_026,0,0,6,12926,exact,4
code_n24_k12_cw3_027,1,22,246,12926,exact,2
code_n24_k12_cw3_028,1,22,236,12926,exact,2
code_n24_k12_cw3_029,0,0,11,12926,exact,4
code_n24_k12_cw3_030,1,22,235,12926,exact,2
code_n24_k12_cw3_031,0,0,8,12926,exact,4
code_n24_k12_cw3_032,0,0,5,12926,exact,4
code_n24_k12_cw3_033,1,22,252,12926,exact,2
code_n24_k12_cw3_034,2,44,474,12926,exact,2
code_n24_k12_cw3_035,1,22,243,12926,exact,2
code_n24_k12_cw3_036,1,22,248,12926,exact,2
code_n24_k12_cw3_037,3,66,708,12926,exact,2
code_n24_k12_cw3_038,1,22,248,12926,exact,2
code_n24_k12_cw3_039,1,22,250,12926,exact,2
code_n32_k16_cw3_000,0,0,6,41416,exact,4
code_n32_k16_cw3_001,1,30,440,41416,exact,2
code_n32_k16_cw3_002,1,30,440,41416,exact,2
code_n32_k16_cw3_003,0,0,3,41416,exact,4
code_n32_k16_cw3_004,0,0,3,41416,exact,4
code_n32_k16_cw3_005,2,60,880,41416,exact,2
code_n32_k16_cw3_006,2,60,874,41416,exact,2
code_n32_k16_cw3_007,1,30,441,41416,exact,2
code_n32_k16_cw3_008,0,0,4,41416,exact,4
code_n32_k16_cw3_009,1,30,439,41416,exact,2
code_n32_k16_cw3_010,0,0,4,41416,exact,4
code_n32_k16_cw3_011,1,30,439,41416,exact,2
code_n32_k16_cw3_012,1,30,453,41416,exact,2
code_n32_k16_cw3_013,1,30,445,41416,exact,2
code_n32_k16_cw3_014,1,30,440,41416,exact,2
code_n32_k16_cw3_015,0,0,4,41416,exact,4
code_n32_k16_cw3_016,1,30,440,41416,exact,2
code_n32_k16_cw3_017,1,30,438,41416,exact,2
code_n32_k16_cw3_018,1,30,438,41416,exact,2
code_n32_k16_cw3_019,1,30,442,41416,exact,2
code_n32_k16_cw3_020,1,30,441,41416,exact,2
code_n32_k16_cw3_021,1,30,446,41416,exact,2
code_n32_k16_cw3_022,1,30,442,41416,exact,2
code_n32_k16_cw3_023,0,0,3,41416,exact,4
code_n32_k16_cw3_024,1,30,442,41416,exact,2
code_n32_k16_cw3_025,1,30,438,41416,exact,2
code_n32_k16_cw3_026,4,118,1687,41416,exact,2
code_n32_k16_cw3_027,1,30,443,41416,exact,2
code_n32_k16_cw3_028,0,0,11,41416,exact,4
code_n32_k16_cw3_029,1,30,440,41416,exact,2
code_n32_k16_cw3_030,0,0,9,41416,exact,4
code_n32_k16_cw3_031,0,0,3,41416,exact,4
code_n32_k16_cw3_032,1,30,441,41416,exact,2
code_n32_k16_cw3_033,1,30,436,41416,exact,2
code_n32_k16_cw3_034,0,0,1,41416,exact,4
code_n32_k16_cw3_035,1,30,441,41416,exact,2
code_n32_k16_cw3_036,1,30,441,41416,exact,2
code_n32_k16_cw3_037,0,0,2,41416,exact,4
code_n32_k16_cw3_038,2,60,874,41416,exact,2
code_n32_k16_cw3_039,0,0,9,41416,exact,4
