row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.3333333333333335,2.0,9.0,3.0,0.0,3.0,3.0,0,0,6,12926,exact,4,0.0324,0.0058319999999999995,0.0010497599999999998,0.0,0.0,0.006298559999999999,0.006298559999999999,0.006278806971330837
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.3333333333333335,2.0,9.0,3.0,0.0,3.0,3.0,0,0,6,12926,exact,4,0.0576,0.013823999999999998,0.0033177599999999995,0.0,0.0,0.019906559999999997,0.019906559999999997,0.019711015256787718
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.3333333333333335,2.0,9.0,3.0,0.0,3.0,3.0,0,0,6,12926,exact,4,0.09,0.026999999999999996,0.0081,0.0,0.0,0.0486,0.0486,0.04745594115629535
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.3333333333333335,2.0,9.0,3.0,0.0,3.0,3.0,0,0,6,12926,exact,4,0.1296,0.046655999999999996,0.016796159999999997,0.0,0.0,0.10077695999999998,0.10077695999999998,0.09601625774534364
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.24879311999999995,0.40949711999999994,0.34323298829218457
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7863091199999999,1.1480371199999997,0.7645544576891063
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9197,2.6037,1.2819610954378728
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,3.980689919999999,5.136721919999999,1.814290710338624
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.333333333333333,3.0,11.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25299215999999997,0.41369616,0.346207664610723
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.333333333333333,3.0,11.0,3.0,0.0,3.0,3.0,1,22,241,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7995801599999999,1.16130816,0.7707136680060912
