split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,16,0.04248046875,0.0,0.1484375
test,0.24,16,0.10595703125,0.015625,0.2421875
test,0.3,16,0.1904296875,0.0546875,0.4453125
test,0.36,16,0.3330078125,0.203125,0.5625
train,0.18,48,0.040690104166666664,0.0,0.171875
train,0.24,48,0.09456380208333333,0.0078125,0.265625
train,0.3,48,0.18147786458333334,0.0390625,0.3984375
train,0.36,48,0.3211263020833333,0.1640625,0.5703125
validation,0.18,16,0.0478515625,0.0,0.140625
validation,0.24,16,0.08837890625,0.0,0.3046875
validation,0.3,16,0.15380859375,0.0625,0.3359375
validation,0.36,16,0.298828125,0.15625,0.4765625
