split,n,q,rows,stop_prevalence,rank_prevalence,log1p_H_stop_5_mean,log1p_H_dep_4_mean
test,24,0.18,8,0.06640625,0.0419921875,0.06913657453822777,0.323131095529223
test,24,0.24,8,0.150390625,0.0810546875,0.17451500170182455,0.6866667339584971
test,24,0.3,8,0.3154296875,0.173828125,0.36656512377814665,1.1120719675824988
test,24,0.36,8,0.4853515625,0.275390625,0.6544937294385028,1.5417049021162876
test,32,0.18,8,0.0458984375,0.029296875,0.04044851871573814,0.3227435603184421
test,32,0.24,8,0.1201171875,0.064453125,0.10191547548124527,0.6805048174106145
test,32,0.3,8,0.2587890625,0.119140625,0.21898618901540207,1.0814322790850794
test,32,0.36,8,0.486328125,0.263671875,0.40787356888469944,1.4749129794657987
train,24,0.18,24,0.07356770833333333,0.048828125,0.08038446062456193,0.3246737209456155
train,24,0.24,24,0.16015625,0.09342447916666667,0.19977160737977892,0.6568696753082214
train,24,0.3,24,0.3271484375,0.185546875,0.41243818187444375,1.034078985879798
train,24,0.36,24,0.541015625,0.3089192708333333,0.7239075229401175,1.4141557742953406
train,32,0.18,24,0.057942708333333336,0.0400390625,0.05085227462653136,0.3888418507730454
train,32,0.24,24,0.15104166666666666,0.07845052083333333,0.12319362413086159,0.777305044946151
train,32,0.3,24,0.29296875,0.1572265625,0.25582290807973096,1.193012195601411
train,32,0.36,24,0.5120442708333334,0.2854817708333333,0.4634618433615274,1.5912836109086443
validation,24,0.18,8,0.0810546875,0.0498046875,0.10928777516636817,0.4123424061499734
validation,24,0.24,8,0.2099609375,0.11328125,0.27042712533714297,0.8317905400898669
validation,24,0.3,8,0.353515625,0.2099609375,0.5442909324580318,1.2937651794813476
validation,24,0.36,8,0.5576171875,0.3330078125,0.921319287861473,1.7445185195657031
validation,32,0.18,8,0.056640625,0.03125,0.055261753692240595,0.40764939858434196
validation,32,0.24,8,0.1259765625,0.0615234375,0.1388639609904834,0.8089779287544794
validation,32,0.3,8,0.30859375,0.1708984375,0.29457668875057874,1.2350328093418934
validation,32,0.36,8,0.5400390625,0.2978515625,0.5362223539223179,1.6433549600800053
