code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,2606713635,"[2178, 164, 133, 800, 1104, 3080, 134, 672, 1184, 208, 69, 133, 1104, 1281, 261, 304, 2096, 28, 321, 2177, 545, 73, 82, 200]"
code_n24_k12_cw3_001,validation,24,12,12,0.5,3,2606713636,"[1552, 193, 49, 224, 388, 1544, 98, 1552, 290, 2624, 37, 26, 259, 52, 146, 1027, 2081, 1060, 131, 21, 524, 552, 2144, 1537]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,2606713637,"[2312, 1044, 2306, 560, 2068, 448, 2088, 146, 13, 2184, 2128, 2320, 1538, 2144, 164, 328, 273, 148, 1408, 2308, 1664, 3073, 545, 2128]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,2606713638,"[769, 536, 641, 1540, 1312, 266, 1044, 2240, 2576, 2084, 176, 2624, 1058, 1344, 2562, 1288, 41, 1027, 74, 2081, 148, 2058, 2177, 280]"
code_n24_k12_cw3_004,train,24,12,12,0.5,3,2606713639,"[82, 321, 1057, 21, 74, 262, 1027, 584, 1568, 161, 2084, 37, 152, 1033, 131, 148, 1537, 296, 656, 3136, 536, 3074, 1044, 704]"
code_n24_k12_cw3_005,train,24,12,12,0.5,3,2606713640,"[1096, 3076, 352, 22, 1060, 1090, 25, 208, 2306, 578, 1792, 672, 25, 70, 321, 168, 1089, 2144, 1344, 138, 2060, 1044, 1092, 1033]"
code_n24_k12_cw3_006,train,24,12,12,0.5,3,2606713641,"[1664, 70, 52, 1048, 1042, 2128, 1288, 1092, 2051, 1344, 1288, 1288, 35, 1664, 2561, 324, 176, 140, 1072, 56, 3584, 1030, 1154, 276]"
code_n24_k12_cw3_007,train,24,12,12,0.5,3,2606713642,"[324, 1568, 1057, 532, 268, 137, 2068, 1060, 1288, 328, 530, 164, 776, 73, 2051, 168, 578, 274, 97, 2058, 336, 2128, 25, 400]"
code_n24_k12_cw3_008,validation,24,12,12,0.5,3,2606713643,"[1029, 1288, 2114, 131, 2051, 577, 772, 1030, 2065, 386, 2568, 140, 388, 133, 52, 2816, 1282, 49, 22, 400, 2178, 321, 536, 261]"
code_n24_k12_cw3_009,test,24,12,12,0.5,3,2606713644,"[19, 518, 138, 82, 2192, 577, 2084, 164, 2096, 56, 704, 560, 522, 3584, 49, 2308, 2114, 1600, 769, 1288, 548, 1156, 261, 1168]"
code_n24_k12_cw3_010,test,24,12,12,0.5,3,2606713645,"[1544, 769, 73, 11, 2192, 274, 2368, 2312, 11, 200, 515, 2576, 532, 74, 2192, 13, 2081, 521, 642, 19, 1029, 2065, 1057, 2208]"
code_n24_k12_cw3_011,test,24,12,12,0.5,3,2606713646,"[84, 273, 536, 776, 1344, 2054, 304, 524, 22, 2305, 208, 336, 88, 2081, 641, 25, 2088, 42, 2592, 2192, 2208, 3074, 580, 1064]"
code_n24_k12_cw3_012,test,24,12,12,0.5,3,2606713647,"[28, 26, 515, 1664, 1792, 1156, 273, 276, 168, 1281, 1408, 37, 304, 2068, 262, 322, 76, 2305, 1538, 37, 776, 545, 74, 2065]"
code_n24_k12_cw3_013,train,24,12,12,0.5,3,2606713648,"[11, 104, 552, 22, 28, 1154, 162, 26, 2368, 1064, 2082, 1312, 28, 38, 2208, 1282, 2178, 49, 3074, 518, 2305, 176, 3584, 545]"
