row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,peeling_residual,residual_size,stopping_failure,erased_rank,ambiguity_dim,rank_failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0,1475108833,"[1, 20, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,1,1476108836,"[12, 14, 16, 20, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,2,1477108839,"[3, 5, 6, 8, 10, 13, 16, 23]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,3,1478108842,"[3, 6, 9, 16, 17]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,4,1479108845,"[6, 9, 13, 19, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,5,1480108848,"[1, 8, 9, 14, 21, 22]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,6,1481108851,"[5, 14, 23]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,7,1482108854,"[6, 7, 13, 17, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,8,1483108857,"[12, 16, 21]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,9,1484108860,"[10, 12, 14]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,10,1485108863,"[6, 11]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,11,1486108866,"[9, 17, 19]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,12,1487108869,"[3, 9, 10, 14, 17, 18, 19]",7,"[10, 14, 18]",3,1,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,13,1488108872,"[14, 21, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,14,1489108875,[11],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,15,1490108878,"[0, 2, 8]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,16,1491108881,"[6, 9, 17, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,17,1492108884,"[3, 7, 9, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,18,1493108887,"[2, 6, 10, 11, 13, 14, 15, 17, 19, 20]",10,"[2, 11]",2,1,9,1,1
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,19,1494108890,"[0, 1, 8, 12, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,20,1495108893,[18],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,21,1496108896,"[8, 13, 21]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,22,1497108899,"[2, 3, 5, 13, 15, 18, 20]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,23,1498108902,"[9, 11, 16, 19, 21]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,24,1499108905,"[0, 8, 11, 12, 15, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,25,1500108908,"[9, 22]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,26,1501108911,"[8, 18, 21]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,27,1502108914,"[17, 19]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,28,1503108917,"[0, 5, 12, 13, 17, 19]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,29,1504108920,"[2, 5, 7, 15, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,30,1505108923,"[5, 6, 7, 19, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,31,1506108926,[20],1,[],0,0,1,0,0
