row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,2,1,17,84,12926,exact,2,2,44,470,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.0058319999999999995,0.017845919999999998,0.0158723712,0.0648,0.256608,0.4933871999999999,0.1043502912,0.09925719028182625,0.8147951999999999,0.5959726238846236
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,2,1,17,84,12926,exact,2,2,44,470,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.013823999999999998,0.056401919999999994,0.06688604159999999,0.1152,0.6082559999999999,1.5593471999999997,0.25231196159999997,0.2249914122470955,2.2828031999999996,1.1886976915505731
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,2,1,17,84,12926,exact,2,2,44,470,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.026999999999999996,0.1377,0.20411999999999994,0.18,1.1879999999999997,3.807,0.54882,0.43749335067994105,5.175,1.820508882514041
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,2,1,17,84,12926,exact,2,2,44,470,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.046655999999999996,0.28553471999999996,0.5079158784,0.2592,2.052864,7.894195199999999,1.0993065984,0.7416070989661524,10.206259199999998,2.4164724793414094
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.333333333333333,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,4,18,142,12926,exact,2,1,22,244,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.023327999999999998,0.018895679999999998,0.026831865599999997,0.0324,0.128304,0.25614143999999994,0.1014555456,0.09663252838865773,0.41684543999999996,0.3484328792477328
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.333333333333333,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,4,18,142,12926,exact,2,1,22,244,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.05529599999999999,0.05971967999999999,0.11306926079999999,0.0576,0.30412799999999995,0.8095334399999998,0.28568494079999995,0.25129160419821645,1.1712614399999999,0.7753083074136438
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.333333333333333,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,4,18,142,12926,exact,2,1,22,244,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.10799999999999998,0.14579999999999999,0.3450599999999999,0.09,0.5939999999999999,1.9764,0.6888599999999999,0.5240537451065567,2.6603999999999997,1.297572431059086
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.333333333333333,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,4,18,142,12926,exact,2,1,22,244,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.18662399999999998,0.30233087999999997,0.8586196991999999,0.1296,1.026432,4.098263039999999,1.4771745791999997,0.9071186281205085,5.254295039999999,1.8332684341301144
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.0,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,1,16,95,12926,exact,2,1,22,242,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.0058319999999999995,0.016796159999999997,0.017950895999999997,0.0324,0.128304,0.25404192,0.07297905599999999,0.07043894435274899,0.41474592,0.34694995313458826
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.0,3.0,11.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,2,0,9,0,55430,exact_all,2,1,1,16,95,12926,exact,2,1,22,242,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.013823999999999998,0.05308415999999999,0.07564492799999999,0.0576,0.30412799999999995,0.8028979199999998,0.20015308799999998,0.18244912199050228,1.1646259199999998,0.7722475613059678
