row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,128,15,0.1171875,12,0.09375,0.3515625,0.09375
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,128,22,0.171875,17,0.1328125,0.828125,0.1640625
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,128,47,0.3671875,35,0.2734375,1.6953125,0.3125
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,128,80,0.625,51,0.3984375,4.1796875,0.515625
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,validation,0.18,128,12,0.09375,9,0.0703125,0.421875,0.0859375
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,validation,0.24,128,18,0.140625,12,0.09375,0.6328125,0.1015625
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,validation,0.3,128,41,0.3203125,27,0.2109375,1.96875,0.234375
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,validation,0.36,128,74,0.578125,40,0.3125,4.390625,0.421875
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,128,6,0.046875,4,0.03125,0.1875,0.03125
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,128,19,0.1484375,9,0.0703125,0.6796875,0.0703125
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,128,48,0.375,28,0.21875,2.203125,0.265625
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,128,61,0.4765625,33,0.2578125,3.09375,0.3203125
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,128,0,0.0,0,0.0,0.0,0.0
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,128,14,0.109375,5,0.0390625,0.8203125,0.046875
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,128,26,0.203125,13,0.1015625,1.53125,0.140625
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,128,66,0.515625,27,0.2109375,4.125,0.265625
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,train,0.18,128,7,0.0546875,0,0.0,0.265625,0.0
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,train,0.24,128,12,0.09375,7,0.0546875,0.53125,0.0546875
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,train,0.3,128,38,0.296875,13,0.1015625,2.3671875,0.1328125
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,train,0.36,128,69,0.5390625,31,0.2421875,4.25,0.3125
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,train,0.18,128,9,0.0703125,5,0.0390625,0.2890625,0.0390625
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,train,0.24,128,23,0.1796875,14,0.109375,0.9609375,0.1171875
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,train,0.3,128,30,0.234375,17,0.1328125,1.46875,0.1640625
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,train,0.36,128,72,0.5625,43,0.3359375,3.96875,0.3828125
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,train,0.18,128,20,0.15625,19,0.1484375,0.4765625,0.1640625
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,train,0.24,128,39,0.3046875,30,0.234375,1.1171875,0.2734375
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,train,0.3,128,48,0.375,33,0.2578125,1.796875,0.296875
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,train,0.36,128,89,0.6953125,61,0.4765625,4.421875,0.6875
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,128,4,0.03125,2,0.015625,0.15625,0.015625
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,128,9,0.0703125,5,0.0390625,0.4375,0.046875
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,train,0.3,128,41,0.3203125,16,0.125,2.3203125,0.15625
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,train,0.36,128,57,0.4453125,28,0.21875,3.5859375,0.2578125
code_n24_k12_cw3_008_q00,code_n24_k12_cw3_008,q00,validation,0.18,128,4,0.03125,2,0.015625,0.1328125,0.015625
code_n24_k12_cw3_008_q01,code_n24_k12_cw3_008,q01,validation,0.24,128,22,0.171875,5,0.0390625,0.9609375,0.046875
code_n24_k12_cw3_008_q02,code_n24_k12_cw3_008,q02,validation,0.3,128,42,0.328125,20,0.15625,2.265625,0.1796875
code_n24_k12_cw3_008_q03,code_n24_k12_cw3_008,q03,validation,0.36,128,75,0.5859375,31,0.2421875,4.5078125,0.3125
code_n24_k12_cw3_009_q00,code_n24_k12_cw3_009,q00,test,0.18,128,6,0.046875,3,0.0234375,0.2734375,0.0234375
code_n24_k12_cw3_009_q01,code_n24_k12_cw3_009,q01,test,0.24,128,10,0.078125,3,0.0234375,0.578125,0.0234375
code_n24_k12_cw3_009_q02,code_n24_k12_cw3_009,q02,test,0.3,128,38,0.296875,15,0.1171875,2.109375,0.140625
code_n24_k12_cw3_009_q03,code_n24_k12_cw3_009,q03,test,0.36,128,56,0.4375,20,0.15625,3.6015625,0.1953125
code_n24_k12_cw3_010_q00,code_n24_k12_cw3_010,q00,test,0.18,128,13,0.1015625,7,0.0546875,0.3515625,0.0546875
code_n24_k12_cw3_010_q01,code_n24_k12_cw3_010,q01,test,0.24,128,26,0.203125,15,0.1171875,0.9296875,0.140625
code_n24_k12_cw3_010_q02,code_n24_k12_cw3_010,q02,test,0.3,128,56,0.4375,38,0.296875,2.3671875,0.3515625
code_n24_k12_cw3_010_q03,code_n24_k12_cw3_010,q03,test,0.36,128,78,0.609375,56,0.4375,4.109375,0.6015625
code_n24_k12_cw3_011_q00,code_n24_k12_cw3_011,q00,test,0.18,128,5,0.0390625,2,0.015625,0.1875,0.015625
code_n24_k12_cw3_011_q01,code_n24_k12_cw3_011,q01,test,0.24,128,10,0.078125,3,0.0234375,0.453125,0.0234375
code_n24_k12_cw3_011_q02,code_n24_k12_cw3_011,q02,test,0.3,128,30,0.234375,15,0.1171875,1.7109375,0.1328125
code_n24_k12_cw3_011_q03,code_n24_k12_cw3_011,q03,test,0.36,128,54,0.421875,22,0.171875,3.453125,0.265625
code_n24_k12_cw3_012_q00,code_n24_k12_cw3_012,q00,test,0.18,128,7,0.0546875,6,0.046875,0.15625,0.046875
code_n24_k12_cw3_012_q01,code_n24_k12_cw3_012,q01,test,0.24,128,18,0.140625,10,0.078125,0.7265625,0.0859375
code_n24_k12_cw3_012_q02,code_n24_k12_cw3_012,q02,test,0.3,128,34,0.265625,21,0.1640625,1.5625,0.171875
code_n24_k12_cw3_012_q03,code_n24_k12_cw3_012,q03,test,0.36,128,51,0.3984375,29,0.2265625,3.046875,0.28125
code_n24_k12_cw3_013_q00,code_n24_k12_cw3_013,q00,train,0.18,128,10,0.078125,4,0.03125,0.265625,0.03125
code_n24_k12_cw3_013_q01,code_n24_k12_cw3_013,q01,train,0.24,128,31,0.2421875,17,0.1328125,1.15625,0.1640625
code_n24_k12_cw3_013_q02,code_n24_k12_cw3_013,q02,train,0.3,128,47,0.3671875,28,0.21875,2.25,0.296875
code_n24_k12_cw3_013_q03,code_n24_k12_cw3_013,q03,train,0.36,128,64,0.5,31,0.2421875,3.578125,0.296875
code_n24_k12_cw3_014_q00,code_n24_k12_cw3_014,q00,train,0.18,128,9,0.0703125,7,0.0546875,0.25,0.0546875
code_n24_k12_cw3_014_q01,code_n24_k12_cw3_014,q01,train,0.24,128,20,0.15625,11,0.0859375,0.5703125,0.0859375
code_n24_k12_cw3_014_q02,code_n24_k12_cw3_014,q02,train,0.3,128,45,0.3515625,35,0.2734375,1.9921875,0.34375
code_n24_k12_cw3_014_q03,code_n24_k12_cw3_014,q03,train,0.36,128,75,0.5859375,58,0.453125,3.609375,0.5859375
code_n24_k12_cw3_015_q00,code_n24_k12_cw3_015,q00,train,0.18,128,3,0.0234375,1,0.0078125,0.109375,0.0078125
code_n24_k12_cw3_015_q01,code_n24_k12_cw3_015,q01,train,0.24,128,14,0.109375,4,0.03125,0.640625,0.0390625
code_n24_k12_cw3_015_q02,code_n24_k12_cw3_015,q02,train,0.3,128,25,0.1953125,9,0.0703125,1.375,0.078125
