split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,16,0.05615234375,0.0234375,0.1015625
test,0.24,16,0.13525390625,0.046875,0.2109375
test,0.3,16,0.287109375,0.1953125,0.4375
test,0.36,16,0.48583984375,0.3984375,0.609375
train,0.18,48,0.06575520833333333,0.0,0.1875
train,0.24,48,0.15559895833333334,0.0703125,0.3671875
train,0.3,48,0.31005859375,0.1953125,0.5
train,0.36,48,0.5265299479166666,0.4140625,0.6953125
validation,0.18,16,0.06884765625,0.0078125,0.140625
validation,0.24,16,0.16796875,0.046875,0.328125
validation,0.3,16,0.3310546875,0.25,0.4453125
validation,0.36,16,0.548828125,0.4453125,0.65625
