code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n24_k12_cw3_000,55430,exact_all,2,2,1,17,84
code_n24_k12_cw3_001,55430,exact_all,2,1,4,18,142
code_n24_k12_cw3_002,55430,exact_all,2,1,1,16,95
code_n24_k12_cw3_003,55430,exact_all,4,0,0,11,47
code_n24_k12_cw3_004,55430,exact_all,3,0,2,13,69
code_n24_k12_cw3_005,55430,exact_all,2,1,3,11,83
code_n24_k12_cw3_006,55430,exact_all,2,4,4,19,122
code_n24_k12_cw3_007,55430,exact_all,3,0,1,13,73
code_n24_k12_cw3_008,55430,exact_all,3,0,2,17,128
code_n24_k12_cw3_009,55430,exact_all,4,0,0,7,65
code_n24_k12_cw3_010,55430,exact_all,2,2,4,18,129
code_n24_k12_cw3_011,55430,exact_all,4,0,0,18,78
code_n24_k12_cw3_012,55430,exact_all,2,1,2,20,90
code_n24_k12_cw3_013,55430,exact_all,2,1,7,14,105
code_n24_k12_cw3_014,55430,exact_all,2,2,2,10,94
code_n24_k12_cw3_015,55430,exact_all,3,0,1,15,77
code_n24_k12_cw3_016,55430,exact_all,2,1,1,18,83
code_n24_k12_cw3_017,55430,exact_all,2,2,1,12,142
code_n24_k12_cw3_018,55430,exact_all,2,1,1,8,57
code_n24_k12_cw3_019,55430,exact_all,2,1,0,13,61
code_n24_k12_cw3_020,55430,exact_all,2,1,3,16,96
code_n24_k12_cw3_021,55430,exact_all,3,0,3,14,92
code_n24_k12_cw3_022,55430,exact_all,2,3,12,31,119
code_n24_k12_cw3_023,55430,exact_all,2,2,2,40,107
code_n24_k12_cw3_024,55430,exact_all,3,0,3,17,100
code_n24_k12_cw3_025,55430,exact_all,3,0,3,21,113
code_n24_k12_cw3_026,55430,exact_all,2,1,4,23,135
code_n24_k12_cw3_027,55430,exact_all,3,0,2,15,85
code_n24_k12_cw3_028,55430,exact_all,3,0,2,14,53
code_n24_k12_cw3_029,55430,exact_all,2,5,4,14,134
code_n24_k12_cw3_030,55430,exact_all,2,2,1,27,212
code_n24_k12_cw3_031,55430,exact_all,2,1,5,14,104
code_n24_k12_cw3_032,55430,exact_all,2,3,5,18,122
code_n24_k12_cw3_033,55430,exact_all,3,0,2,21,125
code_n24_k12_cw3_034,55430,exact_all,2,1,2,14,71
code_n24_k12_cw3_035,55430,exact_all,2,1,1,14,69
code_n24_k12_cw3_036,55430,exact_all,2,2,2,14,104
code_n24_k12_cw3_037,55430,exact_all,2,2,0,7,60
code_n24_k12_cw3_038,55430,exact_all,2,1,4,20,141
code_n24_k12_cw3_039,55430,exact_all,2,1,5,28,141
code_n32_k16_cw3_000,242792,exact_all,2,1,0,9,56
code_n32_k16_cw3_001,242792,exact_all,2,1,0,8,19
code_n32_k16_cw3_002,242792,exact_all,2,3,0,15,41
code_n32_k16_cw3_003,242792,exact_all,2,1,0,7,48
code_n32_k16_cw3_004,242792,exact_all,4,0,0,5,30
code_n32_k16_cw3_005,242792,exact_all,2,1,0,16,68
code_n32_k16_cw3_006,242792,exact_all,2,1,1,4,48
code_n32_k16_cw3_007,242792,exact_all,3,0,1,12,63
code_n32_k16_cw3_008,242792,exact_all,2,2,0,14,68
code_n32_k16_cw3_009,242792,exact_all,3,0,1,5,21
code_n32_k16_cw3_010,242792,exact_all,2,1,3,11,79
code_n32_k16_cw3_011,242792,exact_all,3,0,2,11,54
code_n32_k16_cw3_012,242792,exact_all,2,1,0,4,31
code_n32_k16_cw3_013,242792,exact_all,2,1,1,9,29
code_n32_k16_cw3_014,242792,exact_all,2,1,1,6,47
code_n32_k16_cw3_015,242792,exact_all,2,1,0,5,16
code_n32_k16_cw3_016,242792,exact_all,2,2,2,6,76
code_n32_k16_cw3_017,242792,exact_all,3,0,5,9,63
code_n32_k16_cw3_018,242792,exact_all,4,0,0,5,31
code_n32_k16_cw3_019,242792,exact_all,2,2,0,7,29
code_n32_k16_cw3_020,242792,exact_all,3,0,3,8,55
code_n32_k16_cw3_021,242792,exact_all,4,0,0,12,36
code_n32_k16_cw3_022,242792,exact_all,2,1,0,6,43
code_n32_k16_cw3_023,242792,exact_all,3,0,1,8,47
code_n32_k16_cw3_024,242792,exact_all,2,1,0,7,80
code_n32_k16_cw3_025,242792,exact_all,2,2,5,10,57
code_n32_k16_cw3_026,242792,exact_all,2,1,1,7,38
code_n32_k16_cw3_027,242792,exact_all,3,0,1,11,59
code_n32_k16_cw3_028,242792,exact_all,2,1,1,6,24
code_n32_k16_cw3_029,242792,exact_all,2,1,0,8,52
code_n32_k16_cw3_030,242792,exact_all,2,1,0,8,47
code_n32_k16_cw3_031,242792,exact_all,4,0,0,6,29
code_n32_k16_cw3_032,242792,exact_all,2,1,2,14,46
code_n32_k16_cw3_033,242792,exact_all,3,0,1,13,74
code_n32_k16_cw3_034,242792,exact_all,2,2,1,15,68
code_n32_k16_cw3_035,242792,exact_all,3,0,1,8,32
code_n32_k16_cw3_036,242792,exact_all,3,0,4,15,131
code_n32_k16_cw3_037,242792,exact_all,3,0,2,11,49
code_n32_k16_cw3_038,242792,exact_all,2,1,2,17,86
code_n32_k16_cw3_039,242792,exact_all,2,1,0,13,34
