code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,validation,24,12,12,0.5,3,3658268555,"[1048, 292, 584, 2562, 69, 268, 2432, 2060, 1027, 274, 266, 2816, 608, 11, 3088, 2068, 1029, 304, 3328, 138, 1027, 1092, 530, 2177]"
code_n24_k12_cw3_001,train,24,12,12,0.5,3,3658268556,"[2368, 2180, 2306, 1281, 1156, 3073, 2144, 259, 2816, 140, 19, 2066, 1089, 552, 1072, 2120, 1344, 100, 2336, 21, 42, 261, 2177, 580]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,3658268557,"[1568, 1042, 896, 642, 546, 1156, 26, 386, 324, 522, 38, 1064, 784, 131, 1344, 2096, 3073, 268, 49, 2177, 548, 21, 1104, 35]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,3658268558,"[2054, 37, 518, 13, 1344, 137, 518, 266, 548, 25, 1288, 2088, 73, 1033, 148, 529, 208, 548, 1312, 2688, 1034, 1064, 88, 522]"
code_n24_k12_cw3_004,train,24,12,12,0.5,3,3658268559,"[1538, 522, 266, 548, 416, 1029, 2592, 522, 3076, 2240, 392, 515, 448, 70, 1344, 1096, 138, 2576, 648, 1344, 74, 1044, 2576, 100]"
code_n24_k12_cw3_005,test,24,12,12,0.5,3,3658268560,"[3104, 2312, 2320, 1064, 1552, 84, 76, 274, 1288, 56, 290, 336, 1600, 273, 1168, 26, 2120, 672, 2208, 2312, 131, 2088, 13, 50]"
code_n24_k12_cw3_006,test,24,12,12,0.5,3,3658268561,"[168, 152, 304, 42, 2058, 385, 84, 532, 2068, 1664, 1156, 2051, 3074, 385, 515, 56, 1072, 1168, 2051, 161, 642, 1048, 276, 641]"
code_n24_k12_cw3_007,train,24,12,12,0.5,3,3658268562,"[584, 2068, 76, 352, 385, 13, 517, 162, 208, 148, 140, 386, 196, 1048, 392, 262, 388, 84, 35, 274, 448, 770, 224, 289]"
code_n24_k12_cw3_008,train,24,12,12,0.5,3,3658268563,"[1160, 1041, 1600, 577, 1344, 1216, 266, 584, 1120, 2320, 292, 1058, 584, 770, 518, 273, 2128, 70, 2184, 448, 772, 1540, 19, 2114]"
code_n24_k12_cw3_009,train,24,12,12,0.5,3,3658268564,"[41, 2053, 672, 1090, 261, 37, 672, 70, 1664, 769, 1153, 2177, 592, 532, 769, 3080, 168, 84, 148, 672, 50, 515, 276, 290]"
