code_id,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4
code_n24_k12_cw3_000,12926,exact,2,1,22,237
code_n24_k12_cw3_001,12926,exact,4,0,0,8
code_n24_k12_cw3_002,12926,exact,4,0,0,6
code_n24_k12_cw3_003,12926,exact,2,2,44,469
code_n24_k12_cw3_004,12926,exact,2,3,66,694
code_n24_k12_cw3_005,12926,exact,2,1,22,241
code_n24_k12_cw3_006,12926,exact,2,2,44,473
code_n24_k12_cw3_007,12926,exact,4,0,0,14
code_n24_k12_cw3_008,12926,exact,2,1,22,243
code_n24_k12_cw3_009,12926,exact,2,4,86,882
code_n24_k12_cw3_010,12926,exact,4,0,0,11
code_n24_k12_cw3_011,12926,exact,2,1,22,234
code_n24_k12_cw3_012,12926,exact,2,1,22,236
code_n24_k12_cw3_013,12926,exact,2,4,88,929
code_n24_k12_cw3_014,12926,exact,2,1,22,235
code_n24_k12_cw3_015,12926,exact,2,2,44,470
code_n24_k12_cw3_016,12926,exact,2,1,22,241
code_n24_k12_cw3_017,12926,exact,2,1,22,242
code_n24_k12_cw3_018,12926,exact,4,0,0,9
code_n24_k12_cw3_019,12926,exact,4,0,0,6
code_n24_k12_cw3_020,12926,exact,2,2,44,468
code_n24_k12_cw3_021,12926,exact,2,2,44,466
code_n24_k12_cw3_022,12926,exact,2,1,22,243
code_n24_k12_cw3_023,12926,exact,2,3,66,697
code_n24_k12_cw3_024,12926,exact,2,2,44,466
code_n24_k12_cw3_025,12926,exact,4,0,0,4
code_n24_k12_cw3_026,12926,exact,2,2,44,466
code_n24_k12_cw3_027,12926,exact,2,2,44,476
code_n24_k12_cw3_028,12926,exact,2,1,22,242
code_n24_k12_cw3_029,12926,exact,2,3,66,699
code_n24_k12_cw3_030,12926,exact,2,1,22,240
code_n24_k12_cw3_031,12926,exact,2,4,86,899
code_n24_k12_cw3_032,12926,exact,2,1,22,235
code_n24_k12_cw3_033,12926,exact,2,1,22,238
code_n24_k12_cw3_034,12926,exact,2,1,22,242
code_n24_k12_cw3_035,12926,exact,4,0,0,11
code_n24_k12_cw3_036,12926,exact,2,2,44,473
code_n24_k12_cw3_037,12926,exact,2,1,22,245
code_n24_k12_cw3_038,12926,exact,2,2,44,475
code_n24_k12_cw3_039,12926,exact,2,2,44,475
code_n32_k16_cw3_000,41416,exact,4,0,0,7
code_n32_k16_cw3_001,41416,exact,2,2,60,876
code_n32_k16_cw3_002,41416,exact,4,0,0,5
code_n32_k16_cw3_003,41416,exact,4,0,0,8
code_n32_k16_cw3_004,41416,exact,4,0,0,9
code_n32_k16_cw3_005,41416,exact,2,1,30,445
code_n32_k16_cw3_006,41416,exact,2,1,30,446
code_n32_k16_cw3_007,41416,exact,2,2,60,875
code_n32_k16_cw3_008,41416,exact,2,1,30,439
code_n32_k16_cw3_009,41416,exact,4,0,0,5
code_n32_k16_cw3_010,41416,exact,4,0,0,12
code_n32_k16_cw3_011,41416,exact,2,1,30,439
code_n32_k16_cw3_012,41416,exact,4,0,0,9
code_n32_k16_cw3_013,41416,exact,4,0,0,5
code_n32_k16_cw3_014,41416,exact,4,0,0,7
code_n32_k16_cw3_015,41416,exact,2,2,60,876
code_n32_k16_cw3_016,41416,exact,4,0,0,5
code_n32_k16_cw3_017,41416,exact,4,0,0,4
code_n32_k16_cw3_018,41416,exact,2,1,30,442
code_n32_k16_cw3_019,41416,exact,2,1,30,440
code_n32_k16_cw3_020,41416,exact,4,0,0,3
code_n32_k16_cw3_021,41416,exact,2,1,30,440
code_n32_k16_cw3_022,41416,exact,4,0,0,6
code_n32_k16_cw3_023,41416,exact,2,1,30,439
code_n32_k16_cw3_024,41416,exact,2,1,30,443
code_n32_k16_cw3_025,41416,exact,2,1,30,441
code_n32_k16_cw3_026,41416,exact,2,1,30,442
code_n32_k16_cw3_027,41416,exact,2,1,30,440
code_n32_k16_cw3_028,41416,exact,4,0,0,7
code_n32_k16_cw3_029,41416,exact,2,1,30,440
code_n32_k16_cw3_030,41416,exact,4,0,0,6
code_n32_k16_cw3_031,41416,exact,2,1,30,443
code_n32_k16_cw3_032,41416,exact,4,0,0,6
code_n32_k16_cw3_033,41416,exact,2,1,30,446
code_n32_k16_cw3_034,41416,exact,2,1,30,438
code_n32_k16_cw3_035,41416,exact,2,3,88,1253
code_n32_k16_cw3_036,41416,exact,2,1,30,440
code_n32_k16_cw3_037,41416,exact,2,2,60,874
code_n32_k16_cw3_038,41416,exact,2,1,30,437
code_n32_k16_cw3_039,41416,exact,2,2,60,871
