row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,peeling_residual,residual_size,stopping_failure,erased_rank,ambiguity_dim,rank_failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,0,2526663753,"[3, 4, 8, 9, 17]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,1,2527663756,"[1, 8, 11, 14, 18]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,2,2528663759,"[8, 12, 13, 14, 20]",5,"[8, 20]",2,1,4,1,1
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,3,2529663762,"[10, 12, 20, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,4,2530663765,"[0, 9, 10, 15]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,5,2531663768,"[15, 19, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,6,2532663771,[17],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,7,2533663774,"[3, 7, 12, 21]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,8,2534663777,"[0, 4, 9, 15, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,9,2535663780,"[1, 4, 7, 17, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,10,2536663783,"[2, 5, 16, 19, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,11,2537663786,"[1, 6, 11, 12, 16, 18]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,12,2538663789,"[6, 7, 11, 21, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,13,2539663792,"[2, 19, 22, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,14,2540663795,"[0, 1, 15, 19, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,15,2541663798,"[1, 6, 7, 11, 12, 13, 14]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,16,2542663801,"[3, 14, 18, 20]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,17,2543663804,"[0, 11, 21, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,18,2544663807,"[1, 5, 10, 12, 14, 15]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,19,2545663810,"[0, 10, 18, 21]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,20,2546663813,"[1, 2, 23]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,21,2547663816,"[1, 2, 3, 9, 12, 15, 17]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,22,2548663819,"[0, 6, 7, 9, 10]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,23,2549663822,"[11, 13]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,24,2550663825,"[1, 3, 4, 14]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,25,2551663828,"[7, 12]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,26,2552663831,"[10, 15]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,27,2553663834,"[0, 1, 14, 15]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,28,2554663837,"[0, 22]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,29,2555663840,"[2, 6, 10]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,30,2556663843,"[4, 6, 14, 19]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,31,2557663846,"[18, 20, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,32,2558663849,"[11, 16, 18]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,33,2559663852,"[5, 6, 9, 14, 15, 17, 21]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,34,2560663855,"[0, 5, 8, 11]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,35,2561663858,"[5, 7, 8, 12, 14, 18]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,36,2562663861,"[2, 21]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,37,2563663864,"[1, 5, 10, 17]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,38,2564663867,"[2, 5, 8, 16, 18, 19]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,39,2565663870,"[5, 8]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,40,2566663873,"[12, 17]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,41,2567663876,"[2, 5, 13, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,42,2568663879,"[8, 9, 14]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,43,2569663882,"[6, 8, 14, 20]",4,"[8, 20]",2,1,3,1,1
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,44,2570663885,"[18, 19, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,45,2571663888,"[1, 5, 11, 16, 18, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,46,2572663891,"[8, 12, 14, 16, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,47,2573663894,"[1, 2, 8, 9, 18]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,48,2574663897,"[5, 6, 7, 12]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,49,2575663900,[0],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,50,2576663903,"[14, 17]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,51,2577663906,"[5, 12, 14, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,52,2578663909,"[4, 6, 9, 11, 12, 21]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,53,2579663912,"[2, 12, 15, 16, 18, 22]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,54,2580663915,"[8, 9, 11, 12, 14, 16]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,55,2581663918,"[5, 16]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,56,2582663921,"[0, 3, 9, 11, 12, 18]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,57,2583663924,"[4, 5, 6, 16, 17, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,58,2584663927,"[0, 3, 12]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,59,2585663930,"[5, 6, 21]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,60,2586663933,"[4, 8, 11, 12, 15, 18]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,61,2587663936,"[2, 13]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,62,2588663939,"[1, 13, 16, 21]",4,[],0,0,4,0,0
