row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,1,9,88,12926,exact,2,1,22,237,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.0058319999999999995,0.009447839999999999,0.0166281984,0.00011739130434782608,2.8814229249011852e-06,8.89124788255223e-07,3.912149068322981e-07,0.0324,0.128304,0.24879311999999995,0.06430803839999999,0.06232485879402073,0.00012155306696781478,0.00012154567999237042,0.40949711999999994,0.34323298829218457
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,1,9,88,12926,exact,2,1,22,237,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.013823999999999998,0.029859839999999995,0.07007109119999999,0.00020869565217391305,6.830039525691698e-06,2.8100734048560133e-06,1.6485763975155278e-06,0.0576,0.30412799999999995,0.7863091199999999,0.1713549312,0.1581611396291385,0.0002199843415019763,0.0002199601484947134,1.1480371199999997,0.7645544576891063
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,1,9,88,12926,exact,2,1,22,237,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.026999999999999996,0.07289999999999999,0.21383999999999995,0.0003260869565217391,1.3339920948616598e-05,6.860530773574252e-06,5.031055900621117e-06,0.09,0.5939999999999999,1.9197,0.40373999999999993,0.3391401032695406,0.00035131846414455107,0.000351256766262907,2.6037,1.2819610954378728
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.1666666666666665,3.0,8.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,1,9,88,12926,exact,2,1,22,237,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.046655999999999996,0.15116543999999998,0.5321023488,0.0004695652173913043,2.3051383399209482e-05,1.4225996612083568e-05,1.2518877018633539e-05,0.1296,1.026432,3.980689919999999,0.8595237887999999,0.6203204274175855,0.0005193614744212308,0.0005192266529293804,5.136721919999999,1.814290710338624
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,3,0,2,13,82,12926,exact,4,0,0,8,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.011663999999999999,0.013646879999999998,0.015494457599999997,0.0,5.7628458498023705e-06,1.2842913608130997e-06,3.6454116318464137e-07,0.0,0.0,0.008398079999999999,0.04080533759999999,0.0399947765658063,7.4116783738001115e-06,7.4116509074476675e-06,0.008398079999999999,0.008363012323468396
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,3,0,2,13,82,12926,exact,4,0,0,8,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.027647999999999995,0.043130879999999996,0.06529351679999999,0.0,1.3660079051383396e-05,4.058994918125352e-06,1.5361734613212872e-06,0.0,0.0,0.026542079999999996,0.1360723968,0.12757704784578114,1.9255247430830034e-05,1.925506205093291e-05,0.026542079999999996,0.02619595030443698
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,3,0,2,13,82,12926,exact,4,0,0,8,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.05399999999999999,0.10529999999999999,0.19925999999999996,0.0,2.6679841897233196e-05,9.909655561829474e-06,4.6880293619424046e-06,0.0,0.0,0.0648,0.35856,0.30642531526891625,4.127752682100507e-05,4.127667492733747e-05,0.0648,0.06278698809876482
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.0,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,1,24,3,0,8,0,55430,exact_all,3,0,2,13,82,12926,exact,4,0,0,8,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.09331199999999999,0.21835007999999997,0.4958226431999999,0.0,4.6102766798418964e-05,2.0548661773009595e-05,1.1665317221908524e-05,0.0,0.0,0.13436927999999998,0.8074847231999999,0.5919362231201827,7.831674579333708e-05,7.831367919711076e-05,0.13436927999999998,0.12607679603412303
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,3,0,2,8,68,12926,exact,4,0,0,6,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.011663999999999999,0.008398079999999999,0.012849062399999998,0.0,5.7628458498023705e-06,7.903331451157537e-07,3.023024280067758e-07,0.0,0.0,0.006298559999999999,0.032911142399999996,0.03238116746379485,6.8554814229249e-06,6.8554579242195265e-06,0.006298559999999999,0.006278806971330837
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,3,0,2,8,68,12926,exact,4,0,0,6,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.027647999999999995,0.026542079999999996,0.05414584319999999,0.0,1.3660079051383396e-05,2.4978430265386783e-06,1.2738999435347259e-06,0.0,0.0,0.019906559999999997,0.10833592319999998,0.10285972215878213,1.74318220214568e-05,1.7431670089012943e-05,0.019906559999999997,0.019711015256787718
