model,feature_count,selected_C,validation_code_grouped_log_loss,test_code_grouped_log_loss
B0,6,10.0,0.5295984494130983,0.5246051344001523
B1_simple,7,10.0,0.5295713209803117,0.5246013546952663
B1_degree,26,10.0,0.5284169445269921,0.5220753205672559
B1_degree_hazard,30,10.0,0.5264384014133603,0.5189082114279472
B1_SP_stop_scalar,27,10.0,0.5268526291943552,0.5194700791592872
B1_SP_stop_terms,30,10.0,0.5266181400995804,0.5190143229682518
B1_degree_SP_stop_norm_scalar,27,10.0,0.5267025356853438,0.52062333265115
B1_degree_SP_stop_norm_terms,30,10.0,0.5272647771455964,0.5207181562015438
B1_degree_hazard_SP_stop_norm_scalar,31,10.0,0.5252230199088395,0.5178722035277554
B1_degree_rankdep,27,10.0,0.5262299282509766,0.5209296806503725
B1_degree_rankdep_SP_stop_norm_scalar,28,10.0,0.5259769235996172,0.5206060383293336
