split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,16,0.068359375,0.0234375,0.125
test,0.24,16,0.16455078125,0.09375,0.265625
test,0.3,16,0.31494140625,0.2265625,0.4140625
test,0.36,16,0.53369140625,0.4296875,0.703125
train,0.18,48,0.07047526041666667,0.0078125,0.1953125
train,0.24,48,0.16422526041666666,0.046875,0.3046875
train,0.3,48,0.333984375,0.2109375,0.515625
train,0.36,48,0.5397135416666666,0.3828125,0.6953125
validation,0.18,16,0.07275390625,0.0,0.125
validation,0.24,16,0.16748046875,0.0703125,0.2890625
validation,0.3,16,0.34521484375,0.2109375,0.453125
validation,0.36,16,0.52734375,0.40625,0.625
