code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n24_k12_cw3_000,55430,exact_all,2,1,1,9,88
code_n24_k12_cw3_001,55430,exact_all,3,0,2,13,82
code_n24_k12_cw3_002,55430,exact_all,3,0,2,8,68
code_n24_k12_cw3_003,55430,exact_all,2,2,3,16,109
code_n24_k12_cw3_004,55430,exact_all,2,3,3,19,102
code_n24_k12_cw3_005,55430,exact_all,2,1,3,23,160
code_n24_k12_cw3_006,55430,exact_all,2,2,4,21,94
code_n24_k12_cw3_007,55430,exact_all,3,0,9,44,225
code_n24_k12_cw3_008,55430,exact_all,2,1,2,19,111
code_n24_k12_cw3_009,55430,exact_all,2,4,2,13,90
code_n24_k12_cw3_010,55430,exact_all,3,0,2,15,103
code_n24_k12_cw3_011,55430,exact_all,2,1,4,8,66
code_n24_k12_cw3_012,55430,exact_all,2,1,0,13,75
code_n24_k12_cw3_013,55430,exact_all,2,4,0,21,66
code_n24_k12_cw3_014,55430,exact_all,2,1,4,18,94
code_n24_k12_cw3_015,55430,exact_all,2,2,4,21,178
code_n24_k12_cw3_016,55430,exact_all,2,1,3,29,119
code_n24_k12_cw3_017,55430,exact_all,2,1,2,14,83
code_n24_k12_cw3_018,55430,exact_all,3,0,1,11,55
code_n24_k12_cw3_019,55430,exact_all,3,0,3,9,47
code_n24_k12_cw3_020,55430,exact_all,2,2,2,20,78
code_n24_k12_cw3_021,55430,exact_all,2,2,2,13,80
code_n24_k12_cw3_022,55430,exact_all,2,1,2,17,92
code_n24_k12_cw3_023,55430,exact_all,2,3,2,25,162
code_n24_k12_cw3_024,55430,exact_all,2,2,2,11,69
code_n24_k12_cw3_025,55430,exact_all,3,0,1,6,46
code_n24_k12_cw3_026,55430,exact_all,2,2,2,15,105
code_n24_k12_cw3_027,55430,exact_all,2,2,7,36,178
code_n24_k12_cw3_028,55430,exact_all,2,1,3,21,117
code_n24_k12_cw3_029,55430,exact_all,2,3,1,13,106
code_n24_k12_cw3_030,55430,exact_all,2,1,1,10,62
code_n24_k12_cw3_031,55430,exact_all,2,4,6,30,103
code_n24_k12_cw3_032,55430,exact_all,2,1,2,15,55
code_n24_k12_cw3_033,55430,exact_all,2,1,1,8,66
code_n24_k12_cw3_034,55430,exact_all,2,1,1,28,132
code_n24_k12_cw3_035,55430,exact_all,3,0,1,17,93
code_n24_k12_cw3_036,55430,exact_all,2,2,3,14,68
code_n24_k12_cw3_037,55430,exact_all,2,1,1,24,118
code_n24_k12_cw3_038,55430,exact_all,2,2,5,20,91
code_n24_k12_cw3_039,55430,exact_all,2,2,3,20,102
code_n32_k16_cw3_000,242792,exact_all,3,0,2,8,16
code_n32_k16_cw3_001,242792,exact_all,2,2,1,18,97
code_n32_k16_cw3_002,242792,exact_all,3,0,1,5,32
code_n32_k16_cw3_003,242792,exact_all,3,0,1,8,38
code_n32_k16_cw3_004,242792,exact_all,3,0,2,16,63
code_n32_k16_cw3_005,242792,exact_all,2,1,2,13,48
code_n32_k16_cw3_006,242792,exact_all,2,1,2,19,139
code_n32_k16_cw3_007,242792,exact_all,2,2,0,11,71
code_n32_k16_cw3_008,242792,exact_all,2,1,1,7,35
code_n32_k16_cw3_009,242792,exact_all,3,0,3,8,52
code_n32_k16_cw3_010,242792,exact_all,3,0,1,12,56
code_n32_k16_cw3_011,242792,exact_all,2,1,0,6,30
code_n32_k16_cw3_012,242792,exact_all,3,0,2,11,52
code_n32_k16_cw3_013,242792,exact_all,3,0,2,8,54
code_n32_k16_cw3_014,242792,exact_all,3,0,1,14,44
code_n32_k16_cw3_015,242792,exact_all,2,2,1,13,46
code_n32_k16_cw3_016,242792,exact_all,4,0,0,6,38
code_n32_k16_cw3_017,242792,exact_all,4,0,0,6,26
code_n32_k16_cw3_018,242792,exact_all,2,1,1,8,68
code_n32_k16_cw3_019,242792,exact_all,2,1,2,10,38
code_n32_k16_cw3_020,242792,exact_all,3,0,1,5,15
code_n32_k16_cw3_021,242792,exact_all,2,1,0,8,33
code_n32_k16_cw3_022,242792,exact_all,4,0,0,9,31
code_n32_k16_cw3_023,242792,exact_all,2,1,1,8,41
code_n32_k16_cw3_024,242792,exact_all,2,1,2,16,84
code_n32_k16_cw3_025,242792,exact_all,2,1,1,7,20
code_n32_k16_cw3_026,242792,exact_all,2,1,0,10,34
code_n32_k16_cw3_027,242792,exact_all,2,1,2,6,24
code_n32_k16_cw3_028,242792,exact_all,3,0,2,10,48
code_n32_k16_cw3_029,242792,exact_all,2,1,1,5,51
code_n32_k16_cw3_030,242792,exact_all,3,0,2,7,39
code_n32_k16_cw3_031,242792,exact_all,2,1,2,10,81
code_n32_k16_cw3_032,242792,exact_all,3,0,2,11,41
code_n32_k16_cw3_033,242792,exact_all,2,1,4,20,101
code_n32_k16_cw3_034,242792,exact_all,2,1,0,5,35
code_n32_k16_cw3_035,242792,exact_all,2,3,1,7,41
code_n32_k16_cw3_036,242792,exact_all,2,1,0,8,54
code_n32_k16_cw3_037,242792,exact_all,2,2,2,8,24
code_n32_k16_cw3_038,242792,exact_all,2,1,0,3,38
code_n32_k16_cw3_039,242792,exact_all,2,2,2,6,56
