code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,414856179,"[133, 1044, 1057, 168, 2305, 1120, 324, 592, 416, 2320, 1153, 1104, 324, 521, 560, 81, 1537, 138, 2306, 385, 289, 336, 1344, 578]"
code_n24_k12_cw3_001,validation,24,12,12,0.5,3,414856180,"[14, 2564, 200, 521, 84, 2568, 515, 1120, 1048, 536, 196, 82, 2320, 2592, 832, 532, 112, 776, 131, 769, 641, 82, 3584, 208]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,414856181,"[1168, 2096, 2184, 770, 3074, 1029, 1060, 1284, 273, 2320, 2562, 578, 3088, 88, 322, 776, 1288, 3328, 104, 37, 2066, 800, 3088, 648]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,414856182,"[1296, 2120, 1544, 1156, 577, 522, 2184, 1284, 145, 3584, 134, 97, 3073, 162, 304, 74, 1344, 35, 672, 259, 1058, 518, 84, 2068]"
code_n24_k12_cw3_004,validation,24,12,12,0.5,3,414856183,"[3080, 42, 3200, 1156, 1092, 642, 11, 522, 2120, 2096, 2068, 265, 224, 2308, 584, 2336, 2306, 67, 608, 26, 336, 1090, 2088, 2688]"
code_n24_k12_cw3_005,train,24,12,12,0.5,3,414856184,"[164, 2088, 1089, 224, 1312, 1552, 1168, 280, 517, 2120, 2096, 521, 2120, 832, 524, 521, 67, 584, 1057, 560, 137, 704, 2081, 448]"
code_n24_k12_cw3_006,test,24,12,12,0.5,3,414856185,"[98, 515, 41, 2568, 548, 2306, 2312, 21, 704, 67, 280, 1072, 896, 2114, 2053, 168, 2576, 386, 1792, 2072, 608, 1064, 1153, 304]"
code_n24_k12_cw3_007,train,24,12,12,0.5,3,414856186,"[84, 784, 35, 2060, 52, 641, 560, 2177, 100, 352, 2562, 1029, 1540, 672, 642, 2306, 70, 800, 642, 2082, 100, 2306, 2096, 1060]"
code_n24_k12_cw3_008,test,24,12,12,0.5,3,414856187,"[324, 352, 14, 164, 1036, 385, 2057, 1216, 134, 82, 2178, 644, 672, 41, 1060, 70, 304, 2144, 1408, 2240, 1057, 98, 1104, 69]"
code_n24_k12_cw3_009,validation,24,12,12,0.5,3,414856188,"[266, 2096, 1296, 2306, 161, 2336, 644, 69, 545, 208, 2051, 2058, 2568, 2180, 76, 56, 800, 14, 3200, 97, 2308, 2624, 392, 704]"
code_n24_k12_cw3_010,validation,24,12,12,0.5,3,414856189,"[592, 1408, 112, 1033, 224, 656, 1344, 1281, 1044, 2208, 2192, 1092, 148, 772, 532, 290, 532, 1057, 1544, 518, 21, 73, 2058, 1058]"
code_n24_k12_cw3_011,train,24,12,12,0.5,3,414856190,"[552, 304, 770, 146, 152, 592, 2066, 104, 2054, 800, 133, 196, 14, 2562, 2368, 3073, 273, 896, 41, 1044, 274, 1153, 522, 896]"
code_n24_k12_cw3_012,train,24,12,12,0.5,3,414856191,"[2053, 584, 896, 776, 416, 276, 2368, 28, 1120, 193, 2592, 81, 2068, 1288, 517, 532, 152, 580, 1344, 560, 1216, 1027, 800, 14]"
code_n24_k12_cw3_013,test,24,12,12,0.5,3,414856192,"[50, 296, 392, 52, 97, 1092, 2320, 145, 1048, 273, 2072, 2065, 2068, 261, 35, 2113, 194, 1568, 2088, 3328, 19, 2072, 800, 522]"
code_n24_k12_cw3_014,test,24,12,12,0.5,3,414856193,"[1537, 2180, 2368, 1072, 704, 276, 2128, 524, 292, 104, 3200, 168, 672, 200, 2308, 7, 42, 524, 2432, 162, 1344, 578, 2568, 276]"
code_n24_k12_cw3_015,train,24,12,12,0.5,3,414856194,"[3200, 1160, 2816, 292, 1041, 2561, 133, 1184, 2561, 1296, 2816, 385, 328, 1153, 2178, 168, 289, 530, 522, 148, 2180, 69, 2576, 2562]"
code_n24_k12_cw3_016,train,24,12,12,0.5,3,414856195,"[290, 2688, 164, 784, 1034, 517, 137, 194, 3584, 352, 84, 224, 152, 14, 50, 2051, 194, 388, 2368, 530, 578, 44, 1089, 194]"
code_n24_k12_cw3_017,train,24,12,12,0.5,3,414856196,"[392, 524, 1184, 2568, 769, 1041, 1060, 776, 19, 1160, 2576, 1120, 1072, 21, 656, 2184, 13, 76, 2072, 2432, 321, 522, 67, 1156]"
