row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,2,22,127,12926,exact,2,1,22,238,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.011663999999999999,0.023094719999999996,0.023997513599999996,0.00011739130434782608,5.7628458498023705e-06,2.1734161490683228e-06,5.645942405420665e-07,0.0324,0.128304,0.24984287999999996,0.09115623359999998,0.08723789879829419,0.00012589216058723883,0.00012588423683420878,0.41054687999999995,0.343977487348574
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,2,22,127,12926,exact,2,1,22,238,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.027647999999999995,0.07299071999999998,0.10112532479999999,0.00020869565217391305,1.3660079051383396e-05,6.869068322981366e-06,2.379195482778091e-06,0.0576,0.30412799999999995,0.7896268799999999,0.25936404479999997,0.23060686719696077,0.0002316039950310559,0.00023157717896619067,1.15135488,0.7660978204057728
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,2,22,127,12926,exact,2,1,22,238,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.05399999999999999,0.1782,0.30860999999999994,0.0003260869565217391,2.6679841897233196e-05,1.6770186335403728e-05,7.260728402032748e-06,0.09,0.5939999999999999,1.9278,0.6308099999999999,0.48907682390393514,0.00037679771315640877,0.0003767267427251933,2.6117999999999997,1.2842062630361057
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,3,24,1,0,8,0,55430,exact_all,2,1,2,22,127,12926,exact,2,1,22,238,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.09331199999999999,0.36951551999999993,0.7679204351999999,0.0004695652173913043,4.6102766798418964e-05,3.4774658385093165e-05,1.8067015697346128e-05,0.1296,1.026432,3.9974860799999994,1.3603479552,0.8588090468135778,0.0005685096582721626,0.0005683481178783379,5.15351808,1.8170239637912096
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.833333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,3,11,106,12926,exact,2,1,22,240,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.017495999999999998,0.011547359999999998,0.020029420799999996,0.00011739130434782608,8.644268774703556e-06,1.0867080745341614e-06,4.712361377752682e-07,0.0324,0.128304,0.25194239999999996,0.08147278079999999,0.07832379808685966,0.00012759351733483907,0.00012758537797435187,0.41264639999999997,0.34546482468528067
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.833333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,3,11,106,12926,exact,2,1,22,240,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.041471999999999995,0.03649535999999999,0.08440381439999999,0.00020869565217391305,2.0490118577075095e-05,3.434534161490683e-06,1.9857852060982495e-06,0.0576,0.30412799999999995,0.7962623999999998,0.21997117439999997,0.1988272309250468,0.0002346060901185771,0.00023457857441330063,1.1579903999999996,0.7691774182625631
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.833333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,3,11,106,12926,exact,2,1,22,240,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.08099999999999999,0.0891,0.2575799999999999,0.0003260869565217391,4.001976284584979e-05,8.385093167701864e-06,6.060135516657255e-06,0.09,0.5939999999999999,1.944,0.5176799999999999,0.41718285306215286,0.000380551948051948,0.00038047955652460713,2.6279999999999997,1.2886815322528902
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.833333333333333,3.0,12.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,1,0,9,0,55430,exact_all,2,1,3,11,106,12926,exact,2,1,22,240,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.13996799999999998,0.18475775999999997,0.6409414655999999,0.0004695652173913043,6.915415019762845e-05,1.7387329192546582e-05,1.5079556408808582e-05,0.1296,1.026432,4.031078399999999,1.0952672255999998,0.7396810992254632,0.0005711862531902879,0.0005710231884129891,5.187110399999999,1.8224681602558228
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.833333333333333,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,1,6,11,102,12926,exact,2,1,22,238,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.034991999999999995,0.011547359999999998,0.019273593599999996,0.00011739130434782608,1.728853754940711e-05,1.0867080745341614e-06,4.5345364201016366e-07,0.0324,0.128304,0.24984287999999996,0.09821295359999999,0.09368427109447346,0.0001362200036137775,0.00013621072651156027,0.41054687999999995,0.343977487348574
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.833333333333333,3.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,2,0,8,0,55430,exact_all,2,1,6,11,102,12926,exact,2,1,22,238,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.08294399999999999,0.03649535999999999,0.08121876479999998,0.00020869565217391305,4.098023715415019e-05,3.434534161490683e-06,1.9108499153020887e-06,0.0576,0.30412799999999995,0.7896268799999999,0.2582581248,0.22972832387581715,0.00025502127340485596,0.00025498876100736264,1.15135488,0.7660978204057728
