row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,128,12,0.09375,8,0.0625,0.3828125,0.0625
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,128,26,0.203125,10,0.078125,0.90625,0.078125
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,128,50,0.390625,25,0.1953125,2.4140625,0.203125
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,128,75,0.5859375,44,0.34375,4.2109375,0.4765625
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,validation,0.18,128,13,0.1015625,6,0.046875,0.453125,0.0546875
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,validation,0.24,128,18,0.140625,11,0.0859375,0.6640625,0.0859375
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,validation,0.3,128,48,0.375,23,0.1796875,1.953125,0.2109375
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,validation,0.36,128,79,0.6171875,47,0.3671875,4.140625,0.390625
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,128,10,0.078125,6,0.046875,0.328125,0.046875
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,128,18,0.140625,9,0.0703125,0.53125,0.078125
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,128,42,0.328125,17,0.1328125,1.96875,0.1796875
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,128,67,0.5234375,35,0.2734375,3.65625,0.3828125
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,128,2,0.015625,1,0.0078125,0.09375,0.0078125
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,128,14,0.109375,4,0.03125,0.7734375,0.03125
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,128,31,0.2421875,10,0.078125,1.765625,0.109375
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,128,61,0.4765625,30,0.234375,4.1796875,0.28125
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,validation,0.18,128,2,0.015625,2,0.015625,0.078125,0.015625
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,validation,0.24,128,15,0.1171875,2,0.015625,0.640625,0.015625
