model,feature_count,selected_C,validation_code_grouped_log_loss,test_code_grouped_log_loss
B0,6,10.0,0.5257015264183917,0.5114732554225543
B1_simple,7,10.0,0.5257118469030622,0.5114571675747601
B1_degree,26,10.0,0.522945474448877,0.5097949732191456
B1_degree_hazard,30,10.0,0.5205983857951885,0.505468640559161
B1_SP_stop_scalar,27,10.0,0.5196331658368083,0.5037622275289776
B1_SP_stop_terms,30,10.0,0.5180056926643322,0.5016588915740018
B1_degree_SP_stop_norm_scalar,27,10.0,0.5199006703155439,0.5048884590225649
B1_degree_SP_stop_norm_terms,30,10.0,0.5189494946477892,0.5041867679825616
B1_degree_SP_stop_orderwise_norm_terms,30,10.0,0.5189494946477892,0.5041867679825616
B1_degree_hazard_SP_stop_norm_scalar,31,10.0,0.5181786861889375,0.5010683287938202
B1_degree_hazard_SP_stop_orderwise_norm_terms,34,10.0,0.5177022731992835,0.5006903928832611
B1_degree_rankdep,27,10.0,0.5210270494036522,0.5033376799757282
B1_degree_rankdep_SP_stop_norm_scalar,28,10.0,0.5200484427519734,0.5029274603406706
B1_degree_rankdep_SP_stop_orderwise_norm_terms,31,10.0,0.5189291062061598,0.5020020300390309
