split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,16,0.056640625,0.0078125,0.1953125
test,0.24,16,0.1396484375,0.0625,0.34375
test,0.3,16,0.287109375,0.21875,0.484375
test,0.36,16,0.52392578125,0.4140625,0.6953125
train,0.18,48,0.06705729166666667,0.015625,0.1640625
train,0.24,48,0.17415364583333334,0.046875,0.3125
train,0.3,48,0.3408203125,0.1875,0.4921875
train,0.36,48,0.5255533854166666,0.3984375,0.65625
validation,0.18,16,0.06982421875,0.0078125,0.1328125
validation,0.24,16,0.15625,0.0703125,0.2265625
validation,0.3,16,0.31396484375,0.234375,0.40625
validation,0.36,16,0.5087890625,0.375,0.6796875
