code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n24_k12_cw3_000,55430,exact_all,2,1,2,22,127
code_n24_k12_cw3_001,55430,exact_all,2,1,3,11,106
code_n24_k12_cw3_002,55430,exact_all,2,1,6,11,102
code_n24_k12_cw3_003,55430,exact_all,4,0,0,9,51
code_n24_k12_cw3_004,55430,exact_all,4,0,0,14,77
code_n24_k12_cw3_005,55430,exact_all,2,2,3,18,96
code_n24_k12_cw3_006,55430,exact_all,3,0,2,11,58
code_n24_k12_cw3_007,55430,exact_all,2,3,3,27,213
code_n24_k12_cw3_008,55430,exact_all,3,0,1,16,104
code_n24_k12_cw3_009,55430,exact_all,3,0,1,13,75
code_n24_k12_cw3_010,55430,exact_all,2,1,2,14,84
code_n24_k12_cw3_011,55430,exact_all,2,1,0,17,83
code_n24_k12_cw3_012,55430,exact_all,3,0,1,15,83
code_n24_k12_cw3_013,55430,exact_all,2,1,2,16,96
code_n24_k12_cw3_014,55430,exact_all,2,2,3,16,103
code_n24_k12_cw3_015,55430,exact_all,2,2,2,17,110
code_n24_k12_cw3_016,55430,exact_all,2,3,1,24,100
code_n24_k12_cw3_017,55430,exact_all,3,0,3,15,80
code_n24_k12_cw3_018,55430,exact_all,2,2,2,23,130
code_n24_k12_cw3_019,55430,exact_all,2,2,2,19,76
code_n24_k12_cw3_020,55430,exact_all,3,0,3,7,87
code_n24_k12_cw3_021,55430,exact_all,3,0,2,15,96
code_n24_k12_cw3_022,55430,exact_all,2,1,1,22,108
code_n24_k12_cw3_023,55430,exact_all,2,1,0,14,92
code_n24_k12_cw3_024,55430,exact_all,2,2,1,30,144
code_n24_k12_cw3_025,55430,exact_all,4,0,0,14,55
code_n24_k12_cw3_026,55430,exact_all,3,0,3,12,76
code_n24_k12_cw3_027,55430,exact_all,3,0,1,15,61
code_n24_k12_cw3_028,55430,exact_all,2,2,1,17,124
code_n24_k12_cw3_029,55430,exact_all,3,0,2,10,75
code_n24_k12_cw3_030,55430,exact_all,3,0,3,22,125
code_n24_k12_cw3_031,55430,exact_all,2,1,0,10,64
code_n24_k12_cw3_032,55430,exact_all,2,5,1,24,105
code_n24_k12_cw3_033,55430,exact_all,2,3,4,20,99
code_n24_k12_cw3_034,55430,exact_all,2,1,2,13,64
code_n24_k12_cw3_035,55430,exact_all,2,2,2,14,86
code_n24_k12_cw3_036,55430,exact_all,2,2,0,5,86
code_n24_k12_cw3_037,55430,exact_all,3,0,1,12,106
code_n24_k12_cw3_038,55430,exact_all,3,0,1,19,89
code_n24_k12_cw3_039,55430,exact_all,2,1,2,19,116
code_n32_k16_cw3_000,242792,exact_all,4,0,0,7,30
code_n32_k16_cw3_001,242792,exact_all,2,1,1,11,48
code_n32_k16_cw3_002,242792,exact_all,2,2,0,6,33
code_n32_k16_cw3_003,242792,exact_all,3,0,1,8,33
code_n32_k16_cw3_004,242792,exact_all,2,1,0,5,49
code_n32_k16_cw3_005,242792,exact_all,2,2,0,7,44
code_n32_k16_cw3_006,242792,exact_all,2,4,1,15,46
code_n32_k16_cw3_007,242792,exact_all,2,2,3,8,91
code_n32_k16_cw3_008,242792,exact_all,2,2,1,13,52
code_n32_k16_cw3_009,242792,exact_all,2,1,2,7,31
code_n32_k16_cw3_010,242792,exact_all,2,1,2,5,44
code_n32_k16_cw3_011,242792,exact_all,3,0,1,9,42
code_n32_k16_cw3_012,242792,exact_all,2,1,1,9,45
code_n32_k16_cw3_013,242792,exact_all,2,1,1,9,63
code_n32_k16_cw3_014,242792,exact_all,2,2,3,8,47
code_n32_k16_cw3_015,242792,exact_all,4,0,0,4,20
code_n32_k16_cw3_016,242792,exact_all,2,2,2,9,33
code_n32_k16_cw3_017,242792,exact_all,2,1,0,7,35
code_n32_k16_cw3_018,242792,exact_all,2,1,2,6,58
code_n32_k16_cw3_019,242792,exact_all,2,2,4,6,43
code_n32_k16_cw3_020,242792,exact_all,3,0,1,8,54
code_n32_k16_cw3_021,242792,exact_all,2,1,2,8,54
code_n32_k16_cw3_022,242792,exact_all,2,2,2,7,39
code_n32_k16_cw3_023,242792,exact_all,3,0,1,4,22
code_n32_k16_cw3_024,242792,exact_all,2,1,1,3,37
code_n32_k16_cw3_025,242792,exact_all,3,0,2,12,73
code_n32_k16_cw3_026,242792,exact_all,2,1,1,11,38
code_n32_k16_cw3_027,242792,exact_all,2,1,1,6,24
code_n32_k16_cw3_028,242792,exact_all,2,1,3,10,58
code_n32_k16_cw3_029,242792,exact_all,2,1,1,6,20
code_n32_k16_cw3_030,242792,exact_all,2,1,2,17,70
code_n32_k16_cw3_031,242792,exact_all,2,1,2,25,80
code_n32_k16_cw3_032,242792,exact_all,4,0,0,10,31
code_n32_k16_cw3_033,242792,exact_all,3,0,3,15,78
code_n32_k16_cw3_034,242792,exact_all,3,0,1,6,40
code_n32_k16_cw3_035,242792,exact_all,3,0,1,14,58
code_n32_k16_cw3_036,242792,exact_all,2,1,2,5,24
code_n32_k16_cw3_037,242792,exact_all,2,1,3,14,90
code_n32_k16_cw3_038,242792,exact_all,3,0,1,13,86
code_n32_k16_cw3_039,242792,exact_all,2,1,1,4,31
