code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,1466411099,"[292, 194, 176, 259, 2336, 1153, 2096, 2306, 3073, 14, 2368, 28, 2113, 2051, 82, 2060, 522, 2192, 11, 776, 164, 259, 2058, 2178]"
code_n24_k12_cw3_001,test,24,12,12,0.5,3,1466411100,"[138, 642, 1064, 289, 26, 148, 1664, 296, 388, 1344, 784, 13, 1064, 1552, 88, 1296, 265, 1042, 2178, 196, 2688, 522, 145, 2688]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,1466411101,"[1184, 1036, 193, 76, 770, 1540, 546, 416, 548, 2068, 776, 644, 168, 25, 2054, 2432, 137, 2096, 268, 37, 2576, 2066, 26, 2081]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,1466411102,"[133, 56, 1664, 2432, 25, 276, 2624, 224, 1154, 52, 2208, 42, 2320, 2120, 546, 2576, 522, 2568, 1090, 2051, 2120, 644, 19, 3076]"
code_n24_k12_cw3_004,train,24,12,12,0.5,3,1466411103,"[2128, 81, 1408, 2088, 1168, 289, 52, 1033, 577, 138, 200, 74, 1044, 19, 1048, 521, 56, 641, 296, 388, 268, 276, 176, 81]"
code_n24_k12_cw3_005,validation,24,12,12,0.5,3,1466411104,"[2068, 324, 50, 2564, 448, 3328, 2368, 656, 2312, 176, 2184, 262, 3076, 2306, 642, 521, 1544, 82, 261, 41, 2368, 1048, 1664, 1034]"
code_n24_k12_cw3_006,test,24,12,12,0.5,3,1466411105,"[41, 2072, 81, 145, 2057, 2068, 1058, 161, 261, 2208, 1089, 259, 644, 521, 2208, 274, 2568, 3073, 1160, 1168, 25, 289, 392, 770]"
code_n24_k12_cw3_007,test,24,12,12,0.5,3,1466411106,"[69, 3136, 2306, 2336, 1057, 2308, 1156, 800, 1096, 324, 1282, 784, 100, 262, 536, 545, 580, 3328, 261, 2128, 552, 1153, 656, 3104]"
code_n24_k12_cw3_008,train,24,12,12,0.5,3,1466411107,"[140, 37, 2592, 3584, 3328, 2081, 104, 2320, 98, 648, 138, 2120, 1104, 176, 2308, 97, 208, 2088, 11, 161, 1540, 49, 2144, 2178]"
code_n24_k12_cw3_009,train,24,12,12,0.5,3,1466411108,"[2051, 1060, 268, 2082, 644, 97, 644, 388, 1284, 28, 416, 131, 2432, 1060, 896, 304, 1284, 176, 276, 1072, 2120, 112, 1168, 67]"
code_n24_k12_cw3_010,train,24,12,12,0.5,3,1466411109,"[304, 81, 1034, 112, 1153, 1154, 322, 1216, 769, 69, 1060, 1036, 49, 2060, 1664, 800, 1096, 74, 1282, 1538, 1060, 1344, 1044, 2082]"
code_n24_k12_cw3_011,train,24,12,12,0.5,3,1466411110,"[1104, 266, 3088, 2336, 2128, 522, 521, 1537, 2144, 112, 580, 100, 261, 262, 44, 2053, 644, 98, 769, 276, 2113, 2084, 268, 2096]"
code_n24_k12_cw3_012,train,24,12,12,0.5,3,1466411111,"[49, 176, 770, 577, 2208, 2312, 22, 11, 1029, 70, 88, 2116, 1057, 388, 3080, 98, 1044, 524, 164, 1344, 2060, 584, 289, 2053]"
code_n24_k12_cw3_013,validation,24,12,12,0.5,3,1466411112,"[1160, 1120, 208, 97, 1064, 2058, 193, 896, 641, 770, 1036, 328, 648, 266, 1048, 352, 1033, 1089, 608, 52, 1057, 518, 2336, 3328]"
code_n24_k12_cw3_014,validation,24,12,12,0.5,3,1466411113,"[2065, 137, 21, 1092, 88, 148, 642, 2177, 1058, 52, 2066, 73, 176, 2084, 289, 2308, 259, 2144, 1282, 3104, 208, 2432, 321, 515]"
code_n24_k12_cw3_015,train,24,12,12,0.5,3,1466411114,"[44, 37, 2058, 37, 3584, 82, 200, 1030, 280, 3104, 2192, 100, 1034, 2624, 656, 304, 641, 1042, 1156, 522, 38, 1034, 3074, 769]"
code_n24_k12_cw3_016,test,24,12,12,0.5,3,1466411115,"[2068, 2336, 1537, 193, 522, 35, 2816, 2592, 268, 145, 1104, 3088, 290, 3076, 672, 134, 2312, 536, 580, 84, 642, 1042, 1296, 1092]"
code_n24_k12_cw3_017,train,24,12,12,0.5,3,1466411116,"[11, 2051, 1168, 2053, 1092, 50, 1538, 2054, 133, 608, 2081, 224, 148, 2562, 1537, 2057, 521, 1284, 76, 1033, 2368, 2562, 524, 22]"
code_n24_k12_cw3_018,validation,24,12,12,0.5,3,1466411117,"[290, 52, 276, 70, 289, 385, 2113, 2592, 2081, 25, 416, 532, 1544, 296, 2066, 84, 1060, 530, 784, 704, 1552, 1096, 1036, 2084]"
code_n24_k12_cw3_019,train,24,12,12,0.5,3,1466411118,"[769, 2057, 2688, 2072, 608, 168, 1168, 73, 322, 2113, 1296, 13, 164, 336, 2178, 2054, 37, 1064, 2088, 1408, 784, 1090, 1034, 2058]"
code_n24_k12_cw3_020,train,24,12,12,0.5,3,1466411119,"[336, 2432, 2816, 70, 324, 577, 74, 56, 2060, 608, 1408, 148, 1160, 3080, 2072, 50, 14, 2568, 1064, 74, 1160, 261, 517, 2688]"
