row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_stop_2_norm_q2,N_stop_3_norm_q3,N_stop_4_norm_q4,N_stop_5_norm_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_stop_5_norm,log1p_H_stop_5_norm,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,7.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,2,0,0,24,1,0,9,0,55430,exact_all,2,1,5,22,121,12926,exact,2,1,22,238,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.02916,0.023094719999999996,0.022863772799999998,0.00011739130434782608,1.4407114624505928e-05,2.1734161490683228e-06,5.379204968944098e-07,0.0324,0.128304,0.24984287999999996,0.10751849279999999,0.10212192058555752,0.00013450975561829474,0.00013450070999225736,0.41054687999999995,0.343977487348574
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,7.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,2,0,0,24,1,0,9,0,55430,exact_all,2,1,5,22,121,12926,exact,2,1,22,238,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.06911999999999999,0.07299071999999998,0.09634775039999999,0.00020869565217391305,3.4150197628458496e-05,6.869068322981366e-06,2.2667925465838504e-06,0.0576,0.30412799999999995,0.7896268799999999,0.2960584704,0.2593277129617673,0.0002519817106719368,0.00025194996861284717,1.15135488,0.7660978204057728
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,7.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,2,0,0,24,1,0,9,0,55430,exact_all,2,1,5,22,121,12926,exact,2,1,22,238,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.13499999999999998,0.1782,0.29402999999999996,0.0003260869565217391,6.6699604743083e-05,1.6770186335403728e-05,6.9177018633540356e-06,0.09,0.5939999999999999,1.9278,0.69723,0.5289975103623304,0.0004164744494635799,0.0004163877480518318,2.6117999999999997,1.2842062630361057
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,7.666666666666667,2.0,11.0,3.0,0.0,3.0,3.0,0,0,2,0,0,24,1,0,9,0,55430,exact_all,2,1,5,22,121,12926,exact,2,1,22,238,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.23328,0.36951551999999993,0.7316407295999999,0.0004695652173913043,0.00011525691699604742,3.4774658385093165e-05,1.7213455900621114e-05,0.1296,1.026432,3.9974860799999994,1.4640362496,0.9018007572513692,0.0006368102486730661,0.0006366075710668784,5.15351808,1.8170239637912096
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,2,5,16,94,12926,exact,2,2,44,468,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0648,0.02916,0.016796159999999997,0.017761939199999997,0.00023478260869565215,1.4407114624505928e-05,1.5806662902315073e-06,4.1788865047995477e-07,0.0648,0.256608,0.49128767999999995,0.12851809919999999,0.12090535542774532,0.0002511882782608696,0.00025115673576726097,0.81269568,0.5948150632985929
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,2,5,16,94,12926,exact,2,2,44,468,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.1152,0.06911999999999999,0.05308415999999999,0.07484866559999999,0.0004173913043478261,3.4150197628458496e-05,4.9956860530773566e-06,1.7609793337097683e-06,0.1152,0.6082559999999999,1.5527116799999998,0.31225282559999995,0.27174537439619156,0.00045829816736307175,0.00045819318083349886,2.2761676799999995,1.1866743490521319
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,2,5,16,94,12926,exact,2,2,44,468,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.18,0.13499999999999998,0.1296,0.22841999999999996,0.0006521739130434782,6.6699604743083e-05,1.2196499153020891e-05,5.37408243929983e-06,0.18,1.1879999999999997,3.7908,0.67302,0.5146303765058556,0.0007364440993788819,0.0007361730574864318,5.158799999999999,1.8178819533736266
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,0,0,2,24,3,0,7,0,55430,exact_all,2,2,5,16,94,12926,exact,2,2,44,468,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.2592,0.23328,0.26873855999999996,0.5683820543999999,0.0009391304347826086,0.00011525691699604742,2.5290660643704117e-05,1.3372436815358553e-05,0.2592,2.052864,7.860602879999999,1.3296006143999999,0.8456968427564587,0.0010930504492377188,0.001092453504549603,10.17266688,2.4134703383887897
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.0,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,0,0,10,0,55430,exact_all,3,0,1,12,84,12926,exact,4,0,0,7,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.0058319999999999995,0.012597119999999998,0.0158723712,0.0,2.8814229249011852e-06,1.1854997176736305e-06,3.734324110671936e-07,0.0,0.0,0.0073483199999999985,0.03430149119999999,0.033726311148623726,4.44035505364201e-06,4.4403451952946915e-06,0.0073483199999999985,0.007321452636295071
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.0,2.0,9.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,0,0,10,0,55430,exact_all,3,0,1,12,84,12926,exact,4,0,0,7,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.013823999999999998,0.039813119999999994,0.06688604159999999,0.0,6.830039525691698e-06,3.7467645398080174e-06,1.5736411067193672e-06,0.0,0.0,0.023224319999999996,0.12052316159999998,0.11379568481718395,1.2150445172219082e-05,1.2150371356158073e-05,0.023224319999999996,0.0229587395692226
