row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,256,21,0.08203125,11,0.04296875,0.30078125,0.04296875
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,256,47,0.18359375,17,0.06640625,0.85546875,0.0703125
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,256,97,0.37890625,42,0.1640625,2.08203125,0.17578125
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,256,150,0.5859375,78,0.3046875,3.96875,0.37890625
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,test,0.18,256,32,0.125,19,0.07421875,0.4140625,0.07421875
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,test,0.24,256,54,0.2109375,34,0.1328125,0.90234375,0.13671875
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,test,0.3,256,97,0.37890625,57,0.22265625,1.9140625,0.2578125
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,test,0.36,256,156,0.609375,94,0.3671875,3.8828125,0.47265625
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,256,6,0.0234375,0,0.0,0.15234375,0.0
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,256,25,0.09765625,5,0.01953125,0.60546875,0.01953125
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,256,64,0.25,24,0.09375,1.87890625,0.12890625
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,256,120,0.46875,47,0.18359375,3.67578125,0.2265625
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,256,17,0.06640625,3,0.01171875,0.296875,0.01171875
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,256,41,0.16015625,21,0.08203125,0.76953125,0.0859375
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,256,79,0.30859375,42,0.1640625,1.89453125,0.2109375
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,256,140,0.546875,87,0.33984375,3.73828125,0.41796875
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,train,0.18,256,22,0.0859375,9,0.03515625,0.3828125,0.0390625
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,train,0.24,256,44,0.171875,31,0.12109375,0.90625,0.13671875
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,train,0.3,256,85,0.33203125,46,0.1796875,1.94921875,0.203125
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,train,0.36,256,152,0.59375,95,0.37109375,4.01953125,0.48046875
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,validation,0.18,256,17,0.06640625,15,0.05859375,0.19140625,0.05859375
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,validation,0.24,256,42,0.1640625,27,0.10546875,0.765625,0.10546875
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,validation,0.3,256,73,0.28515625,46,0.1796875,1.62109375,0.20703125
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,validation,0.36,256,137,0.53515625,88,0.34375,3.90625,0.48828125
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,test,0.18,256,16,0.0625,8,0.03125,0.25,0.03125
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,test,0.24,256,47,0.18359375,30,0.1171875,0.83203125,0.125
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,test,0.3,256,84,0.328125,49,0.19140625,2.08984375,0.2265625
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,test,0.36,256,132,0.515625,88,0.34375,3.51171875,0.44140625
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,test,0.18,256,10,0.0390625,0,0.0,0.1484375,0.0
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,test,0.24,256,39,0.15234375,7,0.02734375,0.8046875,0.03125
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,test,0.3,256,83,0.32421875,25,0.09765625,2.046875,0.109375
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,test,0.36,256,121,0.47265625,44,0.171875,3.44140625,0.23828125
