model,feature_count,selected_C,validation_code_grouped_log_loss,test_code_grouped_log_loss
B0,6,10.0,0.5173117303679243,0.5156515180002217
B1_simple,7,10.0,0.5173090884067355,0.5156465584432174
B1_degree,26,10.0,0.5155328868079867,0.5158353988587047
B1_degree_hazard,30,10.0,0.5126704449819027,0.5128134401813285
B1_SP_stop_scalar,27,10.0,0.5116937040751351,0.5121257665973473
B1_SP_stop_terms,30,10.0,0.5096636114866132,0.510771838593711
B1_degree_SP_stop_norm_scalar,27,10.0,0.5103166775446717,0.5127735731329822
B1_degree_SP_stop_norm_terms,30,10.0,0.5109944618094507,0.5125517028275622
B1_degree_SP_stop_orderwise_norm_terms,30,10.0,0.5109944618094507,0.5125517028275622
B1_degree_hazard_SP_stop_norm_scalar,31,10.0,0.508257566475517,0.5102381834186075
B1_degree_hazard_SP_stop_orderwise_norm_terms,34,10.0,0.5084243104412777,0.5100997311049749
B1_degree_rankdep,27,10.0,0.5097712150532877,0.5120536241012925
B1_degree_rankdep_SP_stop_norm_scalar,28,10.0,0.5088320858219291,0.5118307891232047
B1_degree_rankdep_SP_stop_orderwise_norm_terms,31,10.0,0.5093827758691261,0.5113647815872366
