split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,32,0.0599365234375,0.01953125,0.125
test,0.24,32,0.1483154296875,0.07421875,0.234375
test,0.3,32,0.3062744140625,0.16796875,0.421875
test,0.36,32,0.513671875,0.45703125,0.609375
train,0.18,96,0.0703125,0.01171875,0.1796875
train,0.24,96,0.1641845703125,0.05859375,0.328125
train,0.3,96,0.324951171875,0.1953125,0.51953125
train,0.36,96,0.5303548177083334,0.39453125,0.6796875
validation,0.18,32,0.056640625,0.0078125,0.1875
validation,0.24,32,0.15380859375,0.0703125,0.27734375
validation,0.3,32,0.3131103515625,0.2109375,0.4921875
validation,0.36,32,0.515380859375,0.390625,0.6328125
