code_id,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5
code_n24_k12_cw3_000,55430,exact_all,2,1,5,22,121
code_n24_k12_cw3_001,55430,exact_all,2,2,5,16,94
code_n24_k12_cw3_002,55430,exact_all,3,0,1,12,84
code_n24_k12_cw3_003,55430,exact_all,2,1,3,11,66
code_n24_k12_cw3_004,55430,exact_all,2,1,1,31,109
code_n24_k12_cw3_005,55430,exact_all,2,1,0,21,84
code_n24_k12_cw3_006,55430,exact_all,2,1,2,24,127
code_n24_k12_cw3_007,55430,exact_all,3,0,4,12,101
code_n24_k12_cw3_008,55430,exact_all,3,0,6,16,105
code_n24_k12_cw3_009,55430,exact_all,2,3,5,45,294
code_n24_k12_cw3_010,55430,exact_all,2,1,4,20,88
code_n24_k12_cw3_011,55430,exact_all,3,0,7,23,116
code_n24_k12_cw3_012,55430,exact_all,4,0,0,11,61
code_n24_k12_cw3_013,55430,exact_all,3,0,5,18,122
code_n24_k12_cw3_014,55430,exact_all,3,0,1,15,113
code_n24_k12_cw3_015,55430,exact_all,2,2,2,16,73
code_n24_k12_cw3_016,55430,exact_all,3,0,3,13,65
code_n24_k12_cw3_017,55430,exact_all,2,1,3,24,144
code_n24_k12_cw3_018,55430,exact_all,3,0,2,11,80
code_n24_k12_cw3_019,55430,exact_all,3,0,2,11,43
code_n24_k12_cw3_020,55430,exact_all,2,2,3,16,68
code_n24_k12_cw3_021,55430,exact_all,2,2,0,9,67
code_n24_k12_cw3_022,55430,exact_all,3,0,4,7,78
code_n24_k12_cw3_023,55430,exact_all,2,2,0,16,86
code_n24_k12_cw3_024,55430,exact_all,2,2,4,10,104
code_n24_k12_cw3_025,55430,exact_all,2,1,6,20,123
code_n24_k12_cw3_026,55430,exact_all,3,0,2,12,84
code_n24_k12_cw3_027,55430,exact_all,3,0,3,8,64
code_n24_k12_cw3_028,55430,exact_all,2,1,1,10,81
code_n24_k12_cw3_029,55430,exact_all,2,3,4,24,116
code_n24_k12_cw3_030,55430,exact_all,2,1,2,10,64
code_n24_k12_cw3_031,55430,exact_all,2,2,0,15,95
code_n24_k12_cw3_032,55430,exact_all,2,2,4,19,100
code_n24_k12_cw3_033,55430,exact_all,2,1,0,15,100
code_n24_k12_cw3_034,55430,exact_all,2,3,6,39,204
code_n24_k12_cw3_035,55430,exact_all,2,1,3,27,129
code_n24_k12_cw3_036,55430,exact_all,2,3,5,17,116
code_n24_k12_cw3_037,55430,exact_all,3,0,4,12,63
code_n24_k12_cw3_038,55430,exact_all,2,2,8,39,298
code_n24_k12_cw3_039,55430,exact_all,2,1,3,14,85
code_n24_k12_cw3_040,55430,exact_all,2,2,3,6,75
code_n24_k12_cw3_041,55430,exact_all,2,1,1,20,93
code_n24_k12_cw3_042,55430,exact_all,2,2,2,11,72
code_n24_k12_cw3_043,55430,exact_all,2,1,2,19,79
code_n24_k12_cw3_044,55430,exact_all,3,0,4,9,90
code_n24_k12_cw3_045,55430,exact_all,3,0,5,16,72
code_n24_k12_cw3_046,55430,exact_all,2,2,2,12,57
code_n24_k12_cw3_047,55430,exact_all,2,3,2,11,127
code_n24_k12_cw3_048,55430,exact_all,2,1,2,23,101
code_n24_k12_cw3_049,55430,exact_all,3,0,1,15,95
code_n24_k12_cw3_050,55430,exact_all,2,2,0,9,74
code_n24_k12_cw3_051,55430,exact_all,3,0,3,21,133
