code_id,split,n,k,r,rate,column_weight,seed,columns
code_n24_k12_cw3_000,train,24,12,12,0.5,3,1555158715,"[1042, 290, 1072, 2068, 74, 2306, 2624, 769, 265, 52, 517, 138, 193, 2088, 82, 1033, 641, 546, 1288, 518, 2592, 140, 42, 2308]"
code_n24_k12_cw3_001,train,24,12,12,0.5,3,1555158716,"[336, 2624, 140, 1089, 3136, 1154, 2308, 2066, 1060, 1064, 1156, 3080, 1057, 208, 11, 88, 274, 280, 208, 1537, 145, 152, 388, 21]"
code_n24_k12_cw3_002,train,24,12,12,0.5,3,1555158717,"[2368, 1168, 1408, 69, 648, 1153, 1568, 1792, 138, 1664, 1029, 2081, 73, 1089, 1027, 532, 1120, 74, 388, 35, 584, 1044, 536, 392]"
code_n24_k12_cw3_003,train,24,12,12,0.5,3,1555158718,"[2312, 193, 100, 1104, 164, 529, 1058, 2562, 280, 577, 176, 584, 162, 2088, 2116, 641, 577, 2308, 2057, 521, 2368, 2144, 800, 2305]"
code_n24_k12_cw3_004,test,24,12,12,0.5,3,1555158719,"[416, 1048, 2576, 2054, 2592, 2308, 1284, 14, 2144, 145, 704, 2208, 1089, 2051, 2306, 2312, 3088, 176, 3104, 69, 800, 196, 98, 641]"
code_n24_k12_cw3_005,validation,24,12,12,0.5,3,1555158720,"[296, 112, 2116, 1792, 176, 2568, 2082, 776, 2144, 1033, 84, 98, 3584, 1036, 641, 1060, 521, 321, 2192, 25, 578, 321, 546, 81]"
code_n24_k12_cw3_006,train,24,12,12,0.5,3,1555158721,"[224, 1027, 168, 2081, 386, 524, 146, 290, 1408, 1184, 14, 49, 1281, 145, 2305, 3104, 532, 769, 524, 2088, 2116, 259, 1344, 146]"
code_n24_k12_cw3_007,train,24,12,12,0.5,3,1555158722,"[2081, 644, 3076, 2054, 268, 2240, 98, 3136, 2120, 2053, 3200, 14, 74, 21, 100, 44, 35, 1282, 1296, 1089, 2114, 1096, 70, 2576]"
code_n32_k16_cw3_000,train,32,16,16,0.5,3,1931361683,"[608, 17664, 24704, 20482, 2088, 9728, 2128, 1042, 8226, 32900, 36896, 3073, 392, 146, 17440, 4113, 32780, 1156, 18944, 16393, 385, 2624, 1538, 6160, 1600, 296, 8328, 16704, 33025, 33028, 296, 4480]"
code_n32_k16_cw3_001,test,32,16,16,0.5,3,1931361684,"[8705, 28, 20608, 273, 18436, 4129, 2688, 1120, 1288, 16401, 4101, 266, 8322, 1168, 38912, 8225, 1034, 273, 32928, 274, 1104, 34048, 2053, 4161, 1060, 9344, 524, 33312, 536, 33026, 50176, 8228]"
code_n32_k16_cw3_002,train,32,16,16,0.5,3,1931361685,"[770, 33794, 2128, 35, 2120, 12304, 8197, 1156, 522, 18944, 896, 578, 644, 524, 2432, 49184, 32786, 289, 24640, 1344, 176, 265, 8768, 259, 7, 3074, 168, 33344, 16396, 1029, 6148, 4624]"
code_n32_k16_cw3_003,validation,32,16,16,0.5,3,1931361686,"[800, 8212, 140, 4168, 32898, 33282, 21504, 7, 536, 4228, 1036, 1540, 4120, 4136, 52, 16424, 4354, 290, 12800, 2082, 33408, 81, 24640, 6176, 36992, 38, 2624, 16396, 2081, 36928, 2113, 140]"
code_n32_k16_cw3_004,train,32,16,16,0.5,3,1931361687,"[2688, 12290, 34880, 5136, 84, 2192, 16516, 9220, 770, 268, 2120, 2240, 388, 52, 33028, 16387, 8464, 16417, 9472, 2592, 4129, 18944, 40992, 4624, 896, 8768, 193, 104, 8705, 73, 4106, 33796]"
code_n32_k16_cw3_005,train,32,16,16,0.5,3,1931361688,"[50, 12304, 4136, 11264, 1344, 8288, 38912, 16452, 36896, 32785, 33800, 43008, 35328, 4176, 25088, 16464, 8240, 32786, 52, 6176, 1153, 6146, 56, 1296, 290, 4129, 20544, 17472, 41984, 6145, 53248, 4864]"
code_n32_k16_cw3_006,train,32,16,16,0.5,3,1931361689,"[16528, 8232, 17416, 16520, 545, 321, 324, 9232, 266, 1041, 2065, 6152, 2562, 1154, 16456, 4105, 41216, 2096, 49184, 49154, 20992, 648, 6656, 8260, 84, 33856, 530, 1057, 12290, 1120, 176, 16417]"
code_n32_k16_cw3_007,train,32,16,16,0.5,3,1931361690,"[16464, 8450, 32898, 4609, 32833, 41216, 289, 8705, 14, 4168, 57344, 1060, 352, 67, 6208, 704, 1544, 20482, 1544, 641, 8464, 18433, 200, 16396, 8264, 8198, 40961, 41, 7, 416, 8288, 18440]"
