row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,check_degree_mean,check_degree_variance,check_degree_min,check_degree_max,variable_degree_mean,variable_degree_variance,variable_degree_min,variable_degree_max,check_degree_count_1,variable_degree_count_1,check_degree_count_2,variable_degree_count_2,check_degree_count_3,variable_degree_count_3,check_degree_count_4,variable_degree_count_4,check_degree_count_ge5,variable_degree_count_ge5,stopping_subset_tests,stopping_count_status,min_stopping_order,N_stop_2,N_stop_3,N_stop_4,N_stop_5,dependency_subset_tests,dependency_count_status,min_dependency_order,N_dep_2,N_dep_3,N_dep_4,q_power_2,q_power_3,q_power_4,q_power_5,N_stop_2_q2,N_stop_3_q3,N_stop_4_q4,N_stop_5_q5,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_stop_5,log1p_H_stop_5,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,2.3333333333333335,4.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,3,0,9,0,55430,exact_all,3,0,1,11,53,12926,exact,4,0,0,9,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.0058319999999999995,0.011547359999999998,0.010014710399999998,0.0,0.0,0.009447839999999999,0.027394070399999994,0.027025567572432706,0.009447839999999999,0.009403488292718807
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,2.3333333333333335,4.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,3,0,9,0,55430,exact_all,3,0,1,11,53,12926,exact,4,0,0,9,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.013823999999999998,0.03649535999999999,0.04220190719999999,0.0,0.0,0.029859839999999995,0.09252126719999998,0.08848811434275985,0.029859839999999995,0.029422715312235354
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,2.3333333333333335,4.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,3,0,9,0,55430,exact_all,3,0,1,11,53,12926,exact,4,0,0,9,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.0,0.026999999999999996,0.0891,0.12878999999999996,0.0,0.0,0.07289999999999999,0.24488999999999994,0.2190471725996235,0.07289999999999999,0.07036526266056348
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.3333333333333335,4.0,9.0,3.0,0.0,3.0,3.0,0,0,0,0,0,24,3,0,9,0,55430,exact_all,3,0,1,11,53,12926,exact,4,0,0,9,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.0,0.046655999999999996,0.18475775999999997,0.32047073279999994,0.0,0.0,0.15116543999999998,0.5518844928,0.4394699942491004,0.15116543999999998,0.14077485529257536
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.166666666666667,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,1,3,17,90,12926,exact,2,1,22,243,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0324,0.017495999999999998,0.017845919999999998,0.017006111999999997,0.0324,0.128304,0.25509168,0.084748032,0.08134773145176417,0.41579568,0.3476916910748675
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.166666666666667,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,1,3,17,90,12926,exact,2,1,22,243,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0576,0.041471999999999995,0.056401919999999994,0.07166361599999999,0.0576,0.30412799999999995,0.8062156799999999,0.22713753599999997,0.2046842507265599,1.1679436799999998,0.7737791053801907
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.166666666666667,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,1,3,17,90,12926,exact,2,1,22,243,0.09,0.026999999999999996,0.0081,0.0024299999999999994,0.09,0.08099999999999999,0.1377,0.21869999999999995,0.09,0.5939999999999999,1.9683,0.5273999999999999,0.42356694347214663,2.6523,1.2953571061277547
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.166666666666667,2.0,10.0,3.0,0.0,3.0,3.0,0,0,1,0,1,24,1,0,9,0,55430,exact_all,2,1,3,17,90,12926,exact,2,1,22,243,0.1296,0.046655999999999996,0.016796159999999997,0.006046617599999999,0.1296,0.13996799999999998,0.28553471999999996,0.5441955839999999,0.1296,1.026432,4.08146688,1.099298304,0.7416031479394696,5.2374988799999995,1.8305792815185027
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,3,0,2,22,109,12926,exact,4,0,0,14,0.0324,0.0058319999999999995,0.0010497599999999998,0.00018895679999999997,0.0,0.011663999999999999,0.023094719999999996,0.0205962912,0.0,0.0,0.014696639999999997,0.05535501119999999,0.05387721383053174,0.014696639999999997,0.014589690973873798
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.5,2.0,11.0,3.0,0.0,3.0,3.0,0,0,1,0,0,24,3,0,8,0,55430,exact_all,3,0,2,22,109,12926,exact,4,0,0,14,0.0576,0.013823999999999998,0.0033177599999999995,0.0007962623999999999,0.0,0.027647999999999995,0.07299071999999998,0.08679260159999999,0.0,0.0,0.04644863999999999,0.18743132159999998,0.1717924208120781,0.04644863999999999,0.04540218382091578
