row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0.18,64,1,0.015625,0,0.0,0.078125,0.0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0.24,64,7,0.109375,1,0.015625,0.71875,0.03125
code_n24_k12_cw3_000_q02,code_n24_k12_cw3_000,q02,train,0.3,64,11,0.171875,4,0.0625,1.171875,0.0625
code_n24_k12_cw3_000_q03,code_n24_k12_cw3_000,q03,train,0.36,64,24,0.375,15,0.234375,3.328125,0.3125
code_n24_k12_cw3_001_q00,code_n24_k12_cw3_001,q00,train,0.18,64,7,0.109375,4,0.0625,0.4375,0.0625
code_n24_k12_cw3_001_q01,code_n24_k12_cw3_001,q01,train,0.24,64,10,0.15625,7,0.109375,0.890625,0.109375
code_n24_k12_cw3_001_q02,code_n24_k12_cw3_001,q02,train,0.3,64,25,0.390625,13,0.203125,2.21875,0.234375
code_n24_k12_cw3_001_q03,code_n24_k12_cw3_001,q03,train,0.36,64,36,0.5625,23,0.359375,4.109375,0.53125
code_n24_k12_cw3_002_q00,code_n24_k12_cw3_002,q00,train,0.18,64,1,0.015625,0,0.0,0.0625,0.0
code_n24_k12_cw3_002_q01,code_n24_k12_cw3_002,q01,train,0.24,64,11,0.171875,1,0.015625,1.0625,0.015625
code_n24_k12_cw3_002_q02,code_n24_k12_cw3_002,q02,train,0.3,64,14,0.21875,7,0.109375,1.28125,0.125
code_n24_k12_cw3_002_q03,code_n24_k12_cw3_002,q03,train,0.36,64,33,0.515625,16,0.25,3.8125,0.3125
code_n24_k12_cw3_003_q00,code_n24_k12_cw3_003,q00,train,0.18,64,9,0.140625,5,0.078125,0.640625,0.078125
code_n24_k12_cw3_003_q01,code_n24_k12_cw3_003,q01,train,0.24,64,15,0.234375,3,0.046875,1.03125,0.046875
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,64,23,0.359375,14,0.21875,1.9375,0.234375
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,64,27,0.421875,14,0.21875,2.90625,0.296875
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,test,0.18,64,2,0.03125,0,0.0,0.125,0.0
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,test,0.24,64,11,0.171875,1,0.015625,0.96875,0.015625
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,test,0.3,64,18,0.28125,8,0.125,1.921875,0.125
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,test,0.36,64,33,0.515625,15,0.234375,4.0625,0.328125
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,validation,0.18,64,5,0.078125,4,0.0625,0.375,0.078125
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,validation,0.24,64,9,0.140625,4,0.0625,0.671875,0.078125
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,validation,0.3,64,15,0.234375,9,0.140625,1.40625,0.140625
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,validation,0.36,64,30,0.46875,14,0.21875,3.859375,0.296875
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,train,0.18,64,11,0.171875,7,0.109375,0.578125,0.109375
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,train,0.24,64,13,0.203125,9,0.140625,0.703125,0.140625
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,train,0.3,64,28,0.4375,19,0.296875,2.25,0.328125
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,train,0.36,64,36,0.5625,23,0.359375,4.015625,0.46875
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,64,5,0.078125,2,0.03125,0.390625,0.03125
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,64,15,0.234375,4,0.0625,1.328125,0.0625
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,train,0.3,64,25,0.390625,6,0.09375,2.140625,0.109375
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,train,0.36,64,32,0.5,16,0.25,3.25,0.359375
code_n32_k16_cw3_000_q00,code_n32_k16_cw3_000,q00,train,0.18,64,4,0.0625,2,0.03125,0.265625,0.03125
code_n32_k16_cw3_000_q01,code_n32_k16_cw3_000,q01,train,0.24,64,9,0.140625,5,0.078125,0.890625,0.078125
code_n32_k16_cw3_000_q02,code_n32_k16_cw3_000,q02,train,0.3,64,20,0.3125,11,0.171875,2.640625,0.171875
code_n32_k16_cw3_000_q03,code_n32_k16_cw3_000,q03,train,0.36,64,34,0.53125,20,0.3125,5.3125,0.40625
code_n32_k16_cw3_001_q00,code_n32_k16_cw3_001,q00,test,0.18,64,3,0.046875,0,0.0,0.21875,0.0
code_n32_k16_cw3_001_q01,code_n32_k16_cw3_001,q01,test,0.24,64,12,0.1875,9,0.140625,0.828125,0.140625
code_n32_k16_cw3_001_q02,code_n32_k16_cw3_001,q02,test,0.3,64,19,0.296875,13,0.203125,2.734375,0.203125
code_n32_k16_cw3_001_q03,code_n32_k16_cw3_001,q03,test,0.36,64,38,0.59375,28,0.4375,4.765625,0.515625
