split,q,code_count,code_balanced_prevalence,min_code_prevalence,max_code_prevalence
test,0.18,2,0.0390625,0.03125,0.046875
test,0.24,2,0.1796875,0.171875,0.1875
test,0.3,2,0.2890625,0.28125,0.296875
test,0.36,2,0.5546875,0.515625,0.59375
train,0.18,12,0.07161458333333333,0.0,0.171875
train,0.24,12,0.15234375,0.0625,0.234375
train,0.3,12,0.3111979166666667,0.171875,0.4375
train,0.36,12,0.484375,0.375,0.5625
validation,0.18,2,0.046875,0.015625,0.078125
validation,0.24,2,0.140625,0.140625,0.140625
validation,0.3,2,0.359375,0.234375,0.484375
validation,0.36,2,0.5078125,0.46875,0.546875
