graph_id,split,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status
g_n16_m24_k2_000,train,2,3,5,9,12926,exact
g_n16_m24_k2_001,train,2,1,2,10,12926,exact
g_n16_m24_k2_002,train,2,3,2,7,12926,exact
g_n16_m24_k2_003,test,2,4,4,11,12926,exact
g_n16_m24_k2_004,train,2,2,5,11,12926,exact
g_n16_m24_k2_005,test,2,2,2,15,12926,exact
g_n16_m24_k2_006,train,2,3,8,15,12926,exact
g_n16_m24_k2_007,validation,2,3,6,15,12926,exact
g_n16_m24_k2_008,validation,2,2,12,9,12926,exact
g_n16_m24_k2_009,train,2,1,2,4,12926,exact
g_n16_m24_k2_010,train,2,4,5,7,12926,exact
g_n16_m24_k2_011,train,2,1,1,11,12926,exact
g_n16_m24_k2_012,train,2,1,3,8,12926,exact
g_n16_m24_k2_013,test,2,2,6,13,12926,exact
g_n16_m24_k2_014,train,2,3,8,11,12926,exact
g_n16_m24_k2_015,train,2,2,9,17,12926,exact
g_n16_m24_k2_016,validation,2,1,3,12,12926,exact
g_n16_m24_k2_017,validation,2,1,7,9,12926,exact
g_n16_m24_k2_018,test,2,1,3,6,12926,exact
g_n16_m24_k2_019,train,2,3,2,11,12926,exact
g_n16_m24_k2_020,test,2,2,3,9,12926,exact
g_n16_m24_k2_021,test,2,1,7,17,12926,exact
g_n16_m24_k2_022,train,2,2,8,11,12926,exact
g_n16_m24_k2_023,train,2,3,5,23,12926,exact
g_n16_m24_k2_024,train,2,3,4,7,12926,exact
g_n16_m24_k2_025,train,2,3,4,20,12926,exact
g_n16_m24_k2_026,test,2,1,4,11,12926,exact
g_n16_m24_k2_027,train,2,2,3,9,12926,exact
g_n16_m24_k2_028,train,2,1,5,16,12926,exact
g_n16_m24_k2_029,train,2,1,8,20,12926,exact
g_n16_m24_k2_030,train,2,1,4,11,12926,exact
g_n16_m24_k2_031,train,2,1,4,11,12926,exact
g_n16_m24_k2_032,test,2,1,7,12,12926,exact
g_n16_m24_k2_033,validation,2,1,1,8,12926,exact
g_n16_m24_k2_034,train,2,1,7,17,12926,exact
g_n16_m24_k2_035,validation,2,1,8,10,12926,exact
g_n16_m24_k2_036,train,2,3,5,13,12926,exact
g_n16_m24_k2_037,validation,2,4,5,4,12926,exact
g_n16_m24_k2_038,validation,2,3,3,16,12926,exact
g_n16_m24_k2_039,train,2,6,3,12,12926,exact
g_n20_m30_k2_000,test,2,1,1,10,31900,exact
g_n20_m30_k2_001,train,2,2,5,10,31900,exact
g_n20_m30_k2_002,validation,2,2,1,11,31900,exact
g_n20_m30_k2_003,train,2,3,9,18,31900,exact
g_n20_m30_k2_004,train,2,2,6,10,31900,exact
g_n20_m30_k2_005,test,2,1,9,13,31900,exact
g_n20_m30_k2_006,test,2,1,6,19,31900,exact
g_n20_m30_k2_007,validation,2,2,8,22,31900,exact
g_n20_m30_k2_008,train,2,1,4,7,31900,exact
g_n20_m30_k2_009,train,2,3,8,23,31900,exact
g_n20_m30_k2_010,validation,2,1,5,12,31900,exact
g_n20_m30_k2_011,test,2,2,6,18,31900,exact
g_n20_m30_k2_012,train,2,2,8,23,31900,exact
g_n20_m30_k2_013,train,2,4,11,14,31900,exact
g_n20_m30_k2_014,train,2,2,2,13,31900,exact
g_n20_m30_k2_015,train,2,3,8,8,31900,exact
g_n20_m30_k2_016,train,2,3,9,10,31900,exact
g_n20_m30_k2_017,train,2,2,2,17,31900,exact
g_n20_m30_k2_018,test,2,1,6,9,31900,exact
g_n20_m30_k2_019,train,2,1,4,10,31900,exact
g_n20_m30_k2_020,train,2,3,8,31,31900,exact
g_n20_m30_k2_021,test,2,3,11,25,31900,exact
g_n20_m30_k2_022,test,2,4,6,3,31900,exact
g_n20_m30_k2_023,validation,2,6,8,14,31900,exact
g_n20_m30_k2_024,train,2,3,9,12,31900,exact
g_n20_m30_k2_025,validation,2,1,7,14,31900,exact
g_n20_m30_k2_026,train,2,1,8,17,31900,exact
g_n20_m30_k2_027,train,2,1,13,16,31900,exact
g_n20_m30_k2_028,train,2,5,3,19,31900,exact
g_n20_m30_k2_029,validation,2,3,9,12,31900,exact
g_n20_m30_k2_030,validation,2,2,5,19,31900,exact
g_n20_m30_k2_031,train,2,3,4,20,31900,exact
g_n20_m30_k2_032,train,2,1,4,26,31900,exact
g_n20_m30_k2_033,train,2,3,8,22,31900,exact
g_n20_m30_k2_034,train,2,3,9,9,31900,exact
g_n20_m30_k2_035,test,2,1,8,24,31900,exact
g_n20_m30_k2_036,validation,2,3,1,27,31900,exact
g_n20_m30_k2_037,train,2,1,7,21,31900,exact
g_n20_m30_k2_038,train,2,3,6,10,31900,exact
g_n20_m30_k2_039,train,2,1,6,19,31900,exact
