graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n16_m24_k2_000,train,16,24,2,1.5,0,8,2015466741,"[[0, 1], [0, 5], [1, 2], [1, 6], [2, 4], [2, 5], [2, 7], [3, 4], [3, 6], [4, 6], [4, 14], [6, 7], [7, 8], [8, 9], [8, 10], [8, 11], [9, 10], [9, 14], [10, 13], [10, 14], [11, 15], [12, 13], [12, 15], [13, 15]]"
g_n16_m24_k2_001,train,16,24,2,1.5,0,8,2015466742,"[[0, 1], [0, 5], [0, 7], [1, 2], [1, 3], [1, 4], [1, 6], [1, 13], [2, 7], [3, 5], [4, 7], [5, 6], [5, 8], [8, 11], [8, 12], [8, 13], [8, 14], [8, 15], [9, 11], [9, 14], [10, 12], [10, 15], [11, 12], [13, 14]]"
g_n16_m24_k2_002,train,16,24,2,1.5,0,8,2015466743,"[[0, 4], [0, 7], [1, 2], [1, 3], [2, 3], [2, 6], [2, 7], [2, 8], [4, 6], [5, 6], [5, 7], [6, 7], [6, 11], [8, 10], [8, 11], [8, 13], [9, 10], [9, 12], [9, 15], [11, 15], [12, 14], [12, 15], [13, 14], [13, 15]]"
g_n16_m24_k2_003,test,16,24,2,1.5,0,8,2015466744,"[[0, 6], [0, 7], [1, 2], [1, 4], [1, 5], [1, 6], [2, 3], [2, 5], [2, 14], [3, 4], [3, 7], [4, 5], [6, 9], [8, 9], [8, 11], [9, 11], [9, 15], [10, 11], [10, 14], [11, 13], [11, 14], [12, 13], [12, 14], [13, 15]]"
g_n16_m24_k2_004,train,16,24,2,1.5,0,8,2015466745,"[[0, 3], [0, 5], [1, 3], [1, 4], [1, 6], [2, 3], [2, 5], [3, 7], [3, 9], [4, 7], [5, 6], [5, 7], [5, 11], [8, 13], [8, 14], [8, 15], [9, 11], [9, 12], [10, 11], [10, 14], [11, 14], [11, 15], [12, 13], [13, 15]]"
g_n16_m24_k2_005,test,16,24,2,1.5,0,8,2015466746,"[[0, 1], [0, 3], [0, 5], [0, 6], [1, 4], [1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [3, 11], [4, 7], [5, 13], [8, 9], [8, 13], [9, 12], [9, 13], [9, 14], [10, 11], [10, 14], [11, 12], [11, 15], [13, 14], [13, 15]]"
g_n16_m24_k2_006,train,16,24,2,1.5,0,8,2015466747,"[[0, 2], [0, 3], [1, 5], [1, 7], [1, 13], [2, 6], [2, 7], [2, 14], [3, 4], [4, 6], [4, 7], [5, 6], [6, 7], [8, 9], [8, 13], [8, 15], [9, 12], [9, 13], [10, 11], [10, 14], [11, 15], [12, 13], [12, 15], [14, 15]]"
g_n16_m24_k2_007,validation,16,24,2,1.5,0,8,2015466748,"[[0, 6], [0, 7], [1, 3], [1, 7], [1, 13], [2, 4], [2, 6], [3, 5], [3, 6], [4, 6], [5, 7], [6, 7], [6, 12], [8, 11], [8, 15], [9, 11], [9, 12], [10, 11], [10, 13], [10, 14], [11, 14], [11, 15], [12, 13], [13, 15]]"
g_n16_m24_k2_008,validation,16,24,2,1.5,0,8,2015466749,"[[0, 5], [0, 6], [0, 7], [1, 4], [1, 7], [2, 4], [2, 7], [2, 14], [3, 5], [3, 6], [3, 7], [4, 5], [7, 11], [8, 9], [8, 12], [9, 12], [9, 15], [10, 12], [10, 14], [11, 12], [11, 13], [11, 14], [12, 13], [12, 15]]"
g_n16_m24_k2_009,train,16,24,2,1.5,0,8,2015466750,"[[0, 1], [0, 6], [0, 15], [1, 2], [1, 7], [2, 3], [2, 5], [2, 7], [3, 6], [4, 6], [4, 7], [5, 6], [6, 8], [8, 11], [8, 15], [9, 10], [9, 11], [9, 12], [10, 11], [10, 14], [10, 15], [12, 13], [13, 14], [13, 15]]"
g_n16_m24_k2_010,train,16,24,2,1.5,0,8,2015466751,"[[0, 3], [0, 5], [0, 7], [0, 10], [1, 2], [1, 3], [1, 4], [1, 6], [2, 6], [2, 7], [4, 5], [4, 6], [7, 9], [8, 12], [8, 15], [9, 11], [9, 13], [10, 11], [10, 12], [10, 14], [11, 13], [11, 14], [12, 14], [12, 15]]"
g_n16_m24_k2_011,train,16,24,2,1.5,0,8,2015466752,"[[0, 4], [0, 6], [0, 7], [0, 10], [1, 2], [1, 3], [1, 6], [2, 5], [3, 6], [3, 12], [4, 6], [5, 7], [6, 7], [8, 10], [8, 11], [8, 12], [8, 15], [9, 14], [9, 15], [10, 11], [10, 12], [10, 13], [11, 12], [13, 14]]"
