row_id,graph_id,q_id,split,q,K,z,disconnect_fraction
g_n16_m24_k2_000_q00,g_n16_m24_k2_000,q00,train,0.2,256,34,0.1328125
g_n16_m24_k2_000_q01,g_n16_m24_k2_000,q01,train,0.3,256,93,0.36328125
g_n16_m24_k2_000_q02,g_n16_m24_k2_000,q02,train,0.4,256,141,0.55078125
g_n16_m24_k2_000_q03,g_n16_m24_k2_000,q03,train,0.5,256,198,0.7734375
g_n16_m24_k2_001_q00,g_n16_m24_k2_001,q00,train,0.2,256,21,0.08203125
g_n16_m24_k2_001_q01,g_n16_m24_k2_001,q01,train,0.3,256,48,0.1875
g_n16_m24_k2_001_q02,g_n16_m24_k2_001,q02,train,0.4,256,83,0.32421875
g_n16_m24_k2_001_q03,g_n16_m24_k2_001,q03,train,0.5,256,152,0.59375
g_n16_m24_k2_002_q00,g_n16_m24_k2_002,q00,train,0.2,256,32,0.125
g_n16_m24_k2_002_q01,g_n16_m24_k2_002,q01,train,0.3,256,71,0.27734375
g_n16_m24_k2_002_q02,g_n16_m24_k2_002,q02,train,0.4,256,128,0.5
g_n16_m24_k2_002_q03,g_n16_m24_k2_002,q03,train,0.5,256,164,0.640625
g_n16_m24_k2_003_q00,g_n16_m24_k2_003,q00,test,0.2,256,32,0.125
g_n16_m24_k2_003_q01,g_n16_m24_k2_003,q01,test,0.3,256,93,0.36328125
g_n16_m24_k2_003_q02,g_n16_m24_k2_003,q02,test,0.4,256,165,0.64453125
g_n16_m24_k2_003_q03,g_n16_m24_k2_003,q03,test,0.5,256,207,0.80859375
g_n16_m24_k2_004_q00,g_n16_m24_k2_004,q00,train,0.2,256,25,0.09765625
g_n16_m24_k2_004_q01,g_n16_m24_k2_004,q01,train,0.3,256,67,0.26171875
g_n16_m24_k2_004_q02,g_n16_m24_k2_004,q02,train,0.4,256,139,0.54296875
g_n16_m24_k2_004_q03,g_n16_m24_k2_004,q03,train,0.5,256,189,0.73828125
g_n16_m24_k2_005_q00,g_n16_m24_k2_005,q00,test,0.2,256,25,0.09765625
g_n16_m24_k2_005_q01,g_n16_m24_k2_005,q01,test,0.3,256,83,0.32421875
g_n16_m24_k2_005_q02,g_n16_m24_k2_005,q02,test,0.4,256,130,0.5078125
g_n16_m24_k2_005_q03,g_n16_m24_k2_005,q03,test,0.5,256,170,0.6640625
g_n16_m24_k2_006_q00,g_n16_m24_k2_006,q00,train,0.2,256,45,0.17578125
g_n16_m24_k2_006_q01,g_n16_m24_k2_006,q01,train,0.3,256,94,0.3671875
g_n16_m24_k2_006_q02,g_n16_m24_k2_006,q02,train,0.4,256,162,0.6328125
g_n16_m24_k2_006_q03,g_n16_m24_k2_006,q03,train,0.5,256,215,0.83984375
g_n16_m24_k2_007_q00,g_n16_m24_k2_007,q00,validation,0.2,256,49,0.19140625
g_n16_m24_k2_007_q01,g_n16_m24_k2_007,q01,validation,0.3,256,88,0.34375
g_n16_m24_k2_007_q02,g_n16_m24_k2_007,q02,validation,0.4,256,154,0.6015625
g_n16_m24_k2_007_q03,g_n16_m24_k2_007,q03,validation,0.5,256,212,0.828125
g_n16_m24_k2_008_q00,g_n16_m24_k2_008,q00,validation,0.2,256,27,0.10546875
g_n16_m24_k2_008_q01,g_n16_m24_k2_008,q01,validation,0.3,256,99,0.38671875
g_n16_m24_k2_008_q02,g_n16_m24_k2_008,q02,validation,0.4,256,160,0.625
g_n16_m24_k2_008_q03,g_n16_m24_k2_008,q03,validation,0.5,256,206,0.8046875
