split,q,graph_count,graph_balanced_prevalence,min_graph_prevalence,max_graph_prevalence
test,0.2,16,0.107177734375,0.046875,0.171875
test,0.3,16,0.292236328125,0.16015625,0.48828125
test,0.4,16,0.51904296875,0.31640625,0.71484375
test,0.5,16,0.719970703125,0.52734375,0.890625
train,0.2,48,0.12923177083333334,0.04296875,0.24609375
train,0.3,48,0.328125,0.171875,0.51953125
train,0.4,48,0.554443359375,0.30859375,0.75
train,0.5,48,0.7478841145833334,0.4765625,0.8984375
validation,0.2,16,0.127197265625,0.078125,0.2109375
validation,0.3,16,0.31591796875,0.1796875,0.5234375
validation,0.4,16,0.54296875,0.3359375,0.7734375
validation,0.5,16,0.746337890625,0.52734375,0.9140625
