graph_id,split,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status
g_n16_m32_k3_000,test,3,2,1,13,242296,exact
g_n16_m32_k3_001,train,3,2,1,9,242296,exact
g_n16_m32_k3_002,train,3,2,1,6,242296,exact
g_n16_m32_k3_003,train,3,1,1,2,242296,exact
g_n16_m32_k3_004,validation,3,1,0,6,242296,exact
g_n16_m32_k3_005,train,3,1,1,5,242296,exact
g_n16_m32_k3_006,train,3,3,2,2,242296,exact
g_n16_m32_k3_007,train,3,3,1,8,242296,exact
g_n16_m32_k3_008,test,3,1,2,5,242296,exact
g_n16_m32_k3_009,validation,3,2,2,5,242296,exact
g_n16_m32_k3_010,train,3,1,1,4,242296,exact
g_n16_m32_k3_011,train,3,1,1,4,242296,exact
g_n16_m32_k3_012,train,3,2,1,4,242296,exact
g_n16_m32_k3_013,train,3,1,0,4,242296,exact
g_n16_m32_k3_014,validation,3,1,2,4,242296,exact
g_n16_m32_k3_015,train,3,2,1,5,242296,exact
g_n16_m32_k3_016,validation,3,3,2,6,242296,exact
g_n16_m32_k3_017,train,3,1,0,4,242296,exact
g_n16_m32_k3_018,train,3,1,2,4,242296,exact
g_n16_m32_k3_019,validation,3,1,1,4,242296,exact
g_n16_m32_k3_020,train,3,1,0,6,242296,exact
g_n16_m32_k3_021,train,3,1,1,3,242296,exact
g_n16_m32_k3_022,train,3,2,1,3,242296,exact
g_n16_m32_k3_023,test,3,3,0,6,242296,exact
g_n16_m32_k3_024,train,3,2,1,5,242296,exact
g_n16_m32_k3_025,test,3,2,2,6,242296,exact
g_n16_m32_k3_026,test,3,1,1,4,242296,exact
g_n16_m32_k3_027,test,3,2,1,9,242296,exact
g_n16_m32_k3_028,train,3,3,0,7,242296,exact
g_n16_m32_k3_029,test,3,1,3,8,242296,exact
g_n16_m32_k3_030,validation,3,2,1,3,242296,exact
g_n16_m32_k3_031,train,3,1,2,6,242296,exact
g_n16_m32_k3_032,validation,3,1,1,5,242296,exact
g_n16_m32_k3_033,train,3,2,0,10,242296,exact
g_n16_m32_k3_034,train,3,1,1,7,242296,exact
g_n16_m32_k3_035,train,3,1,1,5,242296,exact
g_n16_m32_k3_036,test,3,1,2,3,242296,exact
g_n16_m32_k3_037,validation,3,1,1,3,242296,exact
g_n16_m32_k3_038,train,3,1,0,3,242296,exact
g_n16_m32_k3_039,train,3,2,1,3,242296,exact
g_n20_m40_k3_000,train,3,1,2,3,759278,exact
g_n20_m40_k3_001,validation,3,2,2,6,759278,exact
g_n20_m40_k3_002,train,3,2,2,1,759278,exact
g_n20_m40_k3_003,validation,3,2,1,5,759278,exact
g_n20_m40_k3_004,train,3,2,1,4,759278,exact
g_n20_m40_k3_005,test,3,2,2,9,759278,exact
g_n20_m40_k3_006,test,3,1,2,7,759278,exact
g_n20_m40_k3_007,train,3,3,2,4,759278,exact
g_n20_m40_k3_008,train,3,2,2,5,759278,exact
g_n20_m40_k3_009,validation,3,2,1,10,759278,exact
g_n20_m40_k3_010,validation,3,2,1,8,759278,exact
g_n20_m40_k3_011,validation,3,2,1,3,759278,exact
g_n20_m40_k3_012,train,3,1,1,4,759278,exact
g_n20_m40_k3_013,validation,3,2,1,6,759278,exact
g_n20_m40_k3_014,train,3,1,0,6,759278,exact
g_n20_m40_k3_015,train,3,1,2,7,759278,exact
g_n20_m40_k3_016,test,3,2,1,4,759278,exact
g_n20_m40_k3_017,validation,3,1,0,4,759278,exact
g_n20_m40_k3_018,train,3,2,1,3,759278,exact
g_n20_m40_k3_019,train,3,1,0,8,759278,exact
g_n20_m40_k3_020,train,3,1,0,4,759278,exact
g_n20_m40_k3_021,train,3,2,3,8,759278,exact
g_n20_m40_k3_022,train,3,2,2,6,759278,exact
g_n20_m40_k3_023,train,3,1,1,8,759278,exact
g_n20_m40_k3_024,train,3,2,1,4,759278,exact
g_n20_m40_k3_025,train,3,1,1,5,759278,exact
g_n20_m40_k3_026,test,3,2,1,4,759278,exact
g_n20_m40_k3_027,train,3,1,0,2,759278,exact
g_n20_m40_k3_028,test,3,1,1,4,759278,exact
g_n20_m40_k3_029,test,3,1,2,2,759278,exact
g_n20_m40_k3_030,validation,3,2,1,5,759278,exact
g_n20_m40_k3_031,test,3,1,2,5,759278,exact
g_n20_m40_k3_032,train,3,2,2,5,759278,exact
g_n20_m40_k3_033,train,3,1,2,3,759278,exact
g_n20_m40_k3_034,train,3,2,2,6,759278,exact
g_n20_m40_k3_035,train,3,2,1,6,759278,exact
g_n20_m40_k3_036,test,3,2,0,3,759278,exact
g_n20_m40_k3_037,train,3,3,2,4,759278,exact
g_n20_m40_k3_038,train,3,2,1,5,759278,exact
g_n20_m40_k3_039,train,3,2,1,5,759278,exact
