row_id,graph_id,q_id,split,q,n,m,edge_density,mean_degree,degree_variance,degree_s,degree_t,shortest_st_path_length,bridge_count,st_bridge_count,algebraic_connectivity,laplacian_spectral_radius,effective_resistance_st,betweenness_mean,betweenness_max,betweenness_std,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status,q_power_kappa,q_power_kappa_plus_1,q_power_kappa_plus_2,N_kappa_q_kappa,N_kappa_plus_1_q,N_kappa_plus_2_q,H_cut_2,log1p_H_cut_2
g_n16_m32_k3_000_q00,g_n16_m32_k3_000,q00,test,0.2,16,32,0.26666666666666666,4.0,0.375,4,3,4,0,0,0.4844968036996023,7.129162268762406,1.1927720960182266,0.08630952380952381,0.21095238095238095,0.06813381127125644,3,2,1,13,242296,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.004160000000000001,0.021760000000000005,0.02152663054428015
g_n16_m32_k3_000_q01,g_n16_m32_k3_000,q01,test,0.3,16,32,0.26666666666666666,4.0,0.375,4,3,4,0,0,0.4844968036996023,7.129162268762406,1.1927720960182266,0.08630952380952381,0.21095238095238095,0.06813381127125644,3,2,1,13,242296,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.03158999999999999,0.09368999999999998,0.08955730004212188
g_n16_m32_k3_000_q02,g_n16_m32_k3_000,q02,test,0.4,16,32,0.26666666666666666,4.0,0.375,4,3,4,0,0,0.4844968036996023,7.129162268762406,1.1927720960182266,0.08630952380952381,0.21095238095238095,0.06813381127125644,3,2,1,13,242296,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.13312000000000004,0.2867200000000001,0.2520963447267722
g_n16_m32_k3_000_q03,g_n16_m32_k3_000,q03,test,0.5,16,32,0.26666666666666666,4.0,0.375,4,3,4,0,0,0.4844968036996023,7.129162268762406,1.1927720960182266,0.08630952380952381,0.21095238095238095,0.06813381127125644,3,2,1,13,242296,exact,0.125,0.0625,0.03125,0.25,0.0625,0.40625,0.71875,0.5415972824327444
g_n16_m32_k3_001_q00,g_n16_m32_k3_001,q00,train,0.2,16,32,0.26666666666666666,4.0,0.5,3,5,4,0,0,0.49383845245895214,7.704390277238814,1.1504502309888651,0.08511904761904762,0.22133786848072567,0.06726569612809416,3,2,1,9,242296,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0028800000000000006,0.020480000000000005,0.02027310483955575
g_n16_m32_k3_001_q01,g_n16_m32_k3_001,q01,train,0.3,16,32,0.26666666666666666,4.0,0.5,3,5,4,0,0,0.49383845245895214,7.704390277238814,1.1504502309888651,0.08511904761904762,0.22133786848072567,0.06726569612809416,3,2,1,9,242296,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.021869999999999994,0.08396999999999999,0.08063022735773415
g_n16_m32_k3_001_q02,g_n16_m32_k3_001,q02,train,0.4,16,32,0.26666666666666666,4.0,0.5,3,5,4,0,0,0.49383845245895214,7.704390277238814,1.1504502309888651,0.08511904761904762,0.22133786848072567,0.06726569612809416,3,2,1,9,242296,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.09216000000000002,0.24576000000000006,0.2197457854399539
g_n16_m32_k3_001_q03,g_n16_m32_k3_001,q03,train,0.5,16,32,0.26666666666666666,4.0,0.5,3,5,4,0,0,0.49383845245895214,7.704390277238814,1.1504502309888651,0.08511904761904762,0.22133786848072567,0.06726569612809416,3,2,1,9,242296,exact,0.125,0.0625,0.03125,0.25,0.0625,0.28125,0.59375,0.46608972992459924
g_n16_m32_k3_002_q00,g_n16_m32_k3_002,q00,train,0.2,16,32,0.26666666666666666,4.0,0.875,3,5,3,0,0,0.5150109241892914,7.698443928675709,0.9300050070113884,0.08273809523809525,0.21269841269841275,0.06978911066381459,3,2,1,6,242296,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.016000000000000004,0.0016000000000000003,0.0019200000000000005,0.019520000000000006,0.019331928299491968
g_n16_m32_k3_002_q01,g_n16_m32_k3_002,q01,train,0.3,16,32,0.26666666666666666,4.0,0.875,3,5,3,0,0,0.5150109241892914,7.698443928675709,0.9300050070113884,0.08273809523809525,0.21269841269841275,0.06978911066381459,3,2,1,6,242296,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.05399999999999999,0.0081,0.014579999999999996,0.07667999999999998,0.07388223239070439
g_n16_m32_k3_002_q02,g_n16_m32_k3_002,q02,train,0.4,16,32,0.26666666666666666,4.0,0.875,3,5,3,0,0,0.5150109241892914,7.698443928675709,0.9300050070113884,0.08273809523809525,0.21269841269841275,0.06978911066381459,3,2,1,6,242296,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.12800000000000003,0.025600000000000005,0.061440000000000015,0.21504000000000006,0.1947769980613005
g_n16_m32_k3_002_q03,g_n16_m32_k3_002,q03,train,0.5,16,32,0.26666666666666666,4.0,0.875,3,5,3,0,0,0.5150109241892914,7.698443928675709,0.9300050070113884,0.08273809523809525,0.21269841269841275,0.06978911066381459,3,2,1,6,242296,exact,0.125,0.0625,0.03125,0.25,0.0625,0.1875,0.5,0.4054651081081644
g_n16_m32_k3_003_q00,g_n16_m32_k3_003,q00,train,0.2,16,32,0.26666666666666666,4.0,1.0,6,4,2,0,0,0.5332696213519866,8.03874497314191,0.7194568846752717,0.07916666666666668,0.26507936507936514,0.08142490670611031,3,1,1,2,242296,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0016000000000000003,0.0006400000000000002,0.010240000000000003,0.010187926387489783
g_n16_m32_k3_003_q01,g_n16_m32_k3_003,q01,train,0.3,16,32,0.26666666666666666,4.0,1.0,6,4,2,0,0,0.5332696213519866,8.03874497314191,0.7194568846752717,0.07916666666666668,0.26507936507936514,0.08142490670611031,3,1,1,2,242296,exact,0.026999999999999996,0.0081,0.0024299999999999994,0.026999999999999996,0.0081,0.004859999999999999,0.03995999999999999,0.03918225087515581
g_n16_m32_k3_003_q02,g_n16_m32_k3_003,q02,train,0.4,16,32,0.26666666666666666,4.0,1.0,6,4,2,0,0,0.5332696213519866,8.03874497314191,0.7194568846752717,0.07916666666666668,0.26507936507936514,0.08142490670611031,3,1,1,2,242296,exact,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.06400000000000002,0.025600000000000005,0.020480000000000005,0.11008000000000001,0.10443208479924784
g_n16_m32_k3_003_q03,g_n16_m32_k3_003,q03,train,0.5,16,32,0.26666666666666666,4.0,1.0,6,4,2,0,0,0.5332696213519866,8.03874497314191,0.7194568846752717,0.07916666666666668,0.26507936507936514,0.08142490670611031,3,1,1,2,242296,exact,0.125,0.0625,0.03125,0.125,0.0625,0.0625,0.25,0.22314355131420976
g_n16_m32_k3_004_q00,g_n16_m32_k3_004,q00,validation,0.2,16,32,0.26666666666666666,4.0,0.625,5,5,2,0,0,0.5328510211742516,7.3673384147460315,0.7299468451496322,0.08511904761904762,0.19111111111111115,0.06010652601539794,3,1,0,6,242296,exact,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.008000000000000002,0.0,0.0019200000000000005,0.009920000000000002,0.00987111979526299
