graph_id,split,n,m,kappa,edge_factor,source,target,seed,edges
g_n16_m32_k3_000,test,16,32,3,2.0,0,8,4269105884,"[[0, 1], [0, 2], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 6], [3, 7], [3, 15], [4, 5], [4, 10], [5, 6], [5, 14], [6, 7], [8, 9], [8, 12], [8, 15], [9, 10], [9, 12], [9, 13], [10, 11], [10, 14], [11, 12], [11, 13], [11, 14], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_001,train,16,32,3,2.0,0,8,4269105885,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 6], [3, 4], [3, 5], [3, 7], [3, 11], [4, 5], [4, 7], [5, 6], [5, 15], [6, 7], [6, 12], [8, 9], [8, 10], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [13, 15], [14, 15]]"
g_n16_m32_k3_002,train,16,32,3,2.0,0,8,4269105886,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 3], [1, 5], [2, 3], [2, 6], [3, 4], [3, 6], [3, 7], [4, 5], [5, 6], [5, 8], [6, 7], [6, 11], [7, 10], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 12], [9, 13], [10, 11], [10, 12], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_003,train,16,32,3,2.0,0,8,4269105887,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 7], [0, 15], [1, 2], [1, 5], [1, 9], [2, 3], [2, 6], [2, 11], [3, 4], [3, 7], [4, 5], [5, 6], [6, 7], [8, 9], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 15], [13, 14], [13, 15], [14, 15]]"
g_n16_m32_k3_004,validation,16,32,3,2.0,0,8,4269105888,"[[0, 1], [0, 4], [0, 6], [0, 7], [0, 11], [1, 2], [1, 5], [1, 6], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [5, 6], [5, 14], [6, 7], [7, 12], [8, 9], [8, 11], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [13, 14], [13, 15], [14, 15]]"
g_n16_m32_k3_005,train,16,32,3,2.0,0,8,4269105889,"[[0, 1], [0, 3], [0, 4], [0, 7], [0, 15], [1, 2], [1, 5], [1, 13], [2, 3], [2, 6], [3, 4], [3, 5], [3, 7], [4, 5], [4, 10], [5, 6], [6, 7], [8, 9], [8, 12], [8, 13], [8, 15], [9, 10], [9, 13], [10, 11], [10, 12], [10, 14], [11, 12], [11, 14], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_006,train,16,32,3,2.0,0,8,4269105890,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [1, 9], [2, 3], [2, 6], [3, 4], [3, 6], [3, 7], [4, 5], [5, 6], [5, 7], [6, 7], [6, 14], [7, 15], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [9, 14], [9, 15], [10, 11], [10, 14], [11, 12], [11, 13], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_007,train,16,32,3,2.0,0,8,4269105891,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 7], [4, 5], [5, 6], [5, 9], [6, 7], [6, 10], [7, 15], [8, 9], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 12], [10, 14], [10, 15], [11, 12], [11, 14], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_008,test,16,32,3,2.0,0,8,4269105892,"[[0, 1], [0, 3], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 6], [2, 7], [2, 12], [3, 4], [3, 7], [3, 9], [4, 5], [5, 6], [6, 7], [7, 11], [8, 9], [8, 10], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_009,validation,16,32,3,2.0,0,8,4269105893,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 4], [2, 6], [2, 10], [3, 4], [3, 5], [3, 7], [3, 8], [4, 5], [5, 6], [5, 15], [6, 7], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 12], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 15], [13, 14], [14, 15]]"
g_n16_m32_k3_010,train,16,32,3,2.0,0,8,4269105894,"[[0, 1], [0, 4], [0, 7], [0, 12], [1, 2], [1, 4], [1, 5], [2, 3], [2, 6], [2, 10], [3, 4], [3, 7], [4, 5], [4, 6], [5, 6], [6, 7], [6, 8], [8, 9], [8, 12], [8, 14], [8, 15], [9, 10], [9, 13], [9, 14], [10, 11], [10, 14], [10, 15], [11, 12], [11, 15], [12, 13], [13, 14], [14, 15]]"
g_n16_m32_k3_011,train,16,32,3,2.0,0,8,4269105895,"[[0, 1], [0, 2], [0, 4], [0, 7], [1, 2], [1, 5], [1, 8], [2, 3], [2, 6], [3, 4], [3, 7], [4, 5], [5, 6], [5, 7], [5, 12], [6, 7], [6, 11], [8, 9], [8, 12], [8, 13], [8, 15], [9, 10], [9, 11], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_012,train,16,32,3,2.0,0,8,4269105896,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 4], [1, 5], [1, 7], [2, 3], [2, 6], [3, 4], [3, 7], [3, 8], [4, 5], [5, 6], [6, 7], [6, 9], [7, 15], [8, 9], [8, 12], [8, 15], [9, 10], [9, 11], [9, 13], [9, 15], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
g_n16_m32_k3_013,train,16,32,3,2.0,0,8,4269105897,"[[0, 1], [0, 3], [0, 4], [0, 7], [0, 10], [1, 2], [1, 5], [2, 3], [2, 6], [2, 9], [3, 4], [3, 7], [4, 5], [4, 7], [4, 12], [5, 6], [6, 7], [8, 9], [8, 10], [8, 11], [8, 12], [8, 15], [9, 10], [9, 13], [10, 11], [10, 14], [11, 12], [11, 15], [12, 13], [12, 14], [13, 14], [14, 15]]"
