row_id,graph_id,q_id,split,q,K,z,disconnect_fraction
g_n16_m32_k3_000_q00,g_n16_m32_k3_000,q00,test,0.2,256,8,0.03125
g_n16_m32_k3_000_q01,g_n16_m32_k3_000,q01,test,0.3,256,19,0.07421875
g_n16_m32_k3_000_q02,g_n16_m32_k3_000,q02,test,0.4,256,62,0.2421875
g_n16_m32_k3_000_q03,g_n16_m32_k3_000,q03,test,0.5,256,127,0.49609375
g_n16_m32_k3_001_q00,g_n16_m32_k3_001,q00,train,0.2,256,7,0.02734375
g_n16_m32_k3_001_q01,g_n16_m32_k3_001,q01,train,0.3,256,27,0.10546875
g_n16_m32_k3_001_q02,g_n16_m32_k3_001,q02,train,0.4,256,72,0.28125
g_n16_m32_k3_001_q03,g_n16_m32_k3_001,q03,train,0.5,256,121,0.47265625
g_n16_m32_k3_002_q00,g_n16_m32_k3_002,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_002_q01,g_n16_m32_k3_002,q01,train,0.3,256,30,0.1171875
g_n16_m32_k3_002_q02,g_n16_m32_k3_002,q02,train,0.4,256,55,0.21484375
g_n16_m32_k3_002_q03,g_n16_m32_k3_002,q03,train,0.5,256,102,0.3984375
g_n16_m32_k3_003_q00,g_n16_m32_k3_003,q00,train,0.2,256,1,0.00390625
g_n16_m32_k3_003_q01,g_n16_m32_k3_003,q01,train,0.3,256,8,0.03125
g_n16_m32_k3_003_q02,g_n16_m32_k3_003,q02,train,0.4,256,41,0.16015625
g_n16_m32_k3_003_q03,g_n16_m32_k3_003,q03,train,0.5,256,72,0.28125
g_n16_m32_k3_004_q00,g_n16_m32_k3_004,q00,validation,0.2,256,1,0.00390625
g_n16_m32_k3_004_q01,g_n16_m32_k3_004,q01,validation,0.3,256,8,0.03125
g_n16_m32_k3_004_q02,g_n16_m32_k3_004,q02,validation,0.4,256,33,0.12890625
g_n16_m32_k3_004_q03,g_n16_m32_k3_004,q03,validation,0.5,256,81,0.31640625
g_n16_m32_k3_005_q00,g_n16_m32_k3_005,q00,train,0.2,256,1,0.00390625
g_n16_m32_k3_005_q01,g_n16_m32_k3_005,q01,train,0.3,256,13,0.05078125
g_n16_m32_k3_005_q02,g_n16_m32_k3_005,q02,train,0.4,256,38,0.1484375
g_n16_m32_k3_005_q03,g_n16_m32_k3_005,q03,train,0.5,256,100,0.390625
g_n16_m32_k3_006_q00,g_n16_m32_k3_006,q00,train,0.2,256,11,0.04296875
g_n16_m32_k3_006_q01,g_n16_m32_k3_006,q01,train,0.3,256,34,0.1328125
g_n16_m32_k3_006_q02,g_n16_m32_k3_006,q02,train,0.4,256,67,0.26171875
g_n16_m32_k3_006_q03,g_n16_m32_k3_006,q03,train,0.5,256,112,0.4375
g_n16_m32_k3_007_q00,g_n16_m32_k3_007,q00,train,0.2,256,5,0.01953125
g_n16_m32_k3_007_q01,g_n16_m32_k3_007,q01,train,0.3,256,25,0.09765625
g_n16_m32_k3_007_q02,g_n16_m32_k3_007,q02,train,0.4,256,82,0.3203125
g_n16_m32_k3_007_q03,g_n16_m32_k3_007,q03,train,0.5,256,117,0.45703125
g_n16_m32_k3_008_q00,g_n16_m32_k3_008,q00,test,0.2,256,6,0.0234375
g_n16_m32_k3_008_q01,g_n16_m32_k3_008,q01,test,0.3,256,12,0.046875
g_n16_m32_k3_008_q02,g_n16_m32_k3_008,q02,test,0.4,256,53,0.20703125
g_n16_m32_k3_008_q03,g_n16_m32_k3_008,q03,test,0.5,256,108,0.421875
g_n16_m32_k3_009_q00,g_n16_m32_k3_009,q00,validation,0.2,256,4,0.015625
g_n16_m32_k3_009_q01,g_n16_m32_k3_009,q01,validation,0.3,256,22,0.0859375
g_n16_m32_k3_009_q02,g_n16_m32_k3_009,q02,validation,0.4,256,65,0.25390625
g_n16_m32_k3_009_q03,g_n16_m32_k3_009,q03,validation,0.5,256,118,0.4609375
g_n16_m32_k3_010_q00,g_n16_m32_k3_010,q00,train,0.2,256,2,0.0078125
g_n16_m32_k3_010_q01,g_n16_m32_k3_010,q01,train,0.3,256,15,0.05859375
g_n16_m32_k3_010_q02,g_n16_m32_k3_010,q02,train,0.4,256,34,0.1328125
g_n16_m32_k3_010_q03,g_n16_m32_k3_010,q03,train,0.5,256,88,0.34375
g_n16_m32_k3_011_q00,g_n16_m32_k3_011,q00,train,0.2,256,6,0.0234375
g_n16_m32_k3_011_q01,g_n16_m32_k3_011,q01,train,0.3,256,13,0.05078125
g_n16_m32_k3_011_q02,g_n16_m32_k3_011,q02,train,0.4,256,51,0.19921875
g_n16_m32_k3_011_q03,g_n16_m32_k3_011,q03,train,0.5,256,91,0.35546875
g_n16_m32_k3_012_q00,g_n16_m32_k3_012,q00,train,0.2,256,3,0.01171875
g_n16_m32_k3_012_q01,g_n16_m32_k3_012,q01,train,0.3,256,25,0.09765625
g_n16_m32_k3_012_q02,g_n16_m32_k3_012,q02,train,0.4,256,59,0.23046875
g_n16_m32_k3_012_q03,g_n16_m32_k3_012,q03,train,0.5,256,105,0.41015625
g_n16_m32_k3_013_q00,g_n16_m32_k3_013,q00,train,0.2,256,4,0.015625
g_n16_m32_k3_013_q01,g_n16_m32_k3_013,q01,train,0.3,256,8,0.03125
g_n16_m32_k3_013_q02,g_n16_m32_k3_013,q02,train,0.4,256,32,0.125
g_n16_m32_k3_013_q03,g_n16_m32_k3_013,q03,train,0.5,256,78,0.3046875
g_n16_m32_k3_014_q00,g_n16_m32_k3_014,q00,validation,0.2,256,2,0.0078125
g_n16_m32_k3_014_q01,g_n16_m32_k3_014,q01,validation,0.3,256,16,0.0625
g_n16_m32_k3_014_q02,g_n16_m32_k3_014,q02,validation,0.4,256,49,0.19140625
g_n16_m32_k3_014_q03,g_n16_m32_k3_014,q03,validation,0.5,256,115,0.44921875
g_n16_m32_k3_015_q00,g_n16_m32_k3_015,q00,train,0.2,256,4,0.015625
