split,q,graph_count,graph_balanced_prevalence,min_graph_prevalence,max_graph_prevalence
test,0.2,16,0.018310546875,0.0078125,0.03515625
test,0.3,16,0.068115234375,0.0390625,0.1015625
test,0.4,16,0.203369140625,0.1015625,0.26171875
test,0.5,16,0.43701171875,0.3125,0.5078125
train,0.2,48,0.015950520833333332,0.0,0.04296875
train,0.3,48,0.07242838541666667,0.02734375,0.1328125
train,0.4,48,0.19677734375,0.07421875,0.3359375
train,0.5,48,0.4088541666666667,0.265625,0.5625
validation,0.2,16,0.017822265625,0.00390625,0.03125
validation,0.3,16,0.070556640625,0.01953125,0.12890625
validation,0.4,16,0.20361328125,0.12890625,0.28125
validation,0.5,16,0.4189453125,0.3046875,0.49609375
